"Plot Title: EFJabvJARAM20170601"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1028728, SEN S/N: 1028728)","Temp, °C (LGR S/N: 1028728, SEN S/N: 1028728)","Coupler Detached (LGR S/N: 1028728)","Coupler Attached (LGR S/N: 1028728)","Stopped (LGR S/N: 1028728)","End Of File (LGR S/N: 1028728)"
1,08/07/17 10:30:00 AM,75118,20.043,,,,
2,08/07/17 10:30:54 AM,,,Logged,,,
3,08/07/17 10:45:00 AM,79363,16.618,,,,
4,08/07/17 11:00:00 AM,79374,16.427,,,,
5,08/07/17 11:15:00 AM,79372,16.332,,,,
6,08/07/17 11:30:00 AM,79370,16.237,,,,
7,08/07/17 11:45:00 AM,79354,16.237,,,,
8,08/07/17 12:00:00 PM,79351,16.141,,,,
9,08/07/17 12:15:00 PM,79349,16.046,,,,
10,08/07/17 12:30:00 PM,79349,16.046,,,,
11,08/07/17 12:45:00 PM,79347,15.951,,,,
12,08/07/17 01:00:00 PM,79347,15.951,,,,
13,08/07/17 01:15:00 PM,79331,15.951,,,,
14,08/07/17 01:30:00 PM,79347,15.951,,,,
15,08/07/17 01:45:00 PM,79313,15.855,,,,
16,08/07/17 02:00:00 PM,79297,15.855,,,,
17,08/07/17 02:15:00 PM,79297,15.855,,,,
18,08/07/17 02:30:00 PM,79279,15.760,,,,
19,08/07/17 02:45:00 PM,79263,15.760,,,,
20,08/07/17 03:00:00 PM,79263,15.760,,,,
21,08/07/17 03:15:00 PM,79247,15.760,,,,
22,08/07/17 03:30:00 PM,79231,15.760,,,,
23,08/07/17 03:45:00 PM,79216,15.760,,,,
24,08/07/17 04:00:00 PM,79216,15.760,,,,
25,08/07/17 04:15:00 PM,79200,15.760,,,,
26,08/07/17 04:30:00 PM,79197,15.664,,,,
27,08/07/17 04:45:00 PM,79197,15.664,,,,
28,08/07/17 05:00:00 PM,79197,15.664,,,,
29,08/07/17 05:15:00 PM,79197,15.664,,,,
30,08/07/17 05:30:00 PM,79197,15.664,,,,
31,08/07/17 05:45:00 PM,79182,15.664,,,,
32,08/07/17 06:00:00 PM,79166,15.664,,,,
33,08/07/17 06:15:00 PM,79166,15.664,,,,
34,08/07/17 06:30:00 PM,79150,15.664,,,,
35,08/07/17 06:45:00 PM,79168,15.760,,,,
36,08/07/17 07:00:00 PM,79168,15.760,,,,
37,08/07/17 07:15:00 PM,79184,15.760,,,,
38,08/07/17 07:30:00 PM,79200,15.760,,,,
39,08/07/17 07:45:00 PM,79216,15.760,,,,
40,08/07/17 08:00:00 PM,79216,15.760,,,,
41,08/07/17 08:15:00 PM,79247,15.760,,,,
42,08/07/17 08:30:00 PM,79279,15.760,,,,
43,08/07/17 08:45:00 PM,79326,15.760,,,,
44,08/07/17 09:00:00 PM,79342,15.760,,,,
45,08/07/17 09:15:00 PM,79363,15.951,,,,
46,08/07/17 09:30:00 PM,79394,15.951,,,,
47,08/07/17 09:45:00 PM,79397,16.046,,,,
48,08/07/17 10:00:00 PM,79428,16.046,,,,
49,08/07/17 10:15:00 PM,79428,16.046,,,,
50,08/07/17 10:30:00 PM,79444,16.046,,,,
51,08/07/17 10:45:00 PM,79428,16.046,,,,
52,08/07/17 11:00:00 PM,79444,16.046,,,,
53,08/07/17 11:15:00 PM,79444,16.046,,,,
54,08/07/17 11:30:00 PM,79444,16.046,,,,
55,08/07/17 11:45:00 PM,79444,16.046,,,,
56,08/08/17 12:00:00 AM,79446,16.141,,,,
57,08/08/17 12:15:00 AM,79478,16.141,,,,
58,08/08/17 12:30:00 AM,79480,16.237,,,,
59,08/08/17 12:45:00 AM,79480,16.237,,,,
60,08/08/17 01:00:00 AM,79465,16.237,,,,
61,08/08/17 01:15:00 AM,79467,16.332,,,,
62,08/08/17 01:30:00 AM,79451,16.332,,,,
63,08/08/17 01:45:00 AM,79451,16.332,,,,
64,08/08/17 02:00:00 AM,79480,16.237,,,,
65,08/08/17 02:15:00 AM,79465,16.237,,,,
66,08/08/17 02:30:00 AM,79451,16.332,,,,
67,08/08/17 02:45:00 AM,79433,16.237,,,,
68,08/08/17 03:00:00 AM,79417,16.237,,,,
69,08/08/17 03:15:00 AM,79433,16.237,,,,
70,08/08/17 03:30:00 AM,79449,16.237,,,,
71,08/08/17 03:45:00 AM,79446,16.141,,,,
72,08/08/17 04:00:00 AM,79446,16.141,,,,
73,08/08/17 04:15:00 AM,79444,16.046,,,,
74,08/08/17 04:30:00 AM,79444,16.046,,,,
75,08/08/17 04:45:00 AM,79476,16.046,,,,
76,08/08/17 05:00:00 AM,79473,15.951,,,,
77,08/08/17 05:15:00 AM,79473,15.951,,,,
78,08/08/17 05:30:00 AM,79458,15.951,,,,
79,08/08/17 05:45:00 AM,79442,15.951,,,,
80,08/08/17 06:00:00 AM,79442,15.951,,,,
81,08/08/17 06:15:00 AM,79439,15.855,,,,
82,08/08/17 06:30:00 AM,79439,15.855,,,,
83,08/08/17 06:45:00 AM,79439,15.855,,,,
84,08/08/17 07:00:00 AM,79455,15.855,,,,
85,08/08/17 07:15:00 AM,79453,15.760,,,,
86,08/08/17 07:30:00 AM,79469,15.760,,,,
87,08/08/17 07:45:00 AM,79469,15.760,,,,
88,08/08/17 08:00:00 AM,79485,15.760,,,,
89,08/08/17 08:15:00 AM,79485,15.760,,,,
90,08/08/17 08:30:00 AM,79485,15.760,,,,
91,08/08/17 08:45:00 AM,79482,15.664,,,,
92,08/08/17 09:00:00 AM,79466,15.664,,,,
93,08/08/17 09:15:00 AM,79498,15.664,,,,
94,08/08/17 09:30:00 AM,79482,15.664,,,,
95,08/08/17 09:45:00 AM,79514,15.664,,,,
96,08/08/17 10:00:00 AM,79514,15.664,,,,
97,08/08/17 10:15:00 AM,79498,15.664,,,,
98,08/08/17 10:30:00 AM,79498,15.664,,,,
99,08/08/17 10:45:00 AM,79498,15.664,,,,
100,08/08/17 11:00:00 AM,79482,15.664,,,,
101,08/08/17 11:15:00 AM,79482,15.664,,,,
102,08/08/17 11:30:00 AM,79466,15.664,,,,
103,08/08/17 11:45:00 AM,79466,15.664,,,,
104,08/08/17 12:00:00 PM,79419,15.664,,,,
105,08/08/17 12:15:00 PM,79435,15.664,,,,
106,08/08/17 12:30:00 PM,79419,15.664,,,,
107,08/08/17 12:45:00 PM,79387,15.664,,,,
108,08/08/17 01:00:00 PM,79387,15.664,,,,
109,08/08/17 01:15:00 PM,79387,15.664,,,,
110,08/08/17 01:30:00 PM,79387,15.664,,,,
111,08/08/17 01:45:00 PM,79371,15.664,,,,
112,08/08/17 02:00:00 PM,79356,15.664,,,,
113,08/08/17 02:15:00 PM,79371,15.664,,,,
114,08/08/17 02:30:00 PM,79340,15.664,,,,
115,08/08/17 02:45:00 PM,79308,15.664,,,,
116,08/08/17 03:00:00 PM,79308,15.664,,,,
117,08/08/17 03:15:00 PM,79276,15.664,,,,
118,08/08/17 03:30:00 PM,79276,15.664,,,,
119,08/08/17 03:45:00 PM,79340,15.664,,,,
120,08/08/17 04:00:00 PM,79324,15.664,,,,
121,08/08/17 04:15:00 PM,79276,15.664,,,,
122,08/08/17 04:30:00 PM,79261,15.664,,,,
123,08/08/17 04:45:00 PM,79245,15.664,,,,
124,08/08/17 05:00:00 PM,79245,15.664,,,,
125,08/08/17 05:15:00 PM,79213,15.664,,,,
126,08/08/17 05:30:00 PM,79216,15.760,,,,
127,08/08/17 05:45:00 PM,79200,15.760,,,,
128,08/08/17 06:00:00 PM,79184,15.760,,,,
129,08/08/17 06:15:00 PM,79168,15.760,,,,
130,08/08/17 06:30:00 PM,79136,15.760,,,,
131,08/08/17 06:45:00 PM,79136,15.760,,,,
132,08/08/17 07:00:00 PM,79168,15.760,,,,
133,08/08/17 07:15:00 PM,79152,15.760,,,,
134,08/08/17 07:30:00 PM,79168,15.760,,,,
135,08/08/17 07:45:00 PM,79170,15.855,,,,
136,08/08/17 08:00:00 PM,79170,15.855,,,,
137,08/08/17 08:15:00 PM,79170,15.855,,,,
138,08/08/17 08:30:00 PM,79186,15.855,,,,
139,08/08/17 08:45:00 PM,79202,15.855,,,,
140,08/08/17 09:00:00 PM,79234,15.855,,,,
141,08/08/17 09:15:00 PM,79234,15.855,,,,
142,08/08/17 09:30:00 PM,79265,15.855,,,,
143,08/08/17 09:45:00 PM,79283,15.951,,,,
144,08/08/17 10:00:00 PM,79283,15.951,,,,
145,08/08/17 10:15:00 PM,79299,15.951,,,,
146,08/08/17 10:30:00 PM,79283,15.951,,,,
147,08/08/17 10:45:00 PM,79315,15.951,,,,
148,08/08/17 11:00:00 PM,79299,15.951,,,,
149,08/08/17 11:15:00 PM,79315,15.951,,,,
150,08/08/17 11:30:00 PM,79315,15.951,,,,
151,08/08/17 11:45:00 PM,79299,15.951,,,,
152,08/09/17 12:00:00 AM,79315,15.951,,,,
153,08/09/17 12:15:00 AM,79315,15.951,,,,
154,08/09/17 12:30:00 AM,79315,15.951,,,,
155,08/09/17 12:45:00 AM,79315,15.951,,,,
156,08/09/17 01:00:00 AM,79333,16.046,,,,
157,08/09/17 01:15:00 AM,79333,16.046,,,,
158,08/09/17 01:30:00 AM,79317,16.046,,,,
159,08/09/17 01:45:00 AM,79317,16.046,,,,
160,08/09/17 02:00:00 AM,79315,15.951,,,,
161,08/09/17 02:15:00 AM,79315,15.951,,,,
162,08/09/17 02:30:00 AM,79331,15.951,,,,
163,08/09/17 02:45:00 AM,79313,15.855,,,,
164,08/09/17 03:00:00 AM,79329,15.855,,,,
165,08/09/17 03:15:00 AM,79310,15.760,,,,
166,08/09/17 03:30:00 AM,79324,15.664,,,,
167,08/09/17 03:45:00 AM,79308,15.664,,,,
168,08/09/17 04:00:00 AM,79306,15.569,,,,
169,08/09/17 04:15:00 AM,79304,15.473,,,,
170,08/09/17 04:30:00 AM,79319,15.473,,,,
171,08/09/17 04:45:00 AM,79317,15.378,,,,
172,08/09/17 05:00:00 AM,79317,15.378,,,,
173,08/09/17 05:15:00 AM,79315,15.282,,,,
174,08/09/17 05:30:00 AM,79312,15.187,,,,
175,08/09/17 05:45:00 AM,79312,15.187,,,,
176,08/09/17 06:00:00 AM,79326,15.091,,,,
177,08/09/17 06:15:00 AM,79326,15.091,,,,
178,08/09/17 06:30:00 AM,79339,14.996,,,,
179,08/09/17 06:45:00 AM,79371,14.996,,,,
180,08/09/17 07:00:00 AM,79369,14.900,,,,
181,08/09/17 07:15:00 AM,79385,14.900,,,,
182,08/09/17 07:30:00 AM,79382,14.804,,,,
183,08/09/17 07:45:00 AM,79382,14.804,,,,
184,08/09/17 08:00:00 AM,79382,14.804,,,,
185,08/09/17 08:15:00 AM,79382,14.804,,,,
186,08/09/17 08:30:00 AM,79382,14.804,,,,
187,08/09/17 08:45:00 AM,79382,14.804,,,,
188,08/09/17 09:00:00 AM,79382,14.804,,,,
189,08/09/17 09:15:00 AM,79367,14.804,,,,
190,08/09/17 09:30:00 AM,79382,14.804,,,,
191,08/09/17 09:45:00 AM,79367,14.804,,,,
192,08/09/17 10:00:00 AM,79351,14.804,,,,
193,08/09/17 10:15:00 AM,79351,14.804,,,,
194,08/09/17 10:30:00 AM,79367,14.804,,,,
195,08/09/17 10:45:00 AM,79351,14.804,,,,
196,08/09/17 11:00:00 AM,79385,14.900,,,,
197,08/09/17 11:15:00 AM,79369,14.900,,,,
198,08/09/17 11:30:00 AM,79385,14.900,,,,
199,08/09/17 11:45:00 AM,79369,14.900,,,,
200,08/09/17 12:00:00 PM,79369,14.900,,,,
201,08/09/17 12:15:00 PM,79371,14.996,,,,
202,08/09/17 12:30:00 PM,79355,14.996,,,,
203,08/09/17 12:45:00 PM,79339,14.996,,,,
204,08/09/17 01:00:00 PM,79339,14.996,,,,
