"Plot Title: 2250096"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 2250096, SEN S/N: 2250096)","Temp, °C (LGR S/N: 2250096, SEN S/N: 2250096)","Batt, V (LGR S/N: 2250096, SEN S/N: 2250096)","Coupler Detached (LGR S/N: 2250096)","Coupler Attached (LGR S/N: 2250096)","Host Connected (LGR S/N: 2250096)","Stopped (LGR S/N: 2250096)","End Of File (LGR S/N: 2250096)"
1,12/08/08 05:00:00 PM,73836,2.837,3.35,Logged,,,,
2,12/08/08 05:15:00 PM,73843,2.730,3.35,,,,,
3,12/08/08 05:30:00 PM,73861,2.624,3.37,,,,,
4,12/08/08 05:45:00 PM,73856,2.410,3.37,,,,,
5,12/08/08 06:00:00 PM,73854,2.303,3.37,,,,,
6,12/08/08 06:15:00 PM,73862,2.195,3.37,,,,,
7,12/08/08 06:30:00 PM,73850,2.088,3.37,,,,,
8,12/08/08 06:45:00 PM,73857,1.980,3.37,,,,,
9,12/08/08 07:00:00 PM,73845,1.872,3.37,,,,,
10,12/08/08 07:15:00 PM,73843,1.764,3.37,,,,,
11,12/08/08 07:30:00 PM,73843,1.764,3.37,,,,,
12,12/08/08 07:45:00 PM,73861,1.656,3.37,,,,,
13,12/08/08 08:00:00 PM,73878,1.548,3.37,,,,,
14,12/08/08 08:15:00 PM,73903,1.330,3.37,,,,,
15,12/08/08 08:30:00 PM,73872,1.221,3.37,,,,,
16,12/08/08 08:45:00 PM,73860,1.112,3.37,,,,,
17,12/08/08 09:00:00 PM,73840,1.112,3.37,,,,,
18,12/08/08 09:15:00 PM,73818,1.003,3.37,,,,,
19,12/08/08 09:30:00 PM,73794,0.784,3.37,,,,,
20,12/08/08 09:45:00 PM,73804,0.784,3.37,,,,,
21,12/08/08 10:00:00 PM,73824,0.784,3.37,,,,,
22,12/08/08 10:15:00 PM,73824,0.784,3.37,,,,,
23,12/08/08 10:30:00 PM,73784,0.784,3.37,,,,,
24,12/08/08 10:45:00 PM,73804,0.784,3.37,,,,,
25,12/08/08 11:00:00 PM,73802,0.674,3.37,,,,,
26,12/08/08 11:15:00 PM,73819,0.563,3.37,,,,,
27,12/08/08 11:30:00 PM,73836,0.453,3.37,,,,,
28,12/08/08 11:45:00 PM,73817,0.453,3.37,,,,,
29,12/09/08 12:00:00 AM,73807,0.453,3.37,,,,,
30,12/09/08 12:15:00 AM,73805,0.343,3.37,,,,,
31,12/09/08 12:30:00 AM,73815,0.343,3.37,,,,,
32,12/09/08 12:45:00 AM,73815,0.343,3.37,,,,,
33,12/09/08 01:00:00 AM,73795,0.343,3.37,,,,,
