"Plot Title: Indios_Creek_2009_2250096"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 2250096, SEN S/N: 2250096)","Temp, °C (LGR S/N: 2250096, SEN S/N: 2250096)","Batt, V (LGR S/N: 2250096, SEN S/N: 2250096)","Coupler Detached (LGR S/N: 2250096)","Coupler Attached (LGR S/N: 2250096)","Host Connected (LGR S/N: 2250096)","Stopped (LGR S/N: 2250096)","End Of File (LGR S/N: 2250096)"
1,04/30/09 01:00:00 PM,75703,13.846,3.51,Logged,,,,
2,04/30/09 01:15:00 PM,75693,10.357,3.48,,,,,
3,04/30/09 01:30:00 PM,75693,10.357,3.51,,,,,
4,04/30/09 01:45:00 PM,75696,10.455,3.51,,,,,
5,04/30/09 02:00:00 PM,75690,10.651,3.51,,,,,
6,04/30/09 02:15:00 PM,75677,10.944,3.51,,,,,
7,04/30/09 02:30:00 PM,75674,11.236,3.51,,,,,
8,04/30/09 02:45:00 PM,75658,11.431,3.51,,,,,
9,04/30/09 03:00:00 PM,75653,11.625,3.51,,,,,
10,04/30/09 03:15:00 PM,75645,11.722,3.54,,,,,
11,04/30/09 03:30:00 PM,75630,11.916,3.54,,,,,
12,04/30/09 03:45:00 PM,75622,12.013,3.54,,,,,
13,04/30/09 04:00:00 PM,75634,12.110,3.54,,,,,
14,04/30/09 04:15:00 PM,75607,12.207,3.54,,,,,
15,04/30/09 04:30:00 PM,75607,12.207,3.54,,,,,
16,04/30/09 04:45:00 PM,75607,12.207,3.54,,,,,
17,04/30/09 05:00:00 PM,75595,12.110,3.54,,,,,
18,04/30/09 05:15:00 PM,75600,11.916,3.54,,,,,
19,04/30/09 05:30:00 PM,75608,11.819,3.51,,,,,
20,04/30/09 05:45:00 PM,75633,11.625,3.51,,,,,
21,04/30/09 06:00:00 PM,75627,11.334,3.51,,,,,
22,04/30/09 06:15:00 PM,75610,11.041,3.51,,,,,
23,04/30/09 06:30:00 PM,75621,10.651,3.51,,,,,
24,04/30/09 06:45:00 PM,75613,10.259,3.51,,,,,
25,04/30/09 07:00:00 PM,75624,9.866,3.51,,,,,
26,04/30/09 07:15:00 PM,75607,9.571,3.54,,,,,
27,04/30/09 07:30:00 PM,75640,9.275,3.51,,,,,
28,04/30/09 07:45:00 PM,75653,8.978,3.51,,,,,
29,04/30/09 08:00:00 PM,75657,8.680,3.51,,,,,
30,04/30/09 08:15:00 PM,75670,8.382,3.51,,,,,
31,04/30/09 08:30:00 PM,75695,8.182,3.51,,,,,
32,04/30/09 08:45:00 PM,75688,7.882,3.51,,,,,
33,04/30/09 09:00:00 PM,75723,7.682,3.51,,,,,
34,04/30/09 09:15:00 PM,75738,7.481,3.51,,,,,
35,04/30/09 09:30:00 PM,75754,7.280,3.51,,,,,
36,04/30/09 09:45:00 PM,75779,7.079,3.51,,,,,
37,04/30/09 10:00:00 PM,75777,6.978,3.51,,,,,
38,04/30/09 10:15:00 PM,75772,6.775,3.48,,,,,
39,04/30/09 10:30:00 PM,75790,6.674,3.48,,,,,
40,04/30/09 10:45:00 PM,75785,6.471,3.48,,,,,
41,04/30/09 11:00:00 PM,75773,6.370,3.48,,,,,
42,04/30/09 11:15:00 PM,75789,6.166,3.48,,,,,
43,04/30/09 11:30:00 PM,75796,6.064,3.48,,,,,
44,04/30/09 11:45:00 PM,75784,5.962,3.48,,,,,
45,05/01/09 12:00:00 AM,75772,5.860,3.48,,,,,
46,05/01/09 12:15:00 AM,75758,5.655,3.48,,,,,
47,05/01/09 12:30:00 AM,75746,5.552,3.48,,,,,
48,05/01/09 12:45:00 AM,75763,5.450,3.48,,,,,
49,05/01/09 01:00:00 AM,75751,5.347,3.48,,,,,
50,05/01/09 01:15:00 AM,75759,5.244,3.48,,,,,
51,05/01/09 01:30:00 AM,75739,5.244,3.48,,,,,
52,05/01/09 01:45:00 AM,75718,5.141,3.48,,,,,
53,05/01/09 02:00:00 AM,75737,5.141,3.48,,,,,
54,05/01/09 02:15:00 AM,75723,4.934,3.48,,,,,
55,05/01/09 02:30:00 AM,75691,4.831,3.48,,,,,
