"Plot Title: Indios_Creek_12_2009_2250096"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 2250096, SEN S/N: 2250096)","Temp, °C (LGR S/N: 2250096, SEN S/N: 2250096)","Batt, V (LGR S/N: 2250096, SEN S/N: 2250096)","Coupler Detached (LGR S/N: 2250096)","Coupler Attached (LGR S/N: 2250096)","Stopped (LGR S/N: 2250096)","End Of File (LGR S/N: 2250096)"
1,07/06/11 04:30:00 PM,75587,15.664,3.54,Logged,,,
2,07/06/11 04:45:00 PM,75583,15.473,3.54,,,,
3,07/06/11 05:00:00 PM,75578,15.282,3.54,,,,
4,07/06/11 05:15:00 PM,75576,15.187,3.54,,,,
5,07/06/11 05:30:00 PM,75547,15.187,3.54,,,,
6,07/06/11 05:45:00 PM,75557,15.187,3.54,,,,
7,07/06/11 06:00:00 PM,75547,15.187,3.54,,,,
8,07/06/11 06:15:00 PM,75544,15.091,3.54,,,,
9,07/06/11 06:30:00 PM,75554,15.091,3.54,,,,
10,07/06/11 06:45:00 PM,75542,14.996,3.57,,,,
11,07/06/11 07:00:00 PM,75550,14.900,3.57,,,,
12,07/06/11 07:15:00 PM,75548,14.804,3.57,,,,
13,07/06/11 07:30:00 PM,75555,14.709,3.57,,,,
14,07/06/11 07:45:00 PM,75551,14.517,3.57,,,,
15,07/06/11 08:00:00 PM,75569,14.421,3.57,,,,
16,07/06/11 08:15:00 PM,75574,14.230,3.57,,,,
17,07/06/11 08:30:00 PM,75589,14.038,3.57,,,,
18,07/06/11 08:45:00 PM,75607,13.942,3.57,,,,
19,07/06/11 09:00:00 PM,75602,13.750,3.57,,,,
20,07/06/11 09:15:00 PM,75608,13.558,3.57,,,,
21,07/06/11 09:30:00 PM,75625,13.461,3.57,,,,
22,07/06/11 09:45:00 PM,75651,13.269,3.57,,,,
23,07/06/11 10:00:00 PM,75648,13.173,3.57,,,,
24,07/06/11 10:15:00 PM,75664,12.980,3.57,,,,
25,07/06/11 10:30:00 PM,75691,12.883,3.57,,,,
26,07/06/11 10:45:00 PM,75689,12.787,3.54,,,,
27,07/06/11 11:00:00 PM,75706,12.690,3.54,,,,
28,07/06/11 11:15:00 PM,75692,12.497,3.54,,,,
29,07/06/11 11:30:00 PM,75719,12.401,3.54,,,,
30,07/06/11 11:45:00 PM,75747,12.304,3.54,,,,
31,07/07/11 12:00:00 AM,75754,12.207,3.54,,,,
32,07/07/11 12:15:00 AM,75752,12.110,3.54,,,,
33,07/07/11 12:30:00 AM,75730,12.013,3.54,,,,
34,07/07/11 12:45:00 AM,75728,11.916,3.54,,,,
35,07/07/11 01:00:00 AM,75706,11.819,3.54,,,,
36,07/07/11 01:15:00 AM,75724,11.722,3.54,,,,
37,07/07/11 01:30:00 AM,75702,11.625,3.54,,,,
38,07/07/11 01:45:00 AM,75688,11.431,3.54,,,,
39,07/07/11 02:00:00 AM,75705,11.334,3.54,,,,
40,07/07/11 02:15:00 AM,75703,11.236,3.54,,,,
41,07/07/11 02:30:00 AM,75679,11.041,3.54,,,,
42,07/07/11 02:45:00 AM,75677,10.944,3.54,,,,
43,07/07/11 03:00:00 AM,75675,10.846,3.54,,,,
44,07/07/11 03:15:00 AM,75692,10.748,3.54,,,,
45,07/07/11 03:30:00 AM,75710,10.651,3.54,,,,
46,07/07/11 03:45:00 AM,75708,10.553,3.54,,,,
47,07/07/11 04:00:00 AM,75696,10.455,3.54,,,,
48,07/07/11 04:15:00 AM,75713,10.357,3.54,,,,
49,07/07/11 04:30:00 AM,75689,10.161,3.54,,,,
50,07/07/11 04:45:00 AM,75697,10.063,3.54,,,,
51,07/07/11 05:00:00 AM,75714,9.965,3.54,,,,
52,07/07/11 05:15:00 AM,75712,9.866,3.51,,,,
53,07/07/11 05:30:00 AM,75722,9.866,3.51,,,,
54,07/07/11 05:45:00 AM,75730,9.768,3.51,,,,
55,07/07/11 06:00:00 AM,75718,9.669,3.51,,,,
56,07/07/11 06:15:00 AM,75715,9.571,3.54,,,,
57,07/07/11 06:30:00 AM,75743,9.472,3.54,,,,
58,07/07/11 06:45:00 AM,75731,9.373,3.54,,,,
59,07/07/11 07:00:00 AM,75741,9.373,3.54,,,,
60,07/07/11 07:15:00 AM,75738,9.275,3.54,,,,
61,07/07/11 07:30:00 AM,75738,9.275,3.54,,,,
62,07/07/11 07:45:00 AM,75738,9.275,3.54,,,,
63,07/07/11 08:00:00 AM,75738,9.275,3.54,,,,
64,07/07/11 08:15:00 AM,75738,9.275,3.54,,,,
65,07/07/11 08:30:00 AM,75748,9.275,3.54,,,,
66,07/07/11 08:45:00 AM,75741,9.373,3.54,,,,
67,07/07/11 09:00:00 AM,75733,9.472,3.54,,,,
68,07/07/11 09:15:00 AM,75745,9.571,3.54,,,,
69,07/07/11 09:30:00 AM,75739,9.768,3.51,,,,
70,07/07/11 09:45:00 AM,75732,9.866,3.51,,,,
71,07/07/11 10:00:00 AM,75748,10.161,3.51,,,,
72,07/07/11 10:15:00 AM,75733,10.357,3.54,,,,
73,07/07/11 10:30:00 AM,75729,10.651,3.54,,,,
74,07/07/11 10:45:00 AM,75734,10.846,3.54,,,,
75,07/07/11 11:00:00 AM,75723,11.236,3.54,,,,
76,07/07/11 11:15:00 AM,75700,11.528,3.54,,,,
77,07/07/11 11:30:00 AM,75687,11.819,3.54,,,,
78,07/07/11 11:45:00 AM,75693,12.110,3.54,,,,
79,07/07/11 12:00:00 PM,75682,12.497,3.54,,,,
80,07/07/11 12:15:00 PM,75679,12.787,3.57,,,,
81,07/07/11 12:30:00 PM,75652,12.883,3.57,,,,
82,07/07/11 12:45:00 PM,75646,13.076,3.57,,,,
83,07/07/11 01:00:00 PM,75641,13.269,3.57,,,,
84,07/07/11 01:15:00 PM,75645,13.461,3.57,,,,
85,07/07/11 01:30:00 PM,75635,13.461,3.57,,,,
86,07/07/11 01:45:00 PM,75655,13.461,3.57,,,,
87,07/07/11 02:00:00 PM,75635,13.461,3.57,,,,
88,07/07/11 02:15:00 PM,75628,13.558,3.57,,,,
89,07/07/11 02:30:00 PM,75630,13.654,3.57,,,,
90,07/07/11 02:45:00 PM,75620,13.654,3.57,,,,
91,07/07/11 03:00:00 PM,75630,13.654,3.57,,,,
92,07/07/11 03:15:00 PM,75640,13.654,3.57,,,,
93,07/07/11 03:30:00 PM,75608,13.558,3.57,,,,
94,07/07/11 03:45:00 PM,75559,13.558,3.57,,,,
95,07/07/11 04:00:00 PM,75569,13.558,3.57,,,,
96,07/07/11 04:15:00 PM,75576,13.461,3.57,,,,
97,07/07/11 04:30:00 PM,75537,13.461,3.57,,,,
98,07/07/11 04:45:00 PM,75517,13.461,3.57,,,,
99,07/07/11 05:00:00 PM,75488,13.461,3.57,,,,
100,07/07/11 05:15:00 PM,75480,13.558,3.57,,,,
101,07/07/11 05:30:00 PM,75460,13.558,3.57,,,,
102,07/07/11 05:45:00 PM,75451,13.558,3.57,,,,
103,07/07/11 06:00:00 PM,75441,13.558,3.57,,,,
104,07/07/11 06:15:00 PM,75423,13.654,3.57,,,,
105,07/07/11 06:30:00 PM,75413,13.654,3.57,,,,
106,07/07/11 06:45:00 PM,75413,13.654,3.57,,,,
107,07/07/11 07:00:00 PM,75413,13.654,3.57,,,,
108,07/07/11 07:15:00 PM,75431,13.558,3.57,,,,
109,07/07/11 07:30:00 PM,75431,13.558,3.57,,,,
110,07/07/11 07:45:00 PM,75448,13.461,3.57,,,,
111,07/07/11 08:00:00 PM,75446,13.365,3.57,,,,
112,07/07/11 08:15:00 PM,75454,13.269,3.57,,,,
113,07/07/11 08:30:00 PM,75452,13.173,3.57,,,,
114,07/07/11 08:45:00 PM,75467,12.980,3.57,,,,
115,07/07/11 09:00:00 PM,75455,12.883,3.57,,,,
116,07/07/11 09:15:00 PM,75502,12.787,3.54,,,,
117,07/07/11 09:30:00 PM,75510,12.690,3.54,,,,
118,07/07/11 09:45:00 PM,75517,12.594,3.54,,,,
119,07/07/11 10:00:00 PM,75535,12.497,3.54,,,,
120,07/07/11 10:15:00 PM,75533,12.401,3.54,,,,
121,07/07/11 10:30:00 PM,75540,12.304,3.54,,,,
122,07/07/11 10:45:00 PM,75568,12.207,3.54,,,,
123,07/07/11 11:00:00 PM,75546,12.110,3.54,,,,
124,07/07/11 11:15:00 PM,75553,12.013,3.54,,,,
125,07/07/11 11:30:00 PM,75571,11.916,3.54,,,,
