Plot Title: Jaram abv EFJ 9811664 20171113,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811664, SEN S/N: 9811664)","Temp, °C (LGR S/N: 9811664, SEN S/N: 9811664)",Coupler Detached (LGR S/N: 9811664),Coupler Attached (LGR S/N: 9811664),Stopped (LGR S/N: 9811664),End Of File (LGR S/N: 9811664)
1,11/13/2017,13:45:00,79227,4.727,Logged,,,
2,11/13/2017,14:15:00,79234,4.207,,,,
3,11/13/2017,14:45:00,79222,4.311,,,,
4,11/13/2017,15:15:00,79235,4.311,,,,
5,11/13/2017,15:45:00,79248,4.311,,,,
6,11/13/2017,16:15:00,79249,4.415,,,,
7,11/13/2017,16:45:00,79262,4.415,,,,
8,11/13/2017,17:15:00,79287,4.311,,,,
9,11/13/2017,17:45:00,79300,4.311,,,,
10,11/13/2017,18:15:00,79313,4.311,,,,
11,11/13/2017,18:45:00,79352,4.311,,,,
12,11/13/2017,19:15:00,79352,4.311,,,,
13,11/13/2017,19:45:00,79365,4.311,,,,
14,11/13/2017,20:15:00,79378,4.311,,,,
15,11/13/2017,20:45:00,79404,4.311,,,,
16,11/13/2017,21:15:00,79417,4.311,,,,
17,11/13/2017,21:45:00,79430,4.311,,,,
18,11/13/2017,22:15:00,79416,4.207,,,,
19,11/13/2017,22:45:00,79417,4.311,,,,
20,11/13/2017,23:15:00,79417,4.311,,,,
21,11/13/2017,23:45:00,79404,4.311,,,,
22,11/14/2017,0:15:00,79390,4.207,,,,
23,11/14/2017,0:45:00,79377,4.207,,,,
24,11/14/2017,1:15:00,79364,4.207,,,,
25,11/14/2017,1:45:00,79351,4.207,,,,
26,11/14/2017,2:15:00,79338,4.207,,,,
27,11/14/2017,2:45:00,79325,4.207,,,,
28,11/14/2017,3:15:00,79286,4.207,,,,
29,11/14/2017,3:45:00,79273,4.207,,,,
30,11/14/2017,4:15:00,79247,4.207,,,,
31,11/14/2017,4:45:00,79247,4.207,,,,
32,11/14/2017,5:15:00,79208,4.207,,,,
33,11/14/2017,5:45:00,79208,4.207,,,,
34,11/14/2017,6:15:00,79195,4.207,,,,
35,11/14/2017,6:45:00,79221,4.207,,,,
36,11/14/2017,7:15:00,79247,4.207,,,,
37,11/14/2017,7:45:00,79234,4.207,,,,
38,11/14/2017,8:15:00,79247,4.207,,,,
39,11/14/2017,8:45:00,79208,4.207,,,,
40,11/14/2017,9:15:00,79169,4.207,,,,
41,11/14/2017,9:45:00,79156,4.207,,,,
42,11/14/2017,10:15:00,79169,4.207,,,,
43,11/14/2017,10:45:00,79130,4.207,,,,
44,11/14/2017,11:15:00,79078,4.207,,,,
45,11/14/2017,11:45:00,79039,4.207,,,,
46,11/14/2017,12:15:00,78974,4.207,,,,
47,11/14/2017,12:45:00,78935,4.207,,,,
48,11/14/2017,13:15:00,78895,4.207,,,,
49,11/14/2017,13:45:00,78856,4.207,,,,
50,11/14/2017,14:15:00,78830,4.207,,,,
51,11/14/2017,14:45:00,78830,4.207,,,,
52,11/14/2017,15:15:00,78830,4.207,,,,
53,11/14/2017,15:45:00,78843,4.207,,,,
54,11/14/2017,16:15:00,78856,4.207,,,,
55,11/14/2017,16:45:00,78856,4.207,,,,
56,11/14/2017,17:15:00,78856,4.207,,,,
57,11/14/2017,17:45:00,78895,4.207,,,,
58,11/14/2017,18:15:00,78935,4.207,,,,
59,11/14/2017,18:45:00,78974,4.207,,,,
60,11/14/2017,19:15:00,79026,4.207,,,,
61,11/14/2017,19:45:00,79026,4.207,,,,
62,11/14/2017,20:15:00,79039,4.207,,,,
63,11/14/2017,20:45:00,79065,4.207,,,,
64,11/14/2017,21:15:00,79104,4.207,,,,
65,11/14/2017,21:45:00,79117,4.207,,,,
66,11/14/2017,22:15:00,79143,4.207,,,,
67,11/14/2017,22:45:00,79169,4.207,,,,
68,11/14/2017,23:15:00,79156,4.207,,,,
69,11/14/2017,23:45:00,79143,4.207,,,,
70,11/15/2017,0:15:00,79156,4.207,,,,
71,11/15/2017,0:45:00,79156,4.207,,,,
72,11/15/2017,1:15:00,79143,4.207,,,,
73,11/15/2017,1:45:00,79130,4.207,,,,
74,11/15/2017,2:15:00,79130,4.207,,,,
75,11/15/2017,2:45:00,79117,4.207,,,,
76,11/15/2017,3:15:00,79091,4.207,,,,
77,11/15/2017,3:45:00,79117,4.207,,,,
78,11/15/2017,4:15:00,79104,4.207,,,,
79,11/15/2017,4:45:00,79143,4.207,,,,
80,11/15/2017,5:15:00,79156,4.207,,,,
81,11/15/2017,5:45:00,79182,4.207,,,,
82,11/15/2017,6:15:00,79182,4.207,,,,
83,11/15/2017,6:45:00,79221,4.207,,,,
84,11/15/2017,7:15:00,79247,4.207,,,,
85,11/15/2017,7:45:00,79273,4.207,,,,
86,11/15/2017,8:15:00,79286,4.207,,,,
87,11/15/2017,8:45:00,79299,4.207,,,,
88,11/15/2017,9:15:00,79286,4.207,,,,
89,11/15/2017,9:45:00,79247,4.207,,,,
90,11/15/2017,10:15:00,79221,4.207,,,,
91,11/15/2017,10:45:00,79234,4.207,,,,
92,11/15/2017,11:15:00,79195,4.207,,,,
93,11/15/2017,11:45:00,79156,4.207,,,,
94,11/15/2017,12:15:00,79102,4.102,,,,
95,11/15/2017,12:45:00,79091,4.207,,,,
96,11/15/2017,13:15:00,79065,4.207,,,,
97,11/15/2017,13:45:00,79052,4.207,,,,
98,11/15/2017,14:15:00,79013,4.207,,,,
99,11/15/2017,14:45:00,79013,4.207,,,,
100,11/15/2017,15:15:00,79000,4.207,,,,
101,11/15/2017,15:45:00,78987,4.207,,,,
102,11/15/2017,16:15:00,78987,4.207,,,,
103,11/15/2017,16:45:00,78974,4.207,,,,
104,11/15/2017,17:15:00,79000,4.207,,,,
105,11/15/2017,17:45:00,79026,4.207,,,,
106,11/15/2017,18:15:00,79039,4.207,,,,
107,11/15/2017,18:45:00,79065,4.207,,,,
108,11/15/2017,19:15:00,79117,4.207,,,,
109,11/15/2017,19:45:00,79117,4.207,,,,
110,11/15/2017,20:15:00,79156,4.207,,,,
111,11/15/2017,20:45:00,79156,4.207,,,,
112,11/15/2017,21:15:00,79169,4.207,,,,
113,11/15/2017,21:45:00,79156,4.207,,,,
114,11/15/2017,22:15:00,79156,4.207,,,,
115,11/15/2017,22:45:00,79130,4.207,,,,
116,11/15/2017,23:15:00,79104,4.207,,,,
117,11/15/2017,23:45:00,79091,4.207,,,,
118,11/16/2017,0:15:00,79079,4.311,,,,
119,11/16/2017,0:45:00,79065,4.207,,,,
120,11/16/2017,1:15:00,79052,4.207,,,,
121,11/16/2017,1:45:00,79026,4.207,,,,
122,11/16/2017,2:15:00,79000,4.207,,,,
123,11/16/2017,2:45:00,78987,4.207,,,,
124,11/16/2017,3:15:00,78961,4.207,,,,
125,11/16/2017,3:45:00,78948,4.207,,,,
126,11/16/2017,4:15:00,78935,4.207,,,,
127,11/16/2017,4:45:00,78935,4.207,,,,
128,11/16/2017,5:15:00,78908,4.207,,,,
129,11/16/2017,5:45:00,78895,4.207,,,,
130,11/16/2017,6:15:00,78895,4.207,,,,
131,11/16/2017,6:45:00,78908,4.207,,,,
132,11/16/2017,7:15:00,78921,4.207,,,,
133,11/16/2017,7:45:00,78935,4.207,,,,
134,11/16/2017,8:15:00,78961,4.207,,,,
135,11/16/2017,8:45:00,78935,4.207,,,,
136,11/16/2017,9:15:00,78935,4.207,,,,
137,11/16/2017,9:45:00,78935,4.207,,,,
138,11/16/2017,10:15:00,78961,4.207,,,,
139,11/16/2017,10:45:00,78948,4.207,,,,
140,11/16/2017,11:15:00,78908,4.207,,,,
141,11/16/2017,11:45:00,78882,4.207,,,,
142,11/16/2017,12:15:00,78830,4.207,,,,
143,11/16/2017,12:45:00,78791,4.207,,,,
144,11/16/2017,13:15:00,78739,4.207,,,,
145,11/16/2017,13:45:00,78752,4.207,,,,
146,11/16/2017,14:15:00,78700,4.207,,,,
147,11/16/2017,14:45:00,78700,4.207,,,,
148,11/16/2017,15:15:00,78713,4.207,,,,
149,11/16/2017,15:45:00,78713,4.207,,,,
150,11/16/2017,16:15:00,78726,4.207,,,,
151,11/16/2017,16:45:00,78739,4.207,,,,
152,11/16/2017,17:15:00,78778,4.207,,,,
153,11/16/2017,17:45:00,78791,4.207,,,,
154,11/16/2017,18:15:00,78856,4.207,,,,
155,11/16/2017,18:45:00,78895,4.207,,,,
156,11/16/2017,19:15:00,78908,4.207,,,,
157,11/16/2017,19:45:00,78935,4.207,,,,
158,11/16/2017,20:15:00,78908,4.207,,,,
159,11/16/2017,20:45:00,78908,4.207,,,,
160,11/16/2017,21:15:00,78948,4.207,,,,
161,11/16/2017,21:45:00,78935,4.207,,,,
162,11/16/2017,22:15:00,78921,4.207,,,,
163,11/16/2017,22:45:00,78948,4.207,,,,
164,11/16/2017,23:15:00,78935,4.207,,,,
165,11/16/2017,23:45:00,78935,4.207,,,,
166,11/17/2017,0:15:00,78948,4.207,,,,
167,11/17/2017,0:45:00,78869,4.207,,,,
168,11/17/2017,1:15:00,78817,4.207,,,,
