Plot Title: Jaram abv EFJ 9811664 20180601,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811664, SEN S/N: 9811664)","Temp, °C (LGR S/N: 9811664, SEN S/N: 9811664)",Coupler Detached (LGR S/N: 9811664),Coupler Attached (LGR S/N: 9811664),Stopped (LGR S/N: 9811664),End Of File (LGR S/N: 9811664)
1,6/1/2018,14:45:00,77394,9.077,Logged,,,
2,6/1/2018,15:00:00,77394,9.077,,,,
3,6/1/2018,15:15:00,77394,9.077,,,,
4,6/1/2018,15:30:00,77379,8.978,,,,
5,6/1/2018,15:45:00,77379,8.978,,,,
6,6/1/2018,16:00:00,77393,8.978,,,,
7,6/1/2018,16:15:00,77379,8.978,,,,
8,6/1/2018,16:30:00,77379,8.978,,,,
9,6/1/2018,16:45:00,77365,8.879,,,,
10,6/1/2018,17:00:00,77365,8.879,,,,
11,6/1/2018,17:15:00,77365,8.879,,,,
12,6/1/2018,17:30:00,77365,8.879,,,,
13,6/1/2018,17:45:00,77365,8.879,,,,
14,6/1/2018,18:00:00,77365,8.879,,,,
15,6/1/2018,18:15:00,77339,8.879,,,,
16,6/1/2018,18:30:00,77339,8.879,,,,
17,6/1/2018,18:45:00,77339,8.879,,,,
18,6/1/2018,19:00:00,77365,8.879,,,,
19,6/1/2018,19:15:00,77365,8.879,,,,
20,6/1/2018,19:30:00,77391,8.879,,,,
21,6/1/2018,19:45:00,77378,8.879,,,,
22,6/1/2018,20:00:00,77404,8.879,,,,
23,6/1/2018,20:15:00,77417,8.879,,,,
24,6/1/2018,20:30:00,77404,8.879,,,,
25,6/1/2018,20:45:00,77430,8.879,,,,
26,6/1/2018,21:00:00,77430,8.879,,,,
27,6/1/2018,21:15:00,77469,8.879,,,,
28,6/1/2018,21:30:00,77495,8.879,,,,
29,6/1/2018,21:45:00,77509,8.879,,,,
30,6/1/2018,22:00:00,77548,8.879,,,,
31,6/1/2018,22:15:00,77561,8.879,,,,
32,6/1/2018,22:30:00,77574,8.879,,,,
33,6/1/2018,22:45:00,77587,8.879,,,,
34,6/1/2018,23:00:00,77613,8.879,,,,
35,6/1/2018,23:15:00,77613,8.879,,,,
36,6/1/2018,23:30:00,77600,8.879,,,,
37,6/1/2018,23:45:00,77600,8.879,,,,
38,6/2/2018,0:00:00,77626,8.879,,,,
39,6/2/2018,0:15:00,77626,8.879,,,,
40,6/2/2018,0:30:00,77639,8.879,,,,
41,6/2/2018,0:45:00,77652,8.879,,,,
42,6/2/2018,1:00:00,77626,8.879,,,,
43,6/2/2018,1:15:00,77626,8.879,,,,
44,6/2/2018,1:30:00,77639,8.879,,,,
45,6/2/2018,1:45:00,77613,8.879,,,,
46,6/2/2018,2:00:00,77600,8.879,,,,
47,6/2/2018,2:15:00,77600,8.879,,,,
48,6/2/2018,2:30:00,77587,8.879,,,,
49,6/2/2018,2:45:00,77587,8.879,,,,
50,6/2/2018,3:00:00,77613,8.879,,,,
51,6/2/2018,3:15:00,77613,8.879,,,,
52,6/2/2018,3:30:00,77652,8.879,,,,
53,6/2/2018,3:45:00,77678,8.879,,,,
54,6/2/2018,4:00:00,77678,8.879,,,,
55,6/2/2018,4:15:00,77703,8.779,,,,
56,6/2/2018,4:30:00,77742,8.779,,,,
57,6/2/2018,4:45:00,77742,8.779,,,,
58,6/2/2018,5:00:00,77729,8.779,,,,
59,6/2/2018,5:15:00,77768,8.779,,,,
60,6/2/2018,5:30:00,77781,8.779,,,,
61,6/2/2018,5:45:00,77781,8.779,,,,
62,6/2/2018,6:00:00,77807,8.779,,,,
63,6/2/2018,6:15:00,77819,8.68,,,,
64,6/2/2018,6:30:00,77806,8.68,,,,
65,6/2/2018,6:45:00,77832,8.68,,,,
66,6/2/2018,7:00:00,77832,8.68,,,,
67,6/2/2018,7:15:00,77832,8.68,,,,
68,6/2/2018,7:30:00,77845,8.68,,,,
69,6/2/2018,7:45:00,77871,8.68,,,,
70,6/2/2018,8:00:00,77858,8.68,,,,
71,6/2/2018,8:15:00,77871,8.68,,,,
72,6/2/2018,8:30:00,77897,8.68,,,,
73,6/2/2018,8:45:00,77923,8.68,,,,
74,6/2/2018,9:00:00,77923,8.68,,,,
75,6/2/2018,9:15:00,77923,8.68,,,,
76,6/2/2018,9:30:00,77923,8.68,,,,
77,6/2/2018,9:45:00,77910,8.68,,,,
78,6/2/2018,10:00:00,77936,8.68,,,,
79,6/2/2018,10:15:00,77910,8.68,,,,
80,6/2/2018,10:30:00,77910,8.68,,,,
81,6/2/2018,10:45:00,77897,8.68,,,,
82,6/2/2018,11:00:00,77898,8.779,,,,
83,6/2/2018,11:15:00,77885,8.779,,,,
84,6/2/2018,11:30:00,77911,8.779,,,,
85,6/2/2018,11:45:00,77885,8.779,,,,
86,6/2/2018,12:00:00,77872,8.779,,,,
87,6/2/2018,12:15:00,77885,8.779,,,,
88,6/2/2018,12:30:00,77885,8.779,,,,
89,6/2/2018,12:45:00,77898,8.779,,,,
90,6/2/2018,13:00:00,77898,8.779,,,,
91,6/2/2018,13:15:00,77872,8.779,,,,
92,6/2/2018,13:30:00,77859,8.779,,,,
93,6/2/2018,13:45:00,77833,8.779,,,,
94,6/2/2018,14:00:00,77833,8.779,,,,
95,6/2/2018,14:15:00,77820,8.779,,,,
96,6/2/2018,14:30:00,77820,8.779,,,,
97,6/2/2018,14:45:00,77794,8.779,,,,
98,6/2/2018,15:00:00,77820,8.779,,,,
99,6/2/2018,15:15:00,77807,8.779,,,,
100,6/2/2018,15:30:00,77768,8.779,,,,
101,6/2/2018,15:45:00,77768,8.779,,,,
102,6/2/2018,16:00:00,77755,8.779,,,,
103,6/2/2018,16:15:00,77781,8.779,,,,
104,6/2/2018,16:30:00,77794,8.779,,,,
105,6/2/2018,16:45:00,77794,8.779,,,,
106,6/2/2018,17:00:00,77794,8.779,,,,
107,6/2/2018,17:15:00,77768,8.779,,,,
108,6/2/2018,17:30:00,77756,8.879,,,,
109,6/2/2018,17:45:00,77756,8.879,,,,
110,6/2/2018,18:00:00,77743,8.879,,,,
111,6/2/2018,18:15:00,77730,8.879,,,,
112,6/2/2018,18:30:00,77730,8.879,,,,
113,6/2/2018,18:45:00,77717,8.879,,,,
114,6/2/2018,19:00:00,77730,8.879,,,,
115,6/2/2018,19:15:00,77717,8.879,,,,
116,6/2/2018,19:30:00,77730,8.879,,,,
117,6/2/2018,19:45:00,77730,8.879,,,,
118,6/2/2018,20:00:00,77756,8.879,,,,
119,6/2/2018,20:15:00,77769,8.879,,,,
120,6/2/2018,20:30:00,77782,8.879,,,,
121,6/2/2018,20:45:00,77769,8.879,,,,
122,6/2/2018,21:00:00,77795,8.879,,,,
123,6/2/2018,21:15:00,77808,8.879,,,,
124,6/2/2018,21:30:00,77834,8.879,,,,
125,6/2/2018,21:45:00,77834,8.879,,,,
126,6/2/2018,22:00:00,77873,8.879,,,,
127,6/2/2018,22:15:00,77886,8.879,,,,
128,6/2/2018,22:30:00,77886,8.879,,,,
129,6/2/2018,22:45:00,77886,8.879,,,,
130,6/2/2018,23:00:00,77899,8.879,,,,
131,6/2/2018,23:15:00,77899,8.879,,,,
132,6/2/2018,23:30:00,77925,8.879,,,,
133,6/2/2018,23:45:00,77925,8.879,,,,
134,6/3/2018,0:00:00,77925,8.879,,,,
135,6/3/2018,0:15:00,77927,8.978,,,,
136,6/3/2018,0:30:00,77927,8.978,,,,
137,6/3/2018,0:45:00,77940,8.978,,,,
138,6/3/2018,1:00:00,77927,8.978,,,,
139,6/3/2018,1:15:00,77927,8.978,,,,
140,6/3/2018,1:30:00,77927,8.978,,,,
141,6/3/2018,1:45:00,77914,8.978,,,,
142,6/3/2018,2:00:00,77927,8.978,,,,
143,6/3/2018,2:15:00,77914,8.978,,,,
144,6/3/2018,2:30:00,77914,8.978,,,,
145,6/3/2018,2:45:00,77927,8.978,,,,
146,6/3/2018,3:00:00,77940,8.978,,,,
147,6/3/2018,3:15:00,77927,8.978,,,,
148,6/3/2018,3:30:00,77927,8.978,,,,
149,6/3/2018,3:45:00,77953,8.978,,,,
150,6/3/2018,4:00:00,77953,8.978,,,,
151,6/3/2018,4:15:00,77979,8.978,,,,
152,6/3/2018,4:30:00,77992,8.978,,,,
153,6/3/2018,4:45:00,77992,8.978,,,,
154,6/3/2018,5:00:00,78018,8.978,,,,
155,6/3/2018,5:15:00,77992,8.978,,,,
156,6/3/2018,5:30:00,78005,8.978,,,,
157,6/3/2018,5:45:00,78018,8.978,,,,
158,6/3/2018,6:00:00,78031,8.978,,,,
159,6/3/2018,6:15:00,78044,8.978,,,,
160,6/3/2018,6:30:00,78018,8.978,,,,
161,6/3/2018,6:45:00,78070,8.978,,,,
162,6/3/2018,7:00:00,78031,8.978,,,,
163,6/3/2018,7:15:00,78070,8.978,,,,
164,6/3/2018,7:30:00,78096,8.978,,,,
165,6/3/2018,7:45:00,78018,8.978,,,,
166,6/3/2018,8:00:00,78005,8.978,,,,
167,6/3/2018,8:15:00,78031,8.978,,,,
168,6/3/2018,8:30:00,78018,8.978,,,,
169,6/3/2018,8:45:00,78005,8.978,,,,
170,6/3/2018,9:00:00,77979,8.978,,,,
171,6/3/2018,9:15:00,77979,8.978,,,,
172,6/3/2018,9:30:00,77966,8.978,,,,
173,6/3/2018,9:45:00,77953,8.978,,,,
174,6/3/2018,10:00:00,77966,8.978,,,,
175,6/3/2018,10:15:00,77953,8.978,,,,
176,6/3/2018,10:30:00,77901,8.978,,,,
177,6/3/2018,10:45:00,77927,8.978,,,,
178,6/3/2018,11:00:00,77940,8.978,,,,
179,6/3/2018,11:15:00,77953,8.978,,,,
180,6/3/2018,11:30:00,77980,9.077,,,,
181,6/3/2018,11:45:00,77954,9.077,,,,
182,6/3/2018,12:00:00,77928,9.077,,,,
183,6/3/2018,12:15:00,77889,9.077,,,,
184,6/3/2018,12:30:00,77863,9.077,,,,
185,6/3/2018,12:45:00,77850,9.077,,,,
186,6/3/2018,13:00:00,77824,9.077,,,,
187,6/3/2018,13:15:00,77811,9.077,,,,
188,6/3/2018,13:30:00,77811,9.077,,,,
189,6/3/2018,13:45:00,77798,9.077,,,,
190,6/3/2018,14:00:00,77811,9.077,,,,
191,6/3/2018,14:15:00,77876,9.077,,,,
192,6/3/2018,14:30:00,77850,9.077,,,,
193,6/3/2018,14:45:00,77850,9.077,,,,
194,6/3/2018,15:00:00,77811,9.077,,,,
195,6/3/2018,15:15:00,77798,9.077,,,,
196,6/3/2018,15:30:00,77654,9.077,,,,
197,6/3/2018,15:45:00,77667,9.077,,,,
198,6/3/2018,16:00:00,77720,9.077,,,,
199,6/3/2018,16:15:00,77720,9.077,,,,
200,6/3/2018,16:30:00,77759,9.077,,,,
201,6/3/2018,16:45:00,77720,9.077,,,,
202,6/3/2018,17:00:00,77746,9.077,,,,
203,6/3/2018,17:15:00,77733,9.077,,,,
204,6/3/2018,17:30:00,77720,9.077,,,,
205,6/3/2018,17:45:00,77680,9.077,,,,
206,6/3/2018,18:00:00,77694,9.077,,,,
207,6/3/2018,18:15:00,77680,9.077,,,,
208,6/3/2018,18:30:00,77694,9.077,,,,
209,6/3/2018,18:45:00,77667,9.077,,,,
210,6/3/2018,19:00:00,77680,9.077,,,,
211,6/3/2018,19:15:00,77680,9.077,,,,
212,6/3/2018,19:30:00,77667,9.077,,,,
213,6/3/2018,19:45:00,77641,9.077,,,,
214,6/3/2018,20:00:00,77654,9.077,,,,
215,6/3/2018,20:15:00,77654,9.077,,,,
216,6/3/2018,20:30:00,77654,9.077,,,,
217,6/3/2018,20:45:00,77707,9.077,,,,
218,6/3/2018,21:00:00,77720,9.077,,,,
219,6/3/2018,21:15:00,77772,9.077,,,,
220,6/3/2018,21:30:00,77798,9.077,,,,
