"Plot Title: Jaram abv EFJ 9811664 20190725"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811664, SEN S/N: 9811664)","Temp, °C (LGR S/N: 9811664, SEN S/N: 9811664)","Coupler Detached (LGR S/N: 9811664)","End Of File (LGR S/N: 9811664)"
1,07/25/19 11:00:00 AM,80807,16.141,Logged,
2,07/25/19 11:15:00 AM,80810,15.473,,
3,07/25/19 11:30:00 AM,80795,15.378,,
4,07/25/19 11:45:00 AM,80780,15.282,,
5,07/25/19 12:00:00 PM,80766,15.187,,
6,07/25/19 12:15:00 PM,80725,15.091,,
7,07/25/19 12:30:00 PM,80724,14.996,,
8,07/25/19 12:45:00 PM,80802,14.996,,
9,07/25/19 01:00:00 PM,80827,14.900,,
10,07/25/19 01:15:00 PM,80866,14.900,,
11,07/25/19 01:30:00 PM,80851,14.804,,
12,07/25/19 01:45:00 PM,80851,14.804,,
13,07/25/19 02:00:00 PM,80851,14.804,,
14,07/25/19 02:15:00 PM,80863,14.709,,
15,07/25/19 02:30:00 PM,80850,14.709,,
16,07/25/19 02:45:00 PM,80837,14.709,,
17,07/25/19 03:00:00 PM,80824,14.709,,
18,07/25/19 03:15:00 PM,80783,14.613,,
19,07/25/19 03:30:00 PM,80796,14.613,,
20,07/25/19 03:45:00 PM,80796,14.613,,
21,07/25/19 04:00:00 PM,80796,14.613,,
22,07/25/19 04:15:00 PM,80782,14.517,,
23,07/25/19 04:30:00 PM,80743,14.517,,
24,07/25/19 04:45:00 PM,80717,14.517,,
25,07/25/19 05:00:00 PM,80730,14.517,,
26,07/25/19 05:15:00 PM,80717,14.517,,
27,07/25/19 05:30:00 PM,80704,14.517,,
28,07/25/19 05:45:00 PM,80717,14.517,,
29,07/25/19 06:00:00 PM,80676,14.421,,
30,07/25/19 06:15:00 PM,80689,14.421,,
31,07/25/19 06:30:00 PM,80676,14.421,,
32,07/25/19 06:45:00 PM,80715,14.421,,
33,07/25/19 07:00:00 PM,80780,14.421,,
34,07/25/19 07:15:00 PM,80806,14.421,,
35,07/25/19 07:30:00 PM,80845,14.421,,
36,07/25/19 07:45:00 PM,80806,14.421,,
37,07/25/19 08:00:00 PM,80819,14.421,,
38,07/25/19 08:15:00 PM,80872,14.421,,
39,07/25/19 08:30:00 PM,80883,14.325,,
40,07/25/19 08:45:00 PM,80883,14.325,,
41,07/25/19 09:00:00 PM,80922,14.325,,
42,07/25/19 09:15:00 PM,80974,14.325,,
43,07/25/19 09:30:00 PM,80987,14.325,,
44,07/25/19 09:45:00 PM,80987,14.325,,
45,07/25/19 10:00:00 PM,81027,14.325,,
46,07/25/19 10:15:00 PM,81040,14.325,,
47,07/25/19 10:30:00 PM,81079,14.325,,
48,07/25/19 10:45:00 PM,81079,14.325,,
49,07/25/19 11:00:00 PM,81079,14.325,,
50,07/25/19 11:15:00 PM,81066,14.325,,
51,07/25/19 11:30:00 PM,81079,14.325,,
52,07/25/19 11:45:00 PM,81053,14.325,,
53,07/26/19 12:00:00 AM,81053,14.325,,
54,07/26/19 12:15:00 AM,81040,14.325,,
55,07/26/19 12:30:00 AM,81040,14.325,,
56,07/26/19 12:45:00 AM,81027,14.325,,
57,07/26/19 01:00:00 AM,80973,14.230,,
58,07/26/19 01:15:00 AM,80986,14.230,,
59,07/26/19 01:30:00 AM,80947,14.230,,
60,07/26/19 01:45:00 AM,80921,14.230,,
61,07/26/19 02:00:00 AM,80895,14.230,,
62,07/26/19 02:15:00 AM,80908,14.230,,
63,07/26/19 02:30:00 AM,80908,14.230,,
64,07/26/19 02:45:00 AM,80908,14.230,,
65,07/26/19 03:00:00 AM,80895,14.230,,
66,07/26/19 03:15:00 AM,80882,14.230,,
67,07/26/19 03:30:00 AM,80895,14.230,,
68,07/26/19 03:45:00 AM,80882,14.230,,
69,07/26/19 04:00:00 AM,80882,14.230,,
70,07/26/19 04:15:00 AM,80882,14.230,,
71,07/26/19 04:30:00 AM,80856,14.230,,
72,07/26/19 04:45:00 AM,80869,14.230,,
73,07/26/19 05:00:00 AM,80882,14.230,,
74,07/26/19 05:15:00 AM,80843,14.230,,
75,07/26/19 05:30:00 AM,80856,14.230,,
76,07/26/19 05:45:00 AM,80856,14.230,,
77,07/26/19 06:00:00 AM,80869,14.230,,
78,07/26/19 06:15:00 AM,80869,14.230,,
79,07/26/19 06:30:00 AM,80882,14.230,,
80,07/26/19 06:45:00 AM,80895,14.230,,
81,07/26/19 07:00:00 AM,80882,14.230,,
82,07/26/19 07:15:00 AM,80908,14.230,,
83,07/26/19 07:30:00 AM,80908,14.230,,
84,07/26/19 07:45:00 AM,80921,14.230,,
85,07/26/19 08:00:00 AM,80934,14.230,,
86,07/26/19 08:15:00 AM,80960,14.230,,
87,07/26/19 08:30:00 AM,80973,14.230,,
88,07/26/19 08:45:00 AM,80973,14.230,,
89,07/26/19 09:00:00 AM,80986,14.230,,
90,07/26/19 09:15:00 AM,80986,14.230,,
91,07/26/19 09:30:00 AM,80972,14.134,,
92,07/26/19 09:45:00 AM,80998,14.134,,
93,07/26/19 10:00:00 AM,80998,14.134,,
94,07/26/19 10:15:00 AM,80998,14.134,,
95,07/26/19 10:30:00 AM,81011,14.134,,
96,07/26/19 10:45:00 AM,80998,14.134,,
97,07/26/19 11:00:00 AM,81011,14.134,,
98,07/26/19 11:15:00 AM,80985,14.134,,
99,07/26/19 11:30:00 AM,80985,14.134,,
100,07/26/19 11:45:00 AM,80985,14.134,,
101,07/26/19 12:00:00 PM,80985,14.134,,
102,07/26/19 12:15:00 PM,80972,14.134,,
103,07/26/19 12:30:00 PM,80958,14.134,,
104,07/26/19 12:45:00 PM,80972,14.134,,
105,07/26/19 01:00:00 PM,80958,14.134,,
106,07/26/19 01:15:00 PM,80945,14.134,,
107,07/26/19 01:30:00 PM,80919,14.134,,
108,07/26/19 01:45:00 PM,80906,14.134,,
109,07/26/19 02:00:00 PM,80893,14.134,,
110,07/26/19 02:15:00 PM,80893,14.134,,
111,07/26/19 02:30:00 PM,80880,14.134,,
112,07/26/19 02:45:00 PM,80867,14.134,,
113,07/26/19 03:00:00 PM,80854,14.134,,
114,07/26/19 03:15:00 PM,80828,14.134,,
115,07/26/19 03:30:00 PM,80802,14.134,,
116,07/26/19 03:45:00 PM,80802,14.134,,
117,07/26/19 04:00:00 PM,80789,14.134,,
118,07/26/19 04:15:00 PM,80789,14.134,,
