"Plot Title: Jaram abv EFJ 9811664 20141028-"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811664, SEN S/N: 9811664)","Temp, °C (LGR S/N: 9811664, SEN S/N: 9811664)","Coupler Detached (LGR S/N: 9811664)","Coupler Attached (LGR S/N: 9811664)","Stopped (LGR S/N: 9811664)","End Of File (LGR S/N: 9811664)"
1,10/28/14 12:00:00 PM,79813,6.775,Logged,,,
2,10/28/14 12:30:00 PM,79785,6.674,,,,
3,10/28/14 01:00:00 PM,79787,6.775,,,,
4,10/28/14 01:30:00 PM,79748,6.775,,,,
5,10/28/14 02:00:00 PM,79722,6.775,,,,
6,10/28/14 02:30:00 PM,79697,6.877,,,,
7,10/28/14 03:00:00 PM,79671,6.877,,,,
8,10/28/14 03:30:00 PM,79697,6.877,,,,
9,10/28/14 04:00:00 PM,79684,6.877,,,,
10,10/28/14 04:30:00 PM,79711,6.978,,,,
11,10/28/14 05:00:00 PM,79737,6.978,,,,
12,10/28/14 05:30:00 PM,79763,6.978,,,,
13,10/28/14 06:00:00 PM,79763,6.978,,,,
14,10/28/14 06:30:00 PM,79778,7.079,,,,
15,10/28/14 07:00:00 PM,79817,7.079,,,,
16,10/28/14 07:30:00 PM,79867,6.978,,,,
17,10/28/14 08:00:00 PM,79906,6.978,,,,
18,10/28/14 08:30:00 PM,79893,6.978,,,,
19,10/28/14 09:00:00 PM,79918,6.877,,,,
20,10/28/14 09:30:00 PM,79918,6.877,,,,
21,10/28/14 10:00:00 PM,79930,6.775,,,,
22,10/28/14 10:30:00 PM,79943,6.775,,,,
23,10/28/14 11:00:00 PM,79955,6.674,,,,
24,10/28/14 11:30:00 PM,79929,6.674,,,,
25,10/29/14 12:00:00 AM,79966,6.573,,,,
26,10/29/14 12:30:00 AM,79966,6.573,,,,
27,10/29/14 01:00:00 AM,79952,6.471,,,,
28,10/29/14 01:30:00 AM,79977,6.370,,,,
29,10/29/14 02:00:00 AM,79990,6.370,,,,
30,10/29/14 02:30:00 AM,79977,6.370,,,,
31,10/29/14 03:00:00 AM,79949,6.268,,,,
32,10/29/14 03:30:00 AM,79948,6.166,,,,
33,10/29/14 04:00:00 AM,79974,6.166,,,,
34,10/29/14 04:30:00 AM,79947,6.064,,,,
35,10/29/14 05:00:00 AM,79947,6.064,,,,
36,10/29/14 05:30:00 AM,79958,5.962,,,,
37,10/29/14 06:00:00 AM,79985,5.962,,,,
38,10/29/14 06:30:00 AM,79998,5.962,,,,
39,10/29/14 07:00:00 AM,80022,5.860,,,,
40,10/29/14 07:30:00 AM,80008,5.757,,,,
41,10/29/14 08:00:00 AM,80034,5.757,,,,
42,10/29/14 08:30:00 AM,80046,5.655,,,,
43,10/29/14 09:00:00 AM,80059,5.655,,,,
44,10/29/14 09:30:00 AM,80046,5.655,,,,
