"Plot Title: Jaram abv EFJ 9811664 20170601"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811664, SEN S/N: 9811664)","Temp, °C (LGR S/N: 9811664, SEN S/N: 9811664)","Coupler Detached (LGR S/N: 9811664)","Coupler Attached (LGR S/N: 9811664)","Stopped (LGR S/N: 9811664)","End Of File (LGR S/N: 9811664)"
1,07/07/17 02:00:00 PM,75456,16.999,,,,
2,07/07/17 02:03:10 PM,,,Logged,,,
3,07/07/17 02:15:00 PM,75415,18.616,,,,
4,07/07/17 02:30:00 PM,79429,17.284,,,,
5,07/07/17 02:45:00 PM,79410,16.903,,,,
6,07/07/17 03:00:00 PM,79417,16.523,,,,
7,07/07/17 03:15:00 PM,79385,16.141,,,,
8,07/07/17 03:30:00 PM,79395,15.951,,,,
9,07/07/17 03:45:00 PM,79378,15.664,,,,
10,07/07/17 04:00:00 PM,79363,15.569,,,,
11,07/07/17 04:15:00 PM,79321,15.378,,,,
12,07/07/17 04:30:00 PM,79331,15.187,,,,
13,07/07/17 04:45:00 PM,79304,15.091,,,,
14,07/07/17 05:00:00 PM,79302,14.996,,,,
15,07/07/17 05:15:00 PM,79327,14.900,,,,
16,07/07/17 05:30:00 PM,79325,14.804,,,,
17,07/07/17 05:45:00 PM,79337,14.709,,,,
18,07/07/17 06:00:00 PM,79310,14.613,,,,
19,07/07/17 06:15:00 PM,79347,14.517,,,,
20,07/07/17 06:30:00 PM,79360,14.517,,,,
21,07/07/17 06:45:00 PM,79398,14.421,,,,
22,07/07/17 07:00:00 PM,79397,14.325,,,,
23,07/07/17 07:15:00 PM,79370,14.325,,,,
24,07/07/17 07:30:00 PM,79357,14.325,,,,
25,07/07/17 07:45:00 PM,79317,14.230,,,,
26,07/07/17 08:00:00 PM,79278,14.230,,,,
27,07/07/17 08:15:00 PM,79302,14.134,,,,
28,07/07/17 08:30:00 PM,79315,14.134,,,,
29,07/07/17 08:45:00 PM,79342,14.134,,,,
30,07/07/17 09:00:00 PM,79340,14.038,,,,
31,07/07/17 09:15:00 PM,79340,14.038,,,,
32,07/07/17 09:30:00 PM,79366,14.038,,,,
33,07/07/17 09:45:00 PM,79352,13.942,,,,
34,07/07/17 10:00:00 PM,79378,13.942,,,,
35,07/07/17 10:15:00 PM,79365,13.942,,,,
36,07/07/17 10:30:00 PM,79391,13.942,,,,
37,07/07/17 10:45:00 PM,79404,13.942,,,,
38,07/07/17 11:00:00 PM,79402,13.846,,,,
39,07/07/17 11:15:00 PM,79402,13.846,,,,
40,07/07/17 11:30:00 PM,79416,13.846,,,,
41,07/07/17 11:45:00 PM,79429,13.846,,,,
42,07/08/17 12:00:00 AM,79442,13.846,,,,
43,07/08/17 12:15:00 AM,79442,13.846,,,,
44,07/08/17 12:30:00 AM,79466,13.750,,,,
45,07/08/17 12:45:00 AM,79466,13.750,,,,
46,07/08/17 01:00:00 AM,79479,13.750,,,,
47,07/08/17 01:15:00 AM,79466,13.750,,,,
48,07/08/17 01:30:00 AM,79466,13.750,,,,
49,07/08/17 01:45:00 AM,79466,13.750,,,,
50,07/08/17 02:00:00 AM,79453,13.750,,,,
51,07/08/17 02:15:00 AM,79466,13.750,,,,
52,07/08/17 02:30:00 AM,79452,13.654,,,,
53,07/08/17 02:45:00 AM,79452,13.654,,,,
54,07/08/17 03:00:00 AM,79452,13.654,,,,
55,07/08/17 03:15:00 AM,79439,13.654,,,,
56,07/08/17 03:30:00 AM,79413,13.654,,,,
57,07/08/17 03:45:00 AM,79400,13.654,,,,
58,07/08/17 04:00:00 AM,79400,13.654,,,,
59,07/08/17 04:15:00 AM,79400,13.654,,,,
60,07/08/17 04:30:00 AM,79413,13.654,,,,
61,07/08/17 04:45:00 AM,79400,13.654,,,,
62,07/08/17 05:00:00 AM,79400,13.654,,,,
63,07/08/17 05:15:00 AM,79411,13.558,,,,
64,07/08/17 05:30:00 AM,79398,13.558,,,,
65,07/08/17 05:45:00 AM,79398,13.558,,,,
66,07/08/17 06:00:00 AM,79398,13.558,,,,
67,07/08/17 06:15:00 AM,79398,13.558,,,,
68,07/08/17 06:30:00 AM,79398,13.558,,,,
69,07/08/17 06:45:00 AM,79411,13.558,,,,
70,07/08/17 07:00:00 AM,79411,13.558,,,,
71,07/08/17 07:15:00 AM,79424,13.558,,,,
72,07/08/17 07:30:00 AM,79436,13.461,,,,
73,07/08/17 07:45:00 AM,79436,13.461,,,,
74,07/08/17 08:00:00 AM,79475,13.461,,,,
75,07/08/17 08:15:00 AM,79475,13.461,,,,
76,07/08/17 08:30:00 AM,79475,13.461,,,,
77,07/08/17 08:45:00 AM,79475,13.461,,,,
78,07/08/17 09:00:00 AM,79475,13.461,,,,
79,07/08/17 09:15:00 AM,79449,13.461,,,,
80,07/08/17 09:30:00 AM,79462,13.461,,,,
81,07/08/17 09:45:00 AM,79449,13.461,,,,
82,07/08/17 10:00:00 AM,79436,13.461,,,,
83,07/08/17 10:15:00 AM,79423,13.461,,,,
84,07/08/17 10:30:00 AM,79397,13.461,,,,
85,07/08/17 10:45:00 AM,79410,13.461,,,,
86,07/08/17 11:00:00 AM,79410,13.461,,,,
87,07/08/17 11:15:00 AM,79410,13.461,,,,
88,07/08/17 11:30:00 AM,79410,13.461,,,,
89,07/08/17 11:45:00 AM,79397,13.461,,,,
90,07/08/17 12:00:00 PM,79410,13.461,,,,
91,07/08/17 12:15:00 PM,79397,13.461,,,,
92,07/08/17 12:30:00 PM,79384,13.461,,,,
93,07/08/17 12:45:00 PM,79397,13.461,,,,
94,07/08/17 01:00:00 PM,79371,13.461,,,,
95,07/08/17 01:15:00 PM,79345,13.461,,,,
96,07/08/17 01:30:00 PM,79345,13.461,,,,
97,07/08/17 01:45:00 PM,79330,13.365,,,,
98,07/08/17 02:00:00 PM,79319,13.461,,,,
99,07/08/17 02:15:00 PM,79343,13.365,,,,
100,07/08/17 02:30:00 PM,79319,13.461,,,,
101,07/08/17 02:45:00 PM,79317,13.365,,,,
102,07/08/17 03:00:00 PM,79278,13.365,,,,
103,07/08/17 03:15:00 PM,79278,13.365,,,,
104,07/08/17 03:30:00 PM,79291,13.365,,,,
105,07/08/17 03:45:00 PM,79291,13.365,,,,
106,07/08/17 04:00:00 PM,79291,13.365,,,,
107,07/08/17 04:15:00 PM,79291,13.365,,,,
108,07/08/17 04:30:00 PM,79291,13.365,,,,
109,07/08/17 04:45:00 PM,79278,13.365,,,,
110,07/08/17 05:00:00 PM,79252,13.365,,,,
111,07/08/17 05:15:00 PM,79239,13.365,,,,
112,07/08/17 05:30:00 PM,79252,13.365,,,,
113,07/08/17 05:45:00 PM,79252,13.365,,,,
114,07/08/17 06:00:00 PM,79278,13.365,,,,
115,07/08/17 06:15:00 PM,79265,13.365,,,,
116,07/08/17 06:30:00 PM,79239,13.365,,,,
117,07/08/17 06:45:00 PM,79226,13.365,,,,
118,07/08/17 07:00:00 PM,79213,13.365,,,,
119,07/08/17 07:15:00 PM,79226,13.365,,,,
120,07/08/17 07:30:00 PM,79239,13.365,,,,
121,07/08/17 07:45:00 PM,79239,13.365,,,,
122,07/08/17 08:00:00 PM,79265,13.365,,,,
123,07/08/17 08:15:00 PM,79265,13.365,,,,
124,07/08/17 08:30:00 PM,79291,13.365,,,,
125,07/08/17 08:45:00 PM,79291,13.365,,,,
126,07/08/17 09:00:00 PM,79304,13.365,,,,
127,07/08/17 09:15:00 PM,79317,13.365,,,,
128,07/08/17 09:30:00 PM,79330,13.365,,,,
129,07/08/17 09:45:00 PM,79356,13.365,,,,
130,07/08/17 10:00:00 PM,79369,13.365,,,,
131,07/08/17 10:15:00 PM,79382,13.365,,,,
132,07/08/17 10:30:00 PM,79395,13.365,,,,
133,07/08/17 10:45:00 PM,79408,13.365,,,,
134,07/08/17 11:00:00 PM,79395,13.365,,,,
135,07/08/17 11:15:00 PM,79384,13.461,,,,
136,07/08/17 11:30:00 PM,79421,13.365,,,,
137,07/08/17 11:45:00 PM,79436,13.461,,,,
138,07/09/17 12:00:00 AM,79423,13.461,,,,
139,07/09/17 12:15:00 AM,79423,13.461,,,,
140,07/09/17 12:30:00 AM,79423,13.461,,,,
141,07/09/17 12:45:00 AM,79449,13.461,,,,
142,07/09/17 01:00:00 AM,79436,13.461,,,,
143,07/09/17 01:15:00 AM,79423,13.461,,,,
144,07/09/17 01:30:00 AM,79410,13.461,,,,
145,07/09/17 01:45:00 AM,79410,13.461,,,,
146,07/09/17 02:00:00 AM,79410,13.461,,,,
147,07/09/17 02:15:00 AM,79408,13.365,,,,
148,07/09/17 02:30:00 AM,79410,13.461,,,,
149,07/09/17 02:45:00 AM,79423,13.461,,,,
150,07/09/17 03:00:00 AM,79369,13.365,,,,
151,07/09/17 03:15:00 AM,79382,13.365,,,,
152,07/09/17 03:30:00 AM,79369,13.365,,,,
153,07/09/17 03:45:00 AM,79343,13.365,,,,
154,07/09/17 04:00:00 AM,79369,13.365,,,,
155,07/09/17 04:15:00 AM,79343,13.365,,,,
156,07/09/17 04:30:00 AM,79330,13.365,,,,
157,07/09/17 04:45:00 AM,79330,13.365,,,,
158,07/09/17 05:00:00 AM,79343,13.365,,,,
159,07/09/17 05:15:00 AM,79356,13.365,,,,
160,07/09/17 05:30:00 AM,79343,13.365,,,,
161,07/09/17 05:45:00 AM,79343,13.365,,,,
162,07/09/17 06:00:00 AM,79355,13.269,,,,
163,07/09/17 06:15:00 AM,79342,13.269,,,,
164,07/09/17 06:30:00 AM,79342,13.269,,,,
165,07/09/17 06:45:00 AM,79355,13.269,,,,
166,07/09/17 07:00:00 AM,79368,13.269,,,,
