"Plot Title: Jaram abv EFJ 9811664 20170601"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811664, SEN S/N: 9811664)","Temp, °C (LGR S/N: 9811664, SEN S/N: 9811664)","Coupler Detached (LGR S/N: 9811664)","Coupler Attached (LGR S/N: 9811664)","Stopped (LGR S/N: 9811664)","End Of File (LGR S/N: 9811664)"
1,08/07/17 12:15:00 PM,75003,16.332,,,,
2,08/07/17 12:16:41 PM,,,Logged,,,
3,08/07/17 12:30:00 PM,79716,17.284,,,,
4,08/07/17 12:45:00 PM,79723,16.903,,,,
5,08/07/17 01:00:00 PM,79717,16.523,,,,
6,08/07/17 01:15:00 PM,79701,16.332,,,,
7,08/07/17 01:30:00 PM,79711,16.141,,,,
8,08/07/17 01:45:00 PM,79695,15.951,,,,
9,08/07/17 02:00:00 PM,79679,15.760,,,,
10,08/07/17 02:15:00 PM,79663,15.569,,,,
11,08/07/17 02:30:00 PM,79662,15.473,,,,
12,08/07/17 02:45:00 PM,79634,15.378,,,,
13,08/07/17 03:00:00 PM,79620,15.282,,,,
14,08/07/17 03:15:00 PM,79605,15.187,,,,
15,08/07/17 03:30:00 PM,79578,15.091,,,,
16,08/07/17 03:45:00 PM,79578,15.091,,,,
17,08/07/17 04:00:00 PM,79563,14.996,,,,
18,08/07/17 04:15:00 PM,79562,14.900,,,,
19,08/07/17 04:30:00 PM,79562,14.900,,,,
20,08/07/17 04:45:00 PM,79547,14.804,,,,
21,08/07/17 05:00:00 PM,79560,14.804,,,,
22,08/07/17 05:15:00 PM,79559,14.709,,,,
23,08/07/17 05:30:00 PM,79572,14.709,,,,
24,08/07/17 05:45:00 PM,79544,14.613,,,,
25,08/07/17 06:00:00 PM,79531,14.613,,,,
26,08/07/17 06:15:00 PM,79518,14.613,,,,
27,08/07/17 06:30:00 PM,79504,14.517,,,,
28,08/07/17 06:45:00 PM,79530,14.517,,,,
29,08/07/17 07:00:00 PM,79530,14.517,,,,
30,08/07/17 07:15:00 PM,79543,14.517,,,,
31,08/07/17 07:30:00 PM,79554,14.421,,,,
32,08/07/17 07:45:00 PM,79568,14.421,,,,
33,08/07/17 08:00:00 PM,79581,14.421,,,,
34,08/07/17 08:15:00 PM,79594,14.421,,,,
35,08/07/17 08:30:00 PM,79620,14.421,,,,
36,08/07/17 08:45:00 PM,79672,14.421,,,,
37,08/07/17 09:00:00 PM,79697,14.325,,,,
38,08/07/17 09:15:00 PM,79710,14.325,,,,
39,08/07/17 09:30:00 PM,79723,14.325,,,,
40,08/07/17 09:45:00 PM,79749,14.325,,,,
41,08/07/17 10:00:00 PM,79749,14.325,,,,
42,08/07/17 10:15:00 PM,79749,14.325,,,,
43,08/07/17 10:30:00 PM,79749,14.325,,,,
44,08/07/17 10:45:00 PM,79773,14.230,,,,
45,08/07/17 11:00:00 PM,79760,14.230,,,,
46,08/07/17 11:15:00 PM,79773,14.230,,,,
47,08/07/17 11:30:00 PM,79773,14.230,,,,
48,08/07/17 11:45:00 PM,79747,14.230,,,,
49,08/08/17 12:00:00 AM,79747,14.230,,,,
50,08/08/17 12:15:00 AM,79773,14.230,,,,
51,08/08/17 12:30:00 AM,79786,14.230,,,,
52,08/08/17 12:45:00 AM,79786,14.230,,,,
53,08/08/17 01:00:00 AM,79760,14.230,,,,
54,08/08/17 01:15:00 AM,79747,14.230,,,,
55,08/08/17 01:30:00 AM,79747,14.230,,,,
56,08/08/17 01:45:00 AM,79747,14.230,,,,
57,08/08/17 02:00:00 AM,79759,14.134,,,,
58,08/08/17 02:15:00 AM,79759,14.134,,,,
59,08/08/17 02:30:00 AM,79746,14.134,,,,
60,08/08/17 02:45:00 AM,79733,14.134,,,,
61,08/08/17 03:00:00 AM,79720,14.134,,,,
62,08/08/17 03:15:00 AM,79720,14.134,,,,
63,08/08/17 03:30:00 AM,79707,14.134,,,,
64,08/08/17 03:45:00 AM,79720,14.134,,,,
65,08/08/17 04:00:00 AM,79681,14.134,,,,
66,08/08/17 04:15:00 AM,79720,14.134,,,,
67,08/08/17 04:30:00 AM,79707,14.134,,,,
68,08/08/17 04:45:00 AM,79733,14.134,,,,
69,08/08/17 05:00:00 AM,79720,14.134,,,,
70,08/08/17 05:15:00 AM,79720,14.134,,,,
71,08/08/17 05:30:00 AM,79720,14.134,,,,
72,08/08/17 05:45:00 AM,79681,14.134,,,,
73,08/08/17 06:00:00 AM,79707,14.134,,,,
74,08/08/17 06:15:00 AM,79681,14.134,,,,
75,08/08/17 06:30:00 AM,79681,14.134,,,,
76,08/08/17 06:45:00 AM,79694,14.134,,,,
77,08/08/17 07:00:00 AM,79694,14.134,,,,
78,08/08/17 07:15:00 AM,79694,14.134,,,,
79,08/08/17 07:30:00 AM,79720,14.134,,,,
80,08/08/17 07:45:00 AM,79733,14.134,,,,
81,08/08/17 08:00:00 AM,79746,14.134,,,,
82,08/08/17 08:15:00 AM,79746,14.134,,,,
83,08/08/17 08:30:00 AM,79733,14.134,,,,
84,08/08/17 08:45:00 AM,79733,14.134,,,,
85,08/08/17 09:00:00 AM,79759,14.134,,,,
86,08/08/17 09:15:00 AM,79772,14.134,,,,
87,08/08/17 09:30:00 AM,79785,14.134,,,,
88,08/08/17 09:45:00 AM,79785,14.134,,,,
89,08/08/17 10:00:00 AM,79798,14.134,,,,
90,08/08/17 10:15:00 AM,79798,14.134,,,,
91,08/08/17 10:30:00 AM,79772,14.134,,,,
92,08/08/17 10:45:00 AM,79772,14.134,,,,
93,08/08/17 11:00:00 AM,79772,14.134,,,,
94,08/08/17 11:15:00 AM,79772,14.134,,,,
95,08/08/17 11:30:00 AM,79746,14.134,,,,
96,08/08/17 11:45:00 AM,79746,14.134,,,,
97,08/08/17 12:00:00 PM,79720,14.134,,,,
98,08/08/17 12:15:00 PM,79733,14.134,,,,
99,08/08/17 12:30:00 PM,79720,14.134,,,,
100,08/08/17 12:45:00 PM,79707,14.134,,,,
101,08/08/17 01:00:00 PM,79681,14.134,,,,
102,08/08/17 01:15:00 PM,79694,14.134,,,,
103,08/08/17 01:30:00 PM,79668,14.134,,,,
104,08/08/17 01:45:00 PM,79668,14.134,,,,
105,08/08/17 02:00:00 PM,79655,14.134,,,,
106,08/08/17 02:15:00 PM,79668,14.134,,,,
107,08/08/17 02:30:00 PM,79641,14.134,,,,
108,08/08/17 02:45:00 PM,79628,14.134,,,,
109,08/08/17 03:00:00 PM,79602,14.134,,,,
110,08/08/17 03:15:00 PM,79576,14.134,,,,
111,08/08/17 03:30:00 PM,79576,14.134,,,,
112,08/08/17 03:45:00 PM,79628,14.134,,,,
113,08/08/17 04:00:00 PM,79602,14.134,,,,
114,08/08/17 04:15:00 PM,79589,14.134,,,,
115,08/08/17 04:30:00 PM,79563,14.134,,,,
116,08/08/17 04:45:00 PM,79550,14.134,,,,
117,08/08/17 05:00:00 PM,79537,14.134,,,,
