Plot Title: RSAT 1280507 20171108,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)",Coupler Detached (LGR S/N: 1280507),Coupler Attached (LGR S/N: 1280507),Stopped (LGR S/N: 1280507),End Of File (LGR S/N: 1280507)
1,11/8/2017,13:00:00,74698,15.76,Logged,,,
2,11/8/2017,13:30:00,78465,9.965,,,,
3,11/8/2017,14:00:00,78448,9.768,,,,
4,11/8/2017,14:30:00,78433,9.669,,,,
5,11/8/2017,15:00:00,78431,9.571,,,,
6,11/8/2017,15:30:00,78441,9.472,,,,
7,11/8/2017,16:00:00,78451,9.373,,,,
8,11/8/2017,16:30:00,78460,9.275,,,,
9,11/8/2017,17:00:00,78495,9.176,,,,
10,11/8/2017,17:30:00,78502,8.978,,,,
11,11/8/2017,18:00:00,78561,8.879,,,,
12,11/8/2017,18:30:00,78583,8.779,,,,
13,11/8/2017,19:00:00,78591,8.581,,,,
14,11/8/2017,19:30:00,78600,8.481,,,,
15,11/8/2017,20:00:00,78635,8.382,,,,
16,11/8/2017,20:30:00,78608,8.282,,,,
17,11/8/2017,21:00:00,78642,8.182,,,,
18,11/8/2017,21:30:00,78654,8.182,,,,
19,11/8/2017,22:00:00,78652,8.082,,,,
20,11/8/2017,22:30:00,78613,7.983,,,,
21,11/8/2017,23:00:00,78635,7.882,,,,
22,11/8/2017,23:30:00,78622,7.882,,,,
23,11/9/2017,0:00:00,78571,7.782,,,,
24,11/9/2017,0:30:00,78595,7.782,,,,
25,11/9/2017,1:00:00,78593,7.682,,,,
26,11/9/2017,1:30:00,78581,7.682,,,,
27,11/9/2017,2:00:00,78566,7.582,,,,
28,11/9/2017,2:30:00,78554,7.582,,,,
29,11/9/2017,3:00:00,78541,7.582,,,,
30,11/9/2017,3:30:00,78566,7.582,,,,
31,11/9/2017,4:00:00,78564,7.481,,,,
32,11/9/2017,4:30:00,78576,7.481,,,,
33,11/9/2017,5:00:00,78576,7.481,,,,
34,11/9/2017,5:30:00,78625,7.481,,,,
35,11/9/2017,6:00:00,78586,7.381,,,,
36,11/9/2017,6:30:00,78598,7.381,,,,
37,11/9/2017,7:00:00,78573,7.381,,,,
38,11/9/2017,7:30:00,78586,7.381,,,,
39,11/9/2017,8:00:00,78622,7.381,,,,
40,11/9/2017,8:30:00,78635,7.381,,,,
41,11/9/2017,9:00:00,78635,7.381,,,,
42,11/9/2017,9:30:00,78598,7.381,,,,
43,11/9/2017,10:00:00,78576,7.481,,,,
44,11/9/2017,10:30:00,78588,7.481,,,,
45,11/9/2017,11:00:00,78576,7.481,,,,
46,11/9/2017,11:30:00,78515,7.481,,,,
47,11/9/2017,12:00:00,78443,7.582,,,,
48,11/9/2017,12:30:00,78443,7.582,,,,
49,11/9/2017,13:00:00,78419,7.582,,,,
50,11/9/2017,13:30:00,78409,7.682,,,,
51,11/9/2017,14:00:00,78409,7.682,,,,
52,11/9/2017,14:30:00,78409,7.682,,,,
53,11/9/2017,15:00:00,78434,7.682,,,,
54,11/9/2017,15:30:00,78434,7.682,,,,
55,11/9/2017,16:00:00,78434,7.682,,,,
56,11/9/2017,16:30:00,78436,7.782,,,,
57,11/9/2017,17:00:00,78448,7.782,,,,
58,11/9/2017,17:30:00,78460,7.782,,,,
59,11/9/2017,18:00:00,78483,7.682,,,,
60,11/9/2017,18:30:00,78507,7.682,,,,
61,11/9/2017,19:00:00,78517,7.582,,,,
62,11/9/2017,19:30:00,78517,7.582,,,,
63,11/9/2017,20:00:00,78527,7.481,,,,
64,11/9/2017,20:30:00,78527,7.481,,,,
65,11/9/2017,21:00:00,78537,7.381,,,,
