"Plot Title: RSAT 1280507 20181018"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)","Coupler Detached (LGR S/N: 1280507)","End Of File (LGR S/N: 1280507)"
1,07/08/19 02:00:00 PM,78565,13.365,Logged,
2,07/08/19 02:15:00 PM,78543,12.980,,
3,07/08/19 02:30:00 PM,78528,12.883,,
4,07/08/19 02:45:00 PM,78516,12.883,,
5,07/08/19 03:00:00 PM,78516,12.883,,
6,07/08/19 03:15:00 PM,78516,12.883,,
7,07/08/19 03:30:00 PM,78504,12.883,,
8,07/08/19 03:45:00 PM,78491,12.883,,
9,07/08/19 04:00:00 PM,78467,12.883,,
10,07/08/19 04:15:00 PM,78464,12.787,,
11,07/08/19 04:30:00 PM,78452,12.787,,
12,07/08/19 04:45:00 PM,78452,12.787,,
13,07/08/19 05:00:00 PM,78403,12.787,,
14,07/08/19 05:15:00 PM,78415,12.787,,
15,07/08/19 05:30:00 PM,78391,12.787,,
16,07/08/19 05:45:00 PM,78415,12.787,,
17,07/08/19 06:00:00 PM,78378,12.787,,
18,07/08/19 06:15:00 PM,78391,12.787,,
19,07/08/19 06:30:00 PM,78391,12.787,,
20,07/08/19 06:45:00 PM,78403,12.787,,
21,07/08/19 07:00:00 PM,78391,12.787,,
22,07/08/19 07:15:00 PM,78403,12.787,,
23,07/08/19 07:30:00 PM,78415,12.787,,
24,07/08/19 07:45:00 PM,78415,12.787,,
25,07/08/19 08:00:00 PM,78415,12.787,,
26,07/08/19 08:15:00 PM,78427,12.787,,
27,07/08/19 08:30:00 PM,78440,12.787,,
28,07/08/19 08:45:00 PM,78464,12.787,,
29,07/08/19 09:00:00 PM,78489,12.787,,
30,07/08/19 09:15:00 PM,78513,12.787,,
31,07/08/19 09:30:00 PM,78538,12.787,,
32,07/08/19 09:45:00 PM,78550,12.787,,
33,07/08/19 10:00:00 PM,78575,12.787,,
34,07/08/19 10:15:00 PM,78587,12.787,,
35,07/08/19 10:30:00 PM,78612,12.787,,
36,07/08/19 10:45:00 PM,78587,12.787,,
37,07/08/19 11:00:00 PM,78599,12.787,,
