"Plot Title: 9811661_BP for RSA old test"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 9811661, SEN S/N: 9811661)","Temp, °C (LGR S/N: 9811661, SEN S/N: 9811661)","Coupler Detached (LGR S/N: 9811661)","Coupler Attached (LGR S/N: 9811661)","Stopped (LGR S/N: 9811661)","End Of File (LGR S/N: 9811661)"
1,01/23/12 10:20:00 AM,80843,23.100,Logged,,,
2,01/23/12 10:25:00 AM,80805,23.004,,,,
3,01/23/12 10:30:00 AM,80804,22.525,,,,
4,01/23/12 10:35:00 AM,80776,22.333,,,,
5,01/23/12 10:40:00 AM,80771,22.142,,,,
6,01/23/12 10:45:00 AM,80757,22.046,,,,
7,01/23/12 10:50:00 AM,80763,21.855,,,,
8,01/23/12 10:55:00 AM,80761,21.760,,,,
9,01/23/12 11:00:00 AM,80758,21.664,,,,
10,01/23/12 11:05:00 AM,80730,21.473,,,,
11,01/23/12 11:10:00 AM,80737,21.282,,,,
12,01/23/12 11:15:00 AM,80711,21.187,,,,
13,01/23/12 11:20:00 AM,80708,21.091,,,,
14,01/23/12 11:25:00 AM,80697,21.091,,,,
15,01/23/12 11:30:00 AM,80694,20.996,,,,
16,01/23/12 11:35:00 AM,80683,20.996,,,,
17,01/23/12 11:40:00 AM,80657,20.901,,,,
18,01/23/12 11:45:00 AM,80631,20.805,,,,
19,01/23/12 11:50:00 AM,80610,20.901,,,,
20,01/23/12 11:55:00 AM,80601,20.996,,,,
21,01/23/12 12:00:00 PM,80568,21.091,,,,
22,01/23/12 12:05:00 PM,80548,21.187,,,,
23,01/23/12 12:10:00 PM,80527,21.282,,,,
24,01/23/12 12:15:00 PM,80518,21.378,,,,
25,01/23/12 12:20:00 PM,80508,21.473,,,,
26,01/23/12 12:25:00 PM,80497,21.473,,,,
27,01/23/12 12:30:00 PM,80499,21.569,,,,
28,01/23/12 12:35:00 PM,80478,21.664,,,,
29,01/23/12 12:40:00 PM,80469,21.760,,,,
30,01/23/12 12:45:00 PM,80472,21.855,,,,
31,01/23/12 12:50:00 PM,80483,21.855,,,,
32,01/23/12 12:55:00 PM,80474,21.951,,,,
33,01/23/12 01:00:00 PM,80427,21.951,,,,
34,01/23/12 01:05:00 PM,80462,21.951,,,,
35,01/23/12 01:10:00 PM,80453,22.046,,,,
36,01/23/12 01:15:00 PM,80430,22.046,,,,
37,01/23/12 01:20:00 PM,80407,22.046,,,,
