"Plot Title: san antonio abv indios"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)","Batt, V (LGR S/N: 1280507, SEN S/N: 1280507)","Coupler Detached (LGR S/N: 1280507)","Coupler Attached (LGR S/N: 1280507)","Stopped (LGR S/N: 1280507)","End Of File (LGR S/N: 1280507)"
1,09/18/13 11:30:00 AM,74558,15.569,3.40,Logged,,,
2,09/18/13 11:45:00 AM,80464,14.038,3.40,,,,
3,09/18/13 12:00:00 PM,80461,13.942,3.40,,,,
4,09/18/13 12:15:00 PM,80459,13.846,3.40,,,,
5,09/18/13 12:30:00 PM,80496,13.846,3.40,,,,
6,09/18/13 12:45:00 PM,80493,13.750,3.40,,,,
7,09/18/13 01:00:00 PM,80468,13.750,3.40,,,,
8,09/18/13 01:15:00 PM,80493,13.750,3.40,,,,
9,09/18/13 01:30:00 PM,80542,13.750,3.40,,,,
10,09/18/13 01:45:00 PM,80601,13.654,3.40,,,,
11,09/18/13 02:00:00 PM,80613,13.654,3.40,,,,
12,09/18/13 02:15:00 PM,80638,13.654,3.40,,,,
13,09/18/13 02:30:00 PM,80638,13.654,3.40,,,,
14,09/18/13 02:45:00 PM,80598,13.558,3.40,,,,
15,09/18/13 03:00:00 PM,80586,13.558,3.40,,,,
16,09/18/13 03:15:00 PM,80475,13.558,3.40,,,,
17,09/18/13 03:30:00 PM,80463,13.558,3.40,,,,
18,09/18/13 03:45:00 PM,80352,13.558,3.40,,,,
19,09/18/13 04:00:00 PM,80266,13.558,3.40,,,,
20,09/18/13 04:15:00 PM,80266,13.558,3.40,,,,
21,09/18/13 04:30:00 PM,80217,13.558,3.40,,,,
22,09/18/13 04:45:00 PM,80193,13.558,3.40,,,,
23,09/18/13 05:00:00 PM,80168,13.558,3.40,,,,
24,09/18/13 05:15:00 PM,80131,13.558,3.40,,,,
25,09/18/13 05:30:00 PM,80131,13.558,3.40,,,,
26,09/18/13 05:45:00 PM,80119,13.558,3.40,,,,
27,09/18/13 06:00:00 PM,80057,13.558,3.40,,,,
28,09/18/13 06:15:00 PM,80006,13.461,3.40,,,,
29,09/18/13 06:30:00 PM,79969,13.461,3.40,,,,
30,09/18/13 06:45:00 PM,79932,13.461,3.40,,,,
31,09/18/13 07:00:00 PM,79922,13.558,3.40,,,,
32,09/18/13 07:15:00 PM,79885,13.558,3.40,,,,
33,09/18/13 07:30:00 PM,79873,13.558,3.40,,,,
34,09/18/13 07:45:00 PM,79858,13.461,3.40,,,,
35,09/18/13 08:00:00 PM,79871,13.461,3.40,,,,
36,09/18/13 08:15:00 PM,79871,13.461,3.40,,,,
37,09/18/13 08:30:00 PM,79858,13.461,3.40,,,,
38,09/18/13 08:45:00 PM,79883,13.461,3.40,,,,
39,09/18/13 09:00:00 PM,79871,13.461,3.40,,,,
40,09/18/13 09:15:00 PM,79846,13.461,3.40,,,,
41,09/18/13 09:30:00 PM,79834,13.461,3.40,,,,
42,09/18/13 09:45:00 PM,79821,13.461,3.40,,,,
43,09/18/13 10:00:00 PM,79821,13.461,3.40,,,,
44,09/18/13 10:15:00 PM,79821,13.461,3.40,,,,
45,09/18/13 10:30:00 PM,79821,13.461,3.40,,,,
46,09/18/13 10:45:00 PM,79797,13.461,3.40,,,,
47,09/18/13 11:00:00 PM,79785,13.461,3.40,,,,
48,09/18/13 11:15:00 PM,79760,13.461,3.40,,,,
49,09/18/13 11:30:00 PM,79785,13.461,3.40,,,,
50,09/18/13 11:45:00 PM,79785,13.461,3.40,,,,
51,09/19/13 12:00:00 AM,79794,13.365,3.40,,,,
52,09/19/13 12:15:00 AM,79794,13.365,3.40,,,,
53,09/19/13 12:30:00 AM,79807,13.365,3.40,,,,
54,09/19/13 12:45:00 AM,79831,13.365,3.40,,,,
55,09/19/13 01:00:00 AM,79807,13.365,3.40,,,,
56,09/19/13 01:15:00 AM,79794,13.365,3.40,,,,
57,09/19/13 01:30:00 AM,79794,13.365,3.40,,,,
58,09/19/13 01:45:00 AM,79794,13.365,3.40,,,,
59,09/19/13 02:00:00 AM,79770,13.365,3.40,,,,
60,09/19/13 02:15:00 AM,79733,13.365,3.40,,,,
