"Plot Title: 1280507 RSAT 20140530-2014"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)","Batt, V (LGR S/N: 1280507, SEN S/N: 1280507)","Coupler Detached (LGR S/N: 1280507)","Coupler Attached (LGR S/N: 1280507)","Stopped (LGR S/N: 1280507)","End Of File (LGR S/N: 1280507)"
1,05/30/14 04:00:00 PM,78196,14.709,3.48,Logged,,,
2,05/30/14 04:15:00 PM,78195,14.230,3.48,,,,
3,05/30/14 04:30:00 PM,78200,13.942,3.48,,,,
4,05/30/14 04:45:00 PM,78192,13.654,3.48,,,,
5,05/30/14 05:00:00 PM,78185,13.365,3.48,,,,
6,05/30/14 05:15:00 PM,78192,13.173,3.48,,,,
7,05/30/14 05:30:00 PM,78174,12.980,3.48,,,,
8,05/30/14 05:45:00 PM,78194,12.787,3.48,,,,
9,05/30/14 06:00:00 PM,78189,12.594,3.48,,,,
10,05/30/14 06:15:00 PM,78184,12.401,3.48,,,,
11,05/30/14 06:30:00 PM,78181,12.304,3.48,,,,
12,05/30/14 06:45:00 PM,78167,12.207,3.48,,,,
13,05/30/14 07:00:00 PM,78189,12.110,3.48,,,,
14,05/30/14 07:15:00 PM,78186,12.013,3.48,,,,
15,05/30/14 07:30:00 PM,78196,11.916,3.48,,,,
16,05/30/14 07:45:00 PM,78218,11.819,3.48,,,,
17,05/30/14 08:00:00 PM,78240,11.722,3.48,,,,
18,05/30/14 08:15:00 PM,78274,11.625,3.48,,,,
19,05/30/14 08:30:00 PM,78262,11.625,3.48,,,,
20,05/30/14 08:45:00 PM,78272,11.528,3.48,,,,
21,05/30/14 09:00:00 PM,78282,11.431,3.48,,,,
22,05/30/14 09:15:00 PM,78306,11.431,3.48,,,,
23,05/30/14 09:30:00 PM,78328,11.334,3.46,,,,
24,05/30/14 09:45:00 PM,78353,11.334,3.46,,,,
25,05/30/14 10:00:00 PM,78363,11.236,3.46,,,,
26,05/30/14 10:15:00 PM,78363,11.236,3.46,,,,
27,05/30/14 10:30:00 PM,78385,11.139,3.46,,,,
28,05/30/14 10:45:00 PM,78385,11.139,3.46,,,,
29,05/30/14 11:00:00 PM,78395,11.041,3.46,,,,
30,05/30/14 11:15:00 PM,78407,11.041,3.46,,,,
31,05/30/14 11:30:00 PM,78407,11.041,3.46,,,,
32,05/30/14 11:45:00 PM,78417,10.944,3.46,,,,
33,05/31/14 12:00:00 AM,78404,10.944,3.46,,,,
34,05/31/14 12:15:00 AM,78417,10.944,3.46,,,,
35,05/31/14 12:30:00 AM,78402,10.846,3.46,,,,
36,05/31/14 12:45:00 AM,78402,10.846,3.46,,,,
37,05/31/14 01:00:00 AM,78377,10.846,3.46,,,,
38,05/31/14 01:15:00 AM,78402,10.846,3.46,,,,
39,05/31/14 01:30:00 AM,78399,10.748,3.46,,,,
40,05/31/14 01:45:00 AM,78412,10.748,3.46,,,,
41,05/31/14 02:00:00 AM,78399,10.748,3.46,,,,
42,05/31/14 02:15:00 AM,78412,10.748,3.46,,,,
43,05/31/14 02:30:00 AM,78387,10.748,3.46,,,,
44,05/31/14 02:45:00 AM,78412,10.748,3.46,,,,
45,05/31/14 03:00:00 AM,78397,10.651,3.46,,,,
46,05/31/14 03:15:00 AM,78385,10.651,3.46,,,,
47,05/31/14 03:30:00 AM,78409,10.651,3.46,,,,
48,05/31/14 03:45:00 AM,78397,10.651,3.46,,,,
49,05/31/14 04:00:00 AM,78397,10.651,3.46,,,,
50,05/31/14 04:15:00 AM,78397,10.651,3.46,,,,
51,05/31/14 04:30:00 AM,78397,10.651,3.46,,,,
52,05/31/14 04:45:00 AM,78382,10.553,3.46,,,,
53,05/31/14 05:00:00 AM,78394,10.553,3.46,,,,
54,05/31/14 05:15:00 AM,78394,10.553,3.46,,,,
55,05/31/14 05:30:00 AM,78407,10.553,3.46,,,,
56,05/31/14 05:45:00 AM,78407,10.553,3.46,,,,
57,05/31/14 06:00:00 AM,78431,10.553,3.46,,,,
58,05/31/14 06:15:00 AM,78419,10.553,3.46,,,,
59,05/31/14 06:30:00 AM,78443,10.553,3.46,,,,
60,05/31/14 06:45:00 AM,78429,10.455,3.46,,,,
61,05/31/14 07:00:00 AM,78416,10.455,3.46,,,,
62,05/31/14 07:15:00 AM,78416,10.455,3.46,,,,
63,05/31/14 07:30:00 AM,78429,10.455,3.46,,,,
64,05/31/14 07:45:00 AM,78429,10.455,3.46,,,,
65,05/31/14 08:00:00 AM,78441,10.455,3.46,,,,
66,05/31/14 08:15:00 AM,78429,10.455,3.46,,,,
67,05/31/14 08:30:00 AM,78453,10.455,3.46,,,,
68,05/31/14 08:45:00 AM,78441,10.455,3.46,,,,
69,05/31/14 09:00:00 AM,78429,10.455,3.46,,,,
70,05/31/14 09:15:00 AM,78416,10.455,3.46,,,,
71,05/31/14 09:30:00 AM,78414,10.357,3.46,,,,
72,05/31/14 09:45:00 AM,78402,10.357,3.46,,,,
73,05/31/14 10:00:00 AM,78389,10.357,3.46,,,,
74,05/31/14 10:15:00 AM,78389,10.357,3.46,,,,
75,05/31/14 10:30:00 AM,78389,10.357,3.46,,,,
76,05/31/14 10:45:00 AM,78377,10.357,3.46,,,,
77,05/31/14 11:00:00 AM,78377,10.357,3.46,,,,
78,05/31/14 11:15:00 AM,78353,10.357,3.46,,,,
79,05/31/14 11:30:00 AM,78353,10.357,3.46,,,,
80,05/31/14 11:45:00 AM,78353,10.357,3.46,,,,
81,05/31/14 12:00:00 PM,78328,10.357,3.46,,,,
82,05/31/14 12:15:00 PM,78340,10.357,3.46,,,,
83,05/31/14 12:30:00 PM,78340,10.357,3.46,,,,
84,05/31/14 12:45:00 PM,78340,10.357,3.46,,,,
85,05/31/14 01:00:00 PM,78316,10.357,3.46,,,,
86,05/31/14 01:15:00 PM,78303,10.357,3.46,,,,
87,05/31/14 01:30:00 PM,78316,10.357,3.46,,,,
88,05/31/14 01:45:00 PM,78303,10.357,3.46,,,,
89,05/31/14 02:00:00 PM,78291,10.357,3.46,,,,
90,05/31/14 02:15:00 PM,78291,10.357,3.46,,,,
91,05/31/14 02:30:00 PM,78291,10.357,3.46,,,,
92,05/31/14 02:45:00 PM,78279,10.357,3.46,,,,
93,05/31/14 03:00:00 PM,78279,10.357,3.46,,,,
94,05/31/14 03:15:00 PM,78242,10.357,3.46,,,,
95,05/31/14 03:30:00 PM,78230,10.357,3.46,,,,
96,05/31/14 03:45:00 PM,78218,10.357,3.46,,,,
97,05/31/14 04:00:00 PM,78205,10.357,3.46,,,,
98,05/31/14 04:15:00 PM,78205,10.357,3.46,,,,
99,05/31/14 04:30:00 PM,78181,10.357,3.46,,,,
100,05/31/14 04:45:00 PM,78168,10.357,3.46,,,,
101,05/31/14 05:00:00 PM,78168,10.357,3.46,,,,
102,05/31/14 05:15:00 PM,78144,10.357,3.46,,,,
103,05/31/14 05:30:00 PM,78156,10.357,3.46,,,,
104,05/31/14 05:45:00 PM,78119,10.357,3.46,,,,
105,05/31/14 06:00:00 PM,78119,10.357,3.46,,,,
106,05/31/14 06:15:00 PM,78119,10.357,3.46,,,,
107,05/31/14 06:30:00 PM,78107,10.357,3.46,,,,
108,05/31/14 06:45:00 PM,78119,10.357,3.46,,,,
109,05/31/14 07:00:00 PM,78144,10.357,3.46,,,,
110,05/31/14 07:15:00 PM,78144,10.357,3.46,,,,
111,05/31/14 07:30:00 PM,78132,10.357,3.46,,,,
112,05/31/14 07:45:00 PM,78119,10.357,3.46,,,,
113,05/31/14 08:00:00 PM,78144,10.357,3.46,,,,
114,05/31/14 08:15:00 PM,78168,10.357,3.46,,,,
115,05/31/14 08:30:00 PM,78168,10.357,3.46,,,,
116,05/31/14 08:45:00 PM,78181,10.357,3.46,,,,
117,05/31/14 09:00:00 PM,78193,10.357,3.46,,,,
118,05/31/14 09:15:00 PM,78168,10.357,3.46,,,,
119,05/31/14 09:30:00 PM,78205,10.357,3.46,,,,
120,05/31/14 09:45:00 PM,78205,10.357,3.46,,,,
121,05/31/14 10:00:00 PM,78205,10.357,3.46,,,,
122,05/31/14 10:15:00 PM,78205,10.357,3.46,,,,
123,05/31/14 10:30:00 PM,78218,10.357,3.46,,,,
124,05/31/14 10:45:00 PM,78218,10.357,3.46,,,,
125,05/31/14 11:00:00 PM,78168,10.357,3.46,,,,
