"Plot Title: 1280507 RSAT 20140916-2014"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)","Coupler Detached (LGR S/N: 1280507)","Coupler Attached (LGR S/N: 1280507)","Stopped (LGR S/N: 1280507)","End Of File (LGR S/N: 1280507)"
1,11/20/14 11:45:00 AM,78171,8.978,Logged,,,
2,11/20/14 12:15:00 PM,78136,8.581,,,,
3,11/20/14 12:45:00 PM,78110,8.481,,,,
4,11/20/14 01:15:00 PM,78080,8.282,,,,
5,11/20/14 01:45:00 PM,78063,8.082,,,,
6,11/20/14 02:15:00 PM,78048,7.983,,,,
7,11/20/14 02:45:00 PM,78046,7.882,,,,
8,11/20/14 03:15:00 PM,78068,7.782,,,,
9,11/20/14 03:45:00 PM,78102,7.682,,,,
10,11/20/14 04:15:00 PM,78124,7.582,,,,
11,11/20/14 04:45:00 PM,78134,7.481,,,,
12,11/20/14 05:15:00 PM,78171,7.481,,,,
13,11/20/14 05:45:00 PM,78181,7.381,,,,
14,11/20/14 06:15:00 PM,78203,7.280,,,,
15,11/20/14 06:45:00 PM,78225,7.179,,,,
16,11/20/14 07:15:00 PM,78225,7.179,,,,
17,11/20/14 07:45:00 PM,78223,7.079,,,,
18,11/20/14 08:15:00 PM,78232,6.978,,,,
19,11/20/14 08:45:00 PM,78232,6.978,,,,
20,11/20/14 09:15:00 PM,78206,6.877,,,,
21,11/20/14 09:45:00 PM,78218,6.877,,,,
22,11/20/14 10:15:00 PM,78191,6.775,,,,
23,11/20/14 10:45:00 PM,78203,6.775,,,,
24,11/20/14 11:15:00 PM,78213,6.674,,,,
25,11/20/14 11:45:00 PM,78211,6.573,,,,
26,11/21/14 12:15:00 AM,78198,6.573,,,,
27,11/21/14 12:45:00 AM,78186,6.573,,,,
28,11/21/14 01:15:00 AM,78184,6.471,,,,
29,11/21/14 01:45:00 AM,78184,6.471,,,,
30,11/21/14 02:15:00 AM,78181,6.370,,,,
31,11/21/14 02:45:00 AM,78157,6.370,,,,
32,11/21/14 03:15:00 AM,78157,6.370,,,,
33,11/21/14 03:45:00 AM,78132,6.370,,,,
34,11/21/14 04:15:00 AM,78117,6.268,,,,
35,11/21/14 04:45:00 AM,78105,6.268,,,,
36,11/21/14 05:15:00 AM,78105,6.268,,,,
37,11/21/14 05:45:00 AM,78127,6.166,,,,
38,11/21/14 06:15:00 AM,78140,6.166,,,,
39,11/21/14 06:45:00 AM,78152,6.166,,,,
40,11/21/14 07:15:00 AM,78164,6.166,,,,
41,11/21/14 07:45:00 AM,78176,6.166,,,,
42,11/21/14 08:15:00 AM,78189,6.166,,,,
43,11/21/14 08:45:00 AM,78225,6.166,,,,
44,11/21/14 09:15:00 AM,78213,6.166,,,,
45,11/21/14 09:45:00 AM,78201,6.166,,,,
46,11/21/14 10:15:00 AM,78164,6.166,,,,
47,11/21/14 10:45:00 AM,78152,6.166,,,,
48,11/21/14 11:15:00 AM,78140,6.166,,,,
49,11/21/14 11:45:00 AM,78115,6.166,,,,
50,11/21/14 12:15:00 PM,78103,6.166,,,,
51,11/21/14 12:45:00 PM,78066,6.166,,,,
52,11/21/14 01:15:00 PM,78041,6.166,,,,
53,11/21/14 01:45:00 PM,78017,6.166,,,,
54,11/21/14 02:15:00 PM,77992,6.166,,,,
55,11/21/14 02:45:00 PM,77992,6.166,,,,
56,11/21/14 03:15:00 PM,78005,6.166,,,,
57,11/21/14 03:45:00 PM,78029,6.166,,,,
58,11/21/14 04:15:00 PM,78041,6.166,,,,
59,11/21/14 04:45:00 PM,78090,6.166,,,,
60,11/21/14 05:15:00 PM,78115,6.166,,,,
61,11/21/14 05:45:00 PM,78140,6.166,,,,
62,11/21/14 06:15:00 PM,78164,6.166,,,,
63,11/21/14 06:45:00 PM,78140,6.166,,,,
64,11/21/14 07:15:00 PM,78189,6.166,,,,
65,11/21/14 07:45:00 PM,78201,6.166,,,,
66,11/21/14 08:15:00 PM,78201,6.166,,,,
67,11/21/14 08:45:00 PM,78238,6.166,,,,
68,11/21/14 09:15:00 PM,78262,6.166,,,,
69,11/21/14 09:45:00 PM,78272,6.064,,,,
70,11/21/14 10:15:00 PM,78272,6.064,,,,
71,11/21/14 10:45:00 PM,78272,6.064,,,,
