"Plot Title: RSAT 1280507 20150414-2015"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280507, SEN S/N: 1280507)","Temp, °C (LGR S/N: 1280507, SEN S/N: 1280507)","Coupler Detached (LGR S/N: 1280507)","Coupler Attached (LGR S/N: 1280507)","Stopped (LGR S/N: 1280507)","End Of File (LGR S/N: 1280507)"
1,04/14/15 01:45:00 PM,78347,13.461,Logged,,,
2,04/14/15 02:00:00 PM,78324,12.594,,,,
3,04/14/15 02:15:00 PM,78336,12.110,,,,
4,04/14/15 02:30:00 PM,78324,11.625,,,,
5,04/14/15 02:45:00 PM,78316,11.334,,,,
6,04/14/15 03:00:00 PM,78272,11.041,,,,
7,04/14/15 03:15:00 PM,78240,10.748,,,,
8,04/14/15 03:30:00 PM,78247,10.553,,,,
9,04/14/15 03:45:00 PM,78181,10.357,,,,
10,04/14/15 04:00:00 PM,78188,10.161,,,,
11,04/14/15 04:15:00 PM,78171,9.965,,,,
12,04/14/15 04:30:00 PM,78154,9.768,,,,
13,04/14/15 04:45:00 PM,78151,9.669,,,,
14,04/14/15 05:00:00 PM,78159,9.472,,,,
15,04/14/15 05:15:00 PM,78156,9.373,,,,
16,04/14/15 05:30:00 PM,78227,9.275,,,,
17,04/14/15 05:45:00 PM,78213,9.176,,,,
18,04/14/15 06:00:00 PM,78173,9.077,,,,
19,04/14/15 06:15:00 PM,78159,8.978,,,,
20,04/14/15 06:30:00 PM,78208,8.978,,,,
21,04/14/15 06:45:00 PM,78217,8.879,,,,
22,04/14/15 07:00:00 PM,78240,8.779,,,,
23,04/14/15 07:15:00 PM,78225,8.680,,,,
24,04/14/15 07:30:00 PM,78286,8.680,,,,
25,04/14/15 07:45:00 PM,78284,8.581,,,,
26,04/14/15 08:00:00 PM,78222,8.581,,,,
27,04/14/15 08:15:00 PM,78257,8.481,,,,
28,04/14/15 08:30:00 PM,78232,8.481,,,,
29,04/14/15 08:45:00 PM,78193,8.382,,,,
30,04/14/15 09:00:00 PM,78193,8.382,,,,
31,04/14/15 09:15:00 PM,78203,8.282,,,,
32,04/14/15 09:30:00 PM,78215,8.282,,,,
33,04/14/15 09:45:00 PM,78215,8.282,,,,
34,04/14/15 10:00:00 PM,78213,8.182,,,,
35,04/14/15 10:15:00 PM,78225,8.182,,,,
36,04/14/15 10:30:00 PM,78200,8.182,,,,
37,04/14/15 10:45:00 PM,78149,8.082,,,,
38,04/14/15 11:00:00 PM,78161,8.082,,,,
39,04/14/15 11:15:00 PM,78149,8.082,,,,
40,04/14/15 11:30:00 PM,78122,7.983,,,,
41,04/14/15 11:45:00 PM,78122,7.983,,,,
42,04/15/15 12:00:00 AM,78110,7.983,,,,
43,04/15/15 12:15:00 AM,78097,7.983,,,,
44,04/15/15 12:30:00 AM,78119,7.882,,,,
45,04/15/15 12:45:00 AM,78083,7.882,,,,
46,04/15/15 01:00:00 AM,78058,7.882,,,,
47,04/15/15 01:15:00 AM,78046,7.882,,,,
48,04/15/15 01:30:00 AM,78043,7.782,,,,
49,04/15/15 01:45:00 AM,78007,7.782,,,,
50,04/15/15 02:00:00 AM,78007,7.782,,,,
51,04/15/15 02:15:00 AM,77994,7.782,,,,
52,04/15/15 02:30:00 AM,77994,7.782,,,,
53,04/15/15 02:45:00 AM,78007,7.782,,,,
54,04/15/15 03:00:00 AM,77980,7.682,,,,
55,04/15/15 03:15:00 AM,77955,7.682,,,,
56,04/15/15 03:30:00 AM,77943,7.682,,,,
57,04/15/15 03:45:00 AM,77918,7.682,,,,
58,04/15/15 04:00:00 AM,77894,7.682,,,,
59,04/15/15 04:15:00 AM,77906,7.682,,,,
60,04/15/15 04:30:00 AM,77869,7.682,,,,
61,04/15/15 04:45:00 AM,77857,7.682,,,,
62,04/15/15 05:00:00 AM,77842,7.582,,,,
63,04/15/15 05:15:00 AM,77855,7.582,,,,
64,04/15/15 05:30:00 AM,77842,7.582,,,,
65,04/15/15 05:45:00 AM,77855,7.582,,,,
66,04/15/15 06:00:00 AM,77855,7.582,,,,
67,04/15/15 06:15:00 AM,77855,7.582,,,,
68,04/15/15 06:30:00 AM,77842,7.582,,,,
69,04/15/15 06:45:00 AM,77855,7.582,,,,
70,04/15/15 07:00:00 AM,77842,7.582,,,,
71,04/15/15 07:15:00 AM,77867,7.582,,,,
72,04/15/15 07:30:00 AM,77879,7.582,,,,
73,04/15/15 07:45:00 AM,77879,7.582,,,,
74,04/15/15 08:00:00 AM,77891,7.582,,,,
75,04/15/15 08:15:00 AM,77879,7.582,,,,
76,04/15/15 08:30:00 AM,77891,7.582,,,,
77,04/15/15 08:45:00 AM,77877,7.481,,,,
78,04/15/15 09:00:00 AM,77901,7.481,,,,
79,04/15/15 09:15:00 AM,77901,7.481,,,,
80,04/15/15 09:30:00 AM,77889,7.481,,,,
81,04/15/15 09:45:00 AM,77889,7.481,,,,
82,04/15/15 10:00:00 AM,77889,7.481,,,,
83,04/15/15 10:15:00 AM,77889,7.481,,,,
84,04/15/15 10:30:00 AM,77913,7.481,,,,
85,04/15/15 10:45:00 AM,77913,7.481,,,,
86,04/15/15 11:00:00 AM,77926,7.481,,,,
87,04/15/15 11:15:00 AM,77926,7.481,,,,
88,04/15/15 11:30:00 AM,77938,7.481,,,,
89,04/15/15 11:45:00 AM,77926,7.481,,,,
90,04/15/15 12:00:00 PM,77926,7.481,,,,
91,04/15/15 12:15:00 PM,77926,7.481,,,,
92,04/15/15 12:30:00 PM,77852,7.481,,,,
93,04/15/15 12:45:00 PM,77855,7.582,,,,
94,04/15/15 01:00:00 PM,77815,7.481,,,,
95,04/15/15 01:15:00 PM,77842,7.582,,,,
96,04/15/15 01:30:00 PM,77830,7.582,,,,
97,04/15/15 01:45:00 PM,77805,7.582,,,,
98,04/15/15 02:00:00 PM,77805,7.582,,,,
99,04/15/15 02:15:00 PM,77805,7.582,,,,
100,04/15/15 02:30:00 PM,77769,7.582,,,,
101,04/15/15 02:45:00 PM,77769,7.582,,,,
102,04/15/15 03:00:00 PM,77720,7.582,,,,
103,04/15/15 03:15:00 PM,77683,7.582,,,,
104,04/15/15 03:30:00 PM,77683,7.582,,,,
105,04/15/15 03:45:00 PM,77671,7.582,,,,
106,04/15/15 04:00:00 PM,77658,7.582,,,,
107,04/15/15 04:15:00 PM,77671,7.582,,,,
108,04/15/15 04:30:00 PM,77634,7.582,,,,
109,04/15/15 04:45:00 PM,77621,7.582,,,,
110,04/15/15 05:00:00 PM,77634,7.582,,,,
111,04/15/15 05:15:00 PM,77646,7.582,,,,
112,04/15/15 05:30:00 PM,77609,7.582,,,,
113,04/15/15 05:45:00 PM,77621,7.582,,,,
114,04/15/15 06:00:00 PM,77595,7.481,,,,
115,04/15/15 06:15:00 PM,77582,7.481,,,,
116,04/15/15 06:30:00 PM,77597,7.582,,,,
117,04/15/15 06:45:00 PM,77597,7.582,,,,
118,04/15/15 07:00:00 PM,77582,7.481,,,,
119,04/15/15 07:15:00 PM,77582,7.481,,,,
120,04/15/15 07:30:00 PM,77582,7.481,,,,
121,04/15/15 07:45:00 PM,77595,7.481,,,,
122,04/15/15 08:00:00 PM,77607,7.481,,,,
123,04/15/15 08:15:00 PM,77631,7.481,,,,
124,04/15/15 08:30:00 PM,77619,7.481,,,,
125,04/15/15 08:45:00 PM,77656,7.481,,,,
126,04/15/15 09:00:00 PM,77680,7.481,,,,
127,04/15/15 09:15:00 PM,77644,7.481,,,,
128,04/15/15 09:30:00 PM,77644,7.481,,,,
129,04/15/15 09:45:00 PM,77656,7.481,,,,
