Plot Title: RSAWI20171108,,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)",Coupler Detached (LGR S/N: 1126761),Coupler Attached (LGR S/N: 1126761),Stopped (LGR S/N: 1126761),End Of File (LGR S/N: 1126761)
1,11/8/2017,15:00:00,78195,5.962,Logged,,,
2,11/8/2017,15:30:00,78245,5.962,,,,
3,11/8/2017,16:00:00,78245,5.962,,,,
4,11/8/2017,16:30:00,78261,5.962,,,,
5,11/8/2017,17:00:00,78294,5.962,,,,
6,11/8/2017,17:30:00,78327,5.962,,,,
7,11/8/2017,18:00:00,78360,5.962,,,,
8,11/8/2017,18:30:00,78358,5.86,,,,
9,11/8/2017,19:00:00,78391,5.86,,,,
10,11/8/2017,19:30:00,78404,5.757,,,,
11,11/8/2017,20:00:00,78421,5.757,,,,
12,11/8/2017,20:30:00,78404,5.757,,,,
13,11/8/2017,21:00:00,78435,5.655,,,,
14,11/8/2017,21:30:00,78435,5.655,,,,
15,11/8/2017,22:00:00,78451,5.655,,,,
16,11/8/2017,22:30:00,78383,5.552,,,,
17,11/8/2017,23:00:00,78416,5.552,,,,
18,11/8/2017,23:30:00,78380,5.45,,,,
19,11/9/2017,0:00:00,78396,5.45,,,,
20,11/9/2017,0:30:00,78363,5.45,,,,
21,11/9/2017,1:00:00,78377,5.347,,,,
22,11/9/2017,1:30:00,78377,5.347,,,,
23,11/9/2017,2:00:00,78344,5.347,,,,
24,11/9/2017,2:30:00,78325,5.244,,,,
25,11/9/2017,3:00:00,78342,5.244,,,,
26,11/9/2017,3:30:00,78342,5.244,,,,
27,11/9/2017,4:00:00,78355,5.141,,,,
28,11/9/2017,4:30:00,78372,5.141,,,,
29,11/9/2017,5:00:00,78372,5.141,,,,
30,11/9/2017,5:30:00,78372,5.141,,,,
31,11/9/2017,6:00:00,78353,5.037,,,,
32,11/9/2017,6:30:00,78336,5.037,,,,
33,11/9/2017,7:00:00,78303,5.037,,,,
34,11/9/2017,7:30:00,78287,5.037,,,,
35,11/9/2017,8:00:00,78268,4.934,,,,
36,11/9/2017,8:30:00,78284,4.934,,,,
37,11/9/2017,9:00:00,78301,4.934,,,,
38,11/9/2017,9:30:00,78303,5.037,,,,
39,11/9/2017,10:00:00,78353,5.037,,,,
40,11/9/2017,10:30:00,78419,5.037,,,,
41,11/9/2017,11:00:00,78419,5.037,,,,
42,11/9/2017,11:30:00,78320,5.037,,,,
43,11/9/2017,12:00:00,78240,5.141,,,,
44,11/9/2017,12:30:00,78207,5.141,,,,
45,11/9/2017,13:00:00,78174,5.141,,,,
46,11/9/2017,13:30:00,78174,5.141,,,,
47,11/9/2017,14:00:00,78141,5.141,,,,
48,11/9/2017,14:30:00,78141,5.141,,,,
49,11/9/2017,15:00:00,78157,5.141,,,,
50,11/9/2017,15:30:00,78157,5.141,,,,
51,11/9/2017,16:00:00,78144,5.244,,,,
52,11/9/2017,16:30:00,78160,5.244,,,,
53,11/9/2017,17:00:00,78160,5.244,,,,
54,11/9/2017,17:30:00,78177,5.244,,,,
55,11/9/2017,18:00:00,78177,5.244,,,,
