"Plot Title: RSAWI20190708"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,07/08/19 03:00:00 PM,77874,15.664,Logged,
2,07/08/19 03:15:00 PM,77866,15.378,,
3,07/08/19 03:30:00 PM,77831,15.282,,
4,07/08/19 03:45:00 PM,77814,15.282,,
5,07/08/19 04:00:00 PM,77798,15.282,,
6,07/08/19 04:15:00 PM,77798,15.282,,
7,07/08/19 04:30:00 PM,77762,15.187,,
8,07/08/19 04:45:00 PM,77745,15.187,,
9,07/08/19 05:00:00 PM,77729,15.187,,
10,07/08/19 05:15:00 PM,77745,15.187,,
11,07/08/19 05:30:00 PM,77729,15.187,,
12,07/08/19 05:45:00 PM,77729,15.187,,
13,07/08/19 06:00:00 PM,77712,15.187,,
14,07/08/19 06:15:00 PM,77729,15.187,,
15,07/08/19 06:30:00 PM,77712,15.187,,
16,07/08/19 06:45:00 PM,77729,15.187,,
17,07/08/19 07:00:00 PM,77731,15.282,,
18,07/08/19 07:15:00 PM,77748,15.282,,
19,07/08/19 07:30:00 PM,77748,15.282,,
20,07/08/19 07:45:00 PM,77764,15.282,,
21,07/08/19 08:00:00 PM,77764,15.282,,
22,07/08/19 08:15:00 PM,77764,15.282,,
23,07/08/19 08:30:00 PM,77798,15.282,,
24,07/08/19 08:45:00 PM,77817,15.378,,
25,07/08/19 09:00:00 PM,77833,15.378,,
26,07/08/19 09:15:00 PM,77866,15.378,,
27,07/08/19 09:30:00 PM,77883,15.378,,
28,07/08/19 09:45:00 PM,77899,15.378,,
29,07/08/19 10:00:00 PM,77932,15.378,,
30,07/08/19 10:15:00 PM,77965,15.378,,
31,07/08/19 10:30:00 PM,77965,15.378,,
32,07/08/19 10:45:00 PM,77982,15.378,,
33,07/08/19 11:00:00 PM,77985,15.473,,
34,07/08/19 11:15:00 PM,77985,15.473,,
35,07/08/19 11:30:00 PM,78001,15.473,,
36,07/08/19 11:45:00 PM,78001,15.473,,
37,07/09/19 12:00:00 AM,78018,15.473,,
38,07/09/19 12:15:00 AM,78034,15.473,,
39,07/09/19 12:30:00 AM,78034,15.473,,
40,07/09/19 12:45:00 AM,78032,15.378,,
41,07/09/19 01:00:00 AM,78032,15.378,,
42,07/09/19 01:15:00 AM,78048,15.378,,
43,07/09/19 01:30:00 AM,78065,15.378,,
44,07/09/19 01:45:00 AM,78065,15.378,,
45,07/09/19 02:00:00 AM,78062,15.282,,
46,07/09/19 02:15:00 AM,78079,15.282,,
47,07/09/19 02:30:00 AM,78062,15.282,,
48,07/09/19 02:45:00 AM,78060,15.187,,
49,07/09/19 03:00:00 AM,78060,15.187,,
50,07/09/19 03:15:00 AM,78043,15.187,,
51,07/09/19 03:30:00 AM,78057,15.091,,
52,07/09/19 03:45:00 AM,78057,15.091,,
53,07/09/19 04:00:00 AM,78090,15.091,,
54,07/09/19 04:15:00 AM,78087,14.996,,
55,07/09/19 04:30:00 AM,78087,14.996,,
56,07/09/19 04:45:00 AM,78085,14.900,,
57,07/09/19 05:00:00 AM,78085,14.900,,
58,07/09/19 05:15:00 AM,78101,14.900,,
59,07/09/19 05:30:00 AM,78115,14.804,,
60,07/09/19 05:45:00 AM,78115,14.804,,
61,07/09/19 06:00:00 AM,78129,14.709,,
62,07/09/19 06:15:00 AM,78113,14.709,,
63,07/09/19 06:30:00 AM,78127,14.613,,
64,07/09/19 06:45:00 AM,78127,14.613,,
65,07/09/19 07:00:00 AM,78141,14.517,,
66,07/09/19 07:15:00 AM,78141,14.517,,
67,07/09/19 07:30:00 AM,78141,14.517,,
68,07/09/19 07:45:00 AM,78171,14.421,,
69,07/09/19 08:00:00 AM,78155,14.421,,
70,07/09/19 08:15:00 AM,78152,14.325,,
71,07/09/19 08:30:00 AM,78169,14.325,,
72,07/09/19 08:45:00 AM,78152,14.325,,
73,07/09/19 09:00:00 AM,78152,14.325,,
74,07/09/19 09:15:00 AM,78152,14.325,,
75,07/09/19 09:30:00 AM,78155,14.421,,
76,07/09/19 09:45:00 AM,78155,14.421,,
77,07/09/19 10:00:00 AM,78138,14.421,,
78,07/09/19 10:15:00 AM,78138,14.421,,
79,07/09/19 10:30:00 AM,78138,14.421,,
80,07/09/19 10:45:00 AM,78138,14.421,,
81,07/09/19 11:00:00 AM,78138,14.421,,
82,07/09/19 11:15:00 AM,78138,14.421,,
83,07/09/19 11:30:00 AM,78122,14.421,,
84,07/09/19 11:45:00 AM,78122,14.421,,
85,07/09/19 12:00:00 PM,78138,14.421,,
86,07/09/19 12:15:00 PM,78124,14.517,,
87,07/09/19 12:30:00 PM,78124,14.517,,
88,07/09/19 12:45:00 PM,78108,14.517,,
89,07/09/19 01:00:00 PM,78108,14.517,,
90,07/09/19 01:15:00 PM,78108,14.517,,
91,07/09/19 01:30:00 PM,78108,14.517,,
92,07/09/19 01:45:00 PM,78075,14.517,,
93,07/09/19 02:00:00 PM,78075,14.517,,
94,07/09/19 02:15:00 PM,78061,14.613,,
95,07/09/19 02:30:00 PM,78061,14.613,,
96,07/09/19 02:45:00 PM,78061,14.613,,
97,07/09/19 03:00:00 PM,78028,14.613,,
98,07/09/19 03:15:00 PM,78044,14.613,,
99,07/09/19 03:30:00 PM,78028,14.613,,
100,07/09/19 03:45:00 PM,78011,14.613,,
101,07/09/19 04:00:00 PM,78014,14.709,,
102,07/09/19 04:15:00 PM,78014,14.709,,
103,07/09/19 04:30:00 PM,77997,14.709,,
104,07/09/19 04:45:00 PM,77981,14.709,,
105,07/09/19 05:00:00 PM,77981,14.709,,
106,07/09/19 05:15:00 PM,77964,14.709,,
107,07/09/19 05:30:00 PM,77950,14.804,,
108,07/09/19 05:45:00 PM,77950,14.804,,
