"Plot Title: RSAWII20190708"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)","Coupler Detached (LGR S/N: 9811673)","End Of File (LGR S/N: 9811673)"
1,07/08/19 03:00:00 PM,77881,15.760,Logged,
2,07/08/19 03:15:00 PM,77903,15.473,,
3,07/08/19 03:30:00 PM,77852,15.378,,
4,07/08/19 03:45:00 PM,77833,15.378,,
5,07/08/19 04:00:00 PM,77833,15.378,,
6,07/08/19 04:15:00 PM,77830,15.282,,
7,07/08/19 04:30:00 PM,77801,15.282,,
8,07/08/19 04:45:00 PM,77772,15.282,,
9,07/08/19 05:00:00 PM,77763,15.282,,
10,07/08/19 05:15:00 PM,77782,15.282,,
11,07/08/19 05:30:00 PM,77763,15.282,,
12,07/08/19 05:45:00 PM,77753,15.282,,
13,07/08/19 06:00:00 PM,77743,15.282,,
14,07/08/19 06:15:00 PM,77743,15.282,,
15,07/08/19 06:30:00 PM,77743,15.282,,
16,07/08/19 06:45:00 PM,77743,15.282,,
17,07/08/19 07:00:00 PM,77763,15.282,,
18,07/08/19 07:15:00 PM,77763,15.282,,
19,07/08/19 07:30:00 PM,77782,15.282,,
20,07/08/19 07:45:00 PM,77784,15.378,,
21,07/08/19 08:00:00 PM,77794,15.378,,
22,07/08/19 08:15:00 PM,77794,15.378,,
23,07/08/19 08:30:00 PM,77823,15.378,,
24,07/08/19 08:45:00 PM,77842,15.378,,
25,07/08/19 09:00:00 PM,77862,15.378,,
26,07/08/19 09:15:00 PM,77881,15.378,,
27,07/08/19 09:30:00 PM,77910,15.378,,
28,07/08/19 09:45:00 PM,77922,15.473,,
29,07/08/19 10:00:00 PM,77961,15.473,,
30,07/08/19 10:15:00 PM,77980,15.473,,
31,07/08/19 10:30:00 PM,77999,15.473,,
32,07/08/19 10:45:00 PM,78009,15.473,,
33,07/08/19 11:00:00 PM,78019,15.473,,
34,07/08/19 11:15:00 PM,78019,15.473,,
35,07/08/19 11:30:00 PM,78009,15.473,,
36,07/08/19 11:45:00 PM,78019,15.473,,
37,07/09/19 12:00:00 AM,78038,15.473,,
38,07/09/19 12:15:00 AM,78057,15.473,,
39,07/09/19 12:30:00 AM,78048,15.473,,
40,07/09/19 12:45:00 AM,78057,15.473,,
41,07/09/19 01:00:00 AM,78057,15.473,,
42,07/09/19 01:15:00 AM,78077,15.473,,
43,07/09/19 01:30:00 AM,78086,15.473,,
44,07/09/19 01:45:00 AM,78094,15.378,,
45,07/09/19 02:00:00 AM,78103,15.378,,
46,07/09/19 02:15:00 AM,78094,15.378,,
47,07/09/19 02:30:00 AM,78091,15.282,,
48,07/09/19 02:45:00 AM,78072,15.282,,
49,07/09/19 03:00:00 AM,78091,15.282,,
50,07/09/19 03:15:00 AM,78079,15.187,,
51,07/09/19 03:30:00 AM,78108,15.187,,
52,07/09/19 03:45:00 AM,78098,15.187,,
53,07/09/19 04:00:00 AM,78106,15.091,,
54,07/09/19 04:15:00 AM,78125,15.091,,
55,07/09/19 04:30:00 AM,78123,14.996,,
