Plot Title: RSAWII20170518,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)",Coupler Detached (LGR S/N: 9811673),Coupler Attached (LGR S/N: 9811673),Stopped (LGR S/N: 9811673),End Of File (LGR S/N: 9811673)
1,9/13/2017,11:45:00,78132,13.846,Logged,,,
2,9/13/2017,12:00:00,78123,13.461,,,,
3,9/13/2017,12:15:00,78101,13.365,,,,
4,9/13/2017,12:30:00,78091,13.365,,,,
5,9/13/2017,12:45:00,78072,13.365,,,,
6,9/13/2017,13:00:00,78072,13.365,,,,
7,9/13/2017,13:15:00,78036,13.461,,,,
8,9/13/2017,13:30:00,78026,13.461,,,,
9,9/13/2017,13:45:00,78026,13.461,,,,
10,9/13/2017,14:00:00,77997,13.461,,,,
11,9/13/2017,14:15:00,77968,13.461,,,,
12,9/13/2017,14:30:00,77959,13.461,,,,
13,9/13/2017,14:45:00,77949,13.461,,,,
14,9/13/2017,15:00:00,77930,13.461,,,,
15,9/13/2017,15:15:00,77910,13.461,,,,
16,9/13/2017,15:30:00,77891,13.461,,,,
17,9/13/2017,15:45:00,77891,13.461,,,,
18,9/13/2017,16:00:00,77862,13.461,,,,
19,9/13/2017,16:15:00,77891,13.461,,,,
20,9/13/2017,16:30:00,77872,13.461,,,,
21,9/13/2017,16:45:00,77862,13.461,,,,
22,9/13/2017,17:00:00,77862,13.461,,,,
23,9/13/2017,17:15:00,77852,13.461,,,,
24,9/13/2017,17:30:00,77872,13.461,,,,
25,9/13/2017,17:45:00,77855,13.558,,,,
26,9/13/2017,18:00:00,77835,13.558,,,,
27,9/13/2017,18:15:00,77864,13.558,,,,
28,9/13/2017,18:30:00,77864,13.558,,,,
29,9/13/2017,18:45:00,77884,13.558,,,,
30,9/13/2017,19:00:00,77893,13.558,,,,
31,9/13/2017,19:15:00,77903,13.558,,,,
32,9/13/2017,19:30:00,77903,13.558,,,,
33,9/13/2017,19:45:00,77922,13.558,,,,
34,9/13/2017,20:00:00,77932,13.558,,,,
35,9/13/2017,20:15:00,77932,13.558,,,,
36,9/13/2017,20:30:00,77951,13.558,,,,
37,9/13/2017,20:45:00,77951,13.558,,,,
38,9/13/2017,21:00:00,77971,13.558,,,,
39,9/13/2017,21:15:00,77971,13.558,,,,
40,9/13/2017,21:30:00,77980,13.558,,,,
41,9/13/2017,21:45:00,77990,13.558,,,,
42,9/13/2017,22:00:00,78009,13.558,,,,
43,9/13/2017,22:15:00,78000,13.558,,,,
44,9/13/2017,22:30:00,78009,13.558,,,,
45,9/13/2017,22:45:00,78000,13.558,,,,
46,9/13/2017,23:00:00,78009,13.558,,,,
47,9/13/2017,23:15:00,78000,13.558,,,,
48,9/13/2017,23:30:00,78000,13.558,,,,
49,9/13/2017,23:45:00,78000,13.558,,,,
50,9/14/2017,0:00:00,78009,13.558,,,,
51,9/14/2017,0:15:00,78019,13.558,,,,
52,9/14/2017,0:30:00,78019,13.558,,,,
53,9/14/2017,0:45:00,78007,13.461,,,,
54,9/14/2017,1:00:00,78016,13.461,,,,
55,9/14/2017,1:15:00,78016,13.461,,,,
56,9/14/2017,1:30:00,78016,13.461,,,,
57,9/14/2017,1:45:00,78026,13.461,,,,
58,9/14/2017,2:00:00,78016,13.461,,,,
59,9/14/2017,2:15:00,78016,13.461,,,,
60,9/14/2017,2:30:00,78016,13.461,,,,
61,9/14/2017,2:45:00,78016,13.461,,,,
62,9/14/2017,3:00:00,78007,13.461,,,,
63,9/14/2017,3:15:00,78026,13.461,,,,
64,9/14/2017,3:30:00,78007,13.461,,,,
65,9/14/2017,3:45:00,78014,13.365,,,,
66,9/14/2017,4:00:00,78004,13.365,,,,
67,9/14/2017,4:15:00,78004,13.365,,,,
68,9/14/2017,4:30:00,78004,13.365,,,,
69,9/14/2017,4:45:00,78014,13.365,,,,
70,9/14/2017,5:00:00,78024,13.365,,,,
71,9/14/2017,5:15:00,78043,13.365,,,,
72,9/14/2017,5:30:00,78043,13.365,,,,
73,9/14/2017,5:45:00,78033,13.365,,,,
74,9/14/2017,6:00:00,78043,13.365,,,,
75,9/14/2017,6:15:00,78050,13.269,,,,
76,9/14/2017,6:30:00,78050,13.269,,,,
77,9/14/2017,6:45:00,78070,13.269,,,,
78,9/14/2017,7:00:00,78070,13.269,,,,
79,9/14/2017,7:15:00,78070,13.269,,,,
80,9/14/2017,7:30:00,78079,13.269,,,,
81,9/14/2017,7:45:00,78089,13.269,,,,
82,9/14/2017,8:00:00,78079,13.269,,,,
83,9/14/2017,8:15:00,78070,13.269,,,,
84,9/14/2017,8:30:00,78079,13.269,,,,
85,9/14/2017,8:45:00,78060,13.269,,,,
86,9/14/2017,9:00:00,78060,13.269,,,,
87,9/14/2017,9:15:00,78070,13.269,,,,
88,9/14/2017,9:30:00,78089,13.269,,,,
89,9/14/2017,9:45:00,78089,13.269,,,,
90,9/14/2017,10:00:00,78091,13.365,,,,
91,9/14/2017,10:15:00,78120,13.365,,,,
92,9/14/2017,10:30:00,78130,13.365,,,,
93,9/14/2017,10:45:00,78120,13.365,,,,
94,9/14/2017,11:00:00,78149,13.365,,,,
95,9/14/2017,11:15:00,78236,13.365,,,,
96,9/14/2017,11:30:00,78313,13.365,,,,
97,9/14/2017,11:45:00,78304,13.365,,,,
98,9/14/2017,12:00:00,78255,13.365,,,,
99,9/14/2017,12:15:00,78236,13.365,,,,
100,9/14/2017,12:30:00,78169,13.365,,,,
101,9/14/2017,12:45:00,78140,13.365,,,,
102,9/14/2017,13:00:00,78140,13.365,,,,
103,9/14/2017,13:15:00,78111,13.365,,,,
104,9/14/2017,13:30:00,78072,13.365,,,,
105,9/14/2017,13:45:00,78043,13.365,,,,
106,9/14/2017,14:00:00,77997,13.461,,,,
107,9/14/2017,14:15:00,77978,13.461,,,,
108,9/14/2017,14:30:00,77959,13.461,,,,
109,9/14/2017,14:45:00,77930,13.461,,,,
110,9/14/2017,15:00:00,77891,13.461,,,,
111,9/14/2017,15:15:00,77881,13.461,,,,
112,9/14/2017,15:30:00,77862,13.461,,,,
113,9/14/2017,15:45:00,77862,13.461,,,,
114,9/14/2017,16:00:00,77823,13.461,,,,
115,9/14/2017,16:15:00,77833,13.461,,,,
116,9/14/2017,16:30:00,77823,13.461,,,,
117,9/14/2017,16:45:00,77823,13.461,,,,
118,9/14/2017,17:00:00,77833,13.461,,,,
119,9/14/2017,17:15:00,77823,13.461,,,,
120,9/14/2017,17:30:00,77823,13.461,,,,
121,9/14/2017,17:45:00,77804,13.461,,,,
122,9/14/2017,18:00:00,77765,13.461,,,,
123,9/14/2017,18:15:00,77765,13.461,,,,
124,9/14/2017,18:30:00,77775,13.461,,,,
125,9/14/2017,18:45:00,77855,13.558,,,,
126,9/14/2017,19:00:00,77884,13.558,,,,
