"Plot Title: Rio San Antonio"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Batt, V (LGR S/N: 1280511, SEN S/N: 1280511)","Coupler Detached (LGR S/N: 1280511)","Coupler Attached (LGR S/N: 1280511)","Stopped (LGR S/N: 1280511)","End Of File (LGR S/N: 1280511)"
1,04/15/08 10:06:00 PM,83029,24.545,3.54,,,,
2,04/15/08 10:06:56 PM,,,,Logged,,,
3,04/15/08 10:16:00 PM,83040,25.319,3.51,,,,
4,04/15/08 10:26:00 PM,83039,25.028,3.51,,,,
5,04/15/08 10:36:00 PM,83029,24.738,3.54,,,,
6,04/15/08 10:46:00 PM,83038,24.448,3.51,,,,
7,04/15/08 10:56:00 PM,83009,24.158,3.51,,,,
8,04/15/08 11:06:00 PM,83027,23.966,3.51,,,,
9,04/15/08 11:16:00 PM,83017,23.773,3.51,,,,
10,04/15/08 11:26:00 PM,83017,23.581,3.51,,,,
11,04/15/08 11:36:00 PM,83026,23.388,3.51,,,,
12,04/15/08 11:46:00 PM,83034,23.196,3.51,,,,
13,04/15/08 11:56:00 PM,83053,23.004,3.51,,,,
14,04/16/08 12:06:00 AM,83062,22.908,3.51,,,,
15,04/16/08 12:16:00 AM,83062,22.812,3.51,,,,
16,04/16/08 12:26:00 AM,83061,22.621,3.48,,,,
17,04/16/08 12:36:00 AM,83089,22.525,3.48,,,,
18,04/16/08 12:46:00 AM,83089,22.429,3.48,,,,
19,04/16/08 12:56:00 AM,83107,22.333,3.48,,,,
20,04/16/08 01:06:00 AM,83107,22.238,3.48,,,,
21,04/16/08 01:16:00 AM,83097,22.142,3.48,,,,
22,04/16/08 01:26:00 AM,83097,22.046,3.48,,,,
23,04/16/08 01:36:00 AM,83078,21.951,3.48,,,,
24,04/16/08 01:46:00 AM,83069,21.951,3.48,,,,
25,04/16/08 01:56:00 AM,83078,21.855,3.48,,,,
26,04/16/08 02:06:00 AM,83078,21.760,3.48,,,,
27,04/16/08 02:16:00 AM,83068,21.760,3.48,,,,
28,04/16/08 02:26:00 AM,83068,21.664,3.48,,,,
29,04/16/08 02:36:00 AM,83058,21.569,3.48,,,,
30,04/16/08 02:46:00 AM,83049,21.569,3.48,,,,
31,04/16/08 02:56:00 AM,83058,21.473,3.48,,,,
32,04/16/08 03:06:00 AM,83049,21.473,3.48,,,,
33,04/16/08 03:16:00 AM,83048,21.378,3.48,,,,
34,04/16/08 03:26:00 AM,83030,21.378,3.48,,,,
35,04/16/08 03:36:00 AM,83048,21.282,3.48,,,,
36,04/16/08 03:46:00 AM,83048,21.282,3.48,,,,
37,04/16/08 03:56:00 AM,83039,21.187,3.48,,,,
38,04/16/08 04:06:00 AM,83048,21.187,3.48,,,,
39,04/16/08 04:16:00 AM,83057,21.091,3.48,,,,
40,04/16/08 04:26:00 AM,83038,21.091,3.48,,,,
41,04/16/08 04:36:00 AM,83047,20.996,3.48,,,,
42,04/16/08 04:46:00 AM,83057,20.996,3.46,,,,
43,04/16/08 04:56:00 AM,83057,20.996,3.46,,,,
44,04/16/08 05:06:00 AM,83057,20.901,3.46,,,,
45,04/16/08 05:16:00 AM,83075,20.901,3.46,,,,
46,04/16/08 05:26:00 AM,83056,20.805,3.46,,,,
47,04/16/08 05:36:00 AM,83056,20.805,3.46,,,,
48,04/16/08 05:46:00 AM,83056,20.805,3.46,,,,
49,04/16/08 05:56:00 AM,83056,20.710,3.46,,,,
50,04/16/08 06:06:00 AM,83075,20.710,3.46,,,,
51,04/16/08 06:16:00 AM,83056,20.615,3.46,,,,
52,04/16/08 06:26:00 AM,83064,20.329,3.46,,,,
53,04/16/08 06:36:00 AM,83064,20.043,3.46,,,,
54,04/16/08 06:46:00 AM,83063,19.853,3.46,,,,
55,04/16/08 06:56:00 AM,83072,19.758,3.46,,,,
56,04/16/08 07:06:00 AM,83082,19.853,3.46,,,,
57,04/16/08 07:16:00 AM,83101,19.853,3.46,,,,
58,04/16/08 07:26:00 AM,83081,19.662,3.46,,,,
59,04/16/08 07:36:00 AM,82752,19.187,3.48,,,,
60,04/16/08 07:46:00 AM,83023,18.711,3.48,,,,
61,04/16/08 07:56:00 AM,82676,18.521,3.46,,,,
62,04/16/08 08:06:00 AM,81852,18.426,3.46,,,,
63,04/16/08 08:16:00 AM,81057,18.236,3.46,,,,
64,04/16/08 08:26:00 AM,80309,18.045,3.46,,,,
65,04/16/08 08:36:00 AM,80290,17.950,3.46,,,,
66,04/16/08 08:46:00 AM,80290,17.760,3.46,,,,
