"Plot Title: Rio San Antonio-11-08"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Batt, V (LGR S/N: 1280511, SEN S/N: 1280511)","Coupler Detached (LGR S/N: 1280511)","Coupler Attached (LGR S/N: 1280511)","Host Connected (LGR S/N: 1280511)","Stopped (LGR S/N: 1280511)","End Of File (LGR S/N: 1280511)"
1,11/19/08 11:39:50 AM,75724,25.319,3.48,,,,,
2,11/19/08 11:40:45 AM,,,,Logged,,,,
3,11/19/08 11:40:50 AM,75715,25.513,3.48,,,,,
4,11/19/08 11:41:50 AM,75744,26.781,3.48,,,,,
5,11/19/08 11:42:50 AM,75679,27.173,3.48,,,,,
6,11/19/08 11:43:50 AM,75660,26.683,3.48,,,,,
7,11/19/08 11:44:50 AM,75659,26.000,3.51,,,,,
8,11/19/08 11:45:50 AM,75650,25.416,3.51,,,,,
9,11/19/08 11:46:50 AM,75603,25.319,3.51,,,,,
10,11/19/08 11:47:50 AM,75265,21.569,3.51,,,,,
11,11/19/08 11:48:50 AM,76842,13.750,3.54,,,,,
12,11/19/08 11:49:50 AM,77108,10.259,3.51,,,,,
13,11/19/08 11:50:50 AM,77161,8.382,3.51,,,,,
14,11/19/08 11:51:50 AM,77187,7.179,3.51,,,,,
15,11/19/08 11:52:50 AM,77196,6.370,3.48,,,,,
16,11/19/08 11:53:50 AM,77214,5.860,3.48,,,,,
17,11/19/08 11:54:50 AM,77213,5.347,3.48,,,,,
18,11/19/08 11:55:50 AM,77231,5.037,3.46,,,,,
19,11/19/08 11:56:50 AM,77231,4.831,3.46,,,,,
20,11/19/08 11:57:50 AM,77231,4.519,3.48,,,,,
21,11/19/08 11:58:50 AM,77212,4.415,3.48,,,,,
22,11/19/08 11:59:50 AM,77239,4.207,3.48,,,,,
23,11/19/08 12:00:50 PM,77239,4.102,3.46,,,,,
24,11/19/08 12:01:50 PM,75923,6.877,3.46,,,,,
25,11/19/08 12:02:50 PM,75472,11.625,3.46,,,,,
26,11/19/08 12:03:50 PM,75520,13.365,3.46,,,,,
27,11/19/08 12:04:50 PM,75512,15.187,3.46,,,,,
28,11/19/08 12:05:50 PM,75784,18.045,3.48,,,,,
29,11/19/08 12:06:03 PM,,,,,Logged,,,
30,11/19/08 12:06:45 PM,,,,,,Logged,,
31,11/19/08 12:06:50 PM,75674,20.138,3.46,,,,,
32,11/19/08 12:07:17 PM,,,,,,,Logged,Logged
