"Plot Title: Rio San Antonio-Nov08"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Coupler Detached (LGR S/N: 1280511)","Coupler Attached (LGR S/N: 1280511)","Host Connected (LGR S/N: 1280511)","Stopped (LGR S/N: 1280511)","End Of File (LGR S/N: 1280511)"
1,11/19/08 12:14:09 PM,75716,27.075,,,,,
2,11/19/08 12:14:24 PM,,,Logged,,,,
3,11/19/08 12:44:09 PM,77109,3.683,,,,,
4,11/19/08 01:14:09 PM,76941,3.367,,,,,
5,11/19/08 01:44:09 PM,76839,3.261,,,,,
6,11/19/08 02:14:09 PM,76802,3.261,,,,,
7,11/19/08 02:44:09 PM,76820,3.261,,,,,
8,11/19/08 03:14:09 PM,76876,3.261,,,,,
9,11/19/08 03:44:09 PM,76904,3.261,,,,,
10,11/19/08 04:14:09 PM,76941,3.261,,,,,
11,11/19/08 04:44:09 PM,76969,3.261,,,,,
12,11/19/08 05:14:09 PM,77015,3.261,,,,,
13,11/19/08 05:44:09 PM,77025,3.261,,,,,
14,11/19/08 06:14:09 PM,77006,3.261,,,,,
15,11/19/08 06:44:09 PM,76987,3.261,,,,,
16,11/19/08 07:14:09 PM,76978,3.261,,,,,
17,11/19/08 07:44:09 PM,77006,3.261,,,,,
18,11/19/08 08:14:09 PM,77015,3.261,,,,,
19,11/19/08 08:44:09 PM,77043,3.261,,,,,
20,11/19/08 09:14:09 PM,77080,3.261,,,,,
21,11/19/08 09:44:09 PM,77090,3.261,,,,,
22,11/19/08 10:14:09 PM,77099,3.261,,,,,
23,11/19/08 10:44:09 PM,77090,3.261,,,,,
24,11/19/08 11:14:09 PM,77108,3.261,,,,,
25,11/19/08 11:44:09 PM,77108,3.261,,,,,
26,11/20/08 12:14:09 AM,77090,3.261,,,,,
27,11/20/08 12:44:09 AM,77071,3.261,,,,,
28,11/20/08 01:14:09 AM,77071,3.261,,,,,
29,11/20/08 01:44:09 AM,77071,3.261,,,,,
30,11/20/08 02:14:09 AM,77062,3.261,,,,,
31,11/20/08 02:44:09 AM,77071,3.261,,,,,
32,11/20/08 03:14:09 AM,77052,3.155,,,,,
33,11/20/08 03:44:09 AM,77034,3.155,,,,,
34,11/20/08 04:14:09 AM,76987,3.155,,,,,
35,11/20/08 04:44:09 AM,76904,3.155,,,,,
36,11/20/08 05:14:09 AM,76848,3.155,,,,,
37,11/20/08 05:44:09 AM,76801,3.155,,,,,
38,11/20/08 06:14:09 AM,76829,3.155,,,,,
39,11/20/08 06:44:09 AM,76866,3.155,,,,,
40,11/20/08 07:14:09 AM,76876,3.155,,,,,
41,11/20/08 07:44:09 AM,76903,3.049,,,,,
42,11/20/08 08:14:09 AM,76959,3.049,,,,,
43,11/20/08 08:44:09 AM,76941,3.049,,,,,
44,11/20/08 09:14:09 AM,76755,3.049,,,,,
45,11/20/08 09:44:09 AM,76885,3.049,,,,,
46,11/20/08 10:14:09 AM,77173,3.049,,,,,
47,11/20/08 10:44:09 AM,77182,3.049,,,,,
48,11/20/08 11:14:09 AM,77303,2.943,,,,,
49,11/20/08 11:44:09 AM,77247,2.943,,,,,
50,11/20/08 12:14:09 PM,77368,2.943,,,,,
51,11/20/08 12:44:09 PM,77461,2.943,,,,,
52,11/20/08 01:14:09 PM,77312,2.943,,,,,
53,11/20/08 01:44:09 PM,77136,3.049,,,,,
54,11/20/08 02:14:09 PM,76969,3.049,,,,,
55,11/20/08 02:44:09 PM,76969,3.049,,,,,
56,11/20/08 03:14:09 PM,77080,3.049,,,,,
57,11/20/08 03:44:09 PM,77117,3.049,,,,,
58,11/20/08 04:14:09 PM,77089,3.049,,,,,
59,11/20/08 04:44:09 PM,77191,3.049,,,,,
60,11/20/08 05:14:09 PM,77284,3.049,,,,,
61,11/20/08 05:44:09 PM,77284,3.049,,,,,
62,11/20/08 06:14:09 PM,77275,3.049,,,,,
63,11/20/08 06:44:09 PM,77238,3.049,,,,,
64,11/20/08 07:14:09 PM,77182,3.155,,,,,
65,11/20/08 07:44:09 PM,77164,3.155,,,,,
66,11/20/08 08:14:09 PM,77182,3.155,,,,,
67,11/20/08 08:44:09 PM,77210,3.155,,,,,
68,11/20/08 09:14:09 PM,77219,3.155,,,,,
69,11/20/08 09:44:09 PM,77229,3.155,,,,,
70,11/20/08 10:14:09 PM,77229,3.155,,,,,
71,11/20/08 10:44:09 PM,77229,3.155,,,,,
72,11/20/08 11:14:09 PM,77229,3.155,,,,,
73,11/20/08 11:44:09 PM,77210,3.155,,,,,
74,11/21/08 12:14:09 AM,77182,3.155,,,,,
75,11/21/08 12:44:09 AM,77145,3.155,,,,,
76,11/21/08 01:14:09 AM,77127,3.155,,,,,
77,11/21/08 01:44:09 AM,77089,3.155,,,,,
78,11/21/08 02:14:09 AM,77089,3.155,,,,,
79,11/21/08 02:44:09 AM,77071,3.155,,,,,
80,11/21/08 03:14:09 AM,77052,3.155,,,,,
81,11/21/08 03:44:09 AM,77034,3.155,,,,,
82,11/21/08 04:14:09 AM,77024,3.155,,,,,
83,11/21/08 04:44:09 AM,77024,3.155,,,,,
84,11/21/08 05:14:09 AM,77024,3.155,,,,,
85,11/21/08 05:44:09 AM,77006,3.155,,,,,
86,11/21/08 06:14:09 AM,76997,3.155,,,,,
87,11/21/08 06:44:09 AM,77015,3.155,,,,,
88,11/21/08 07:14:09 AM,76997,3.155,,,,,
