"Plot Title: Rio San Antonio-2009"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Coupler Detached (LGR S/N: 1280511)","Coupler Attached (LGR S/N: 1280511)","Stopped (LGR S/N: 1280511)","End Of File (LGR S/N: 1280511)"
1,11/04/09 02:39:19 PM,77276,4.102,Logged,,,
2,11/04/09 02:54:19 PM,77286,3.998,,,,
3,11/04/09 03:09:19 PM,77286,3.998,,,,
4,11/04/09 03:24:19 PM,77295,3.998,,,,
5,11/04/09 03:39:19 PM,77276,3.893,,,,
6,11/04/09 03:54:19 PM,77267,3.998,,,,
7,11/04/09 04:09:19 PM,77295,3.998,,,,
8,11/04/09 04:24:19 PM,77267,3.998,,,,
9,11/04/09 04:39:19 PM,77286,4.102,,,,
10,11/04/09 04:54:19 PM,77304,4.102,,,,
11,11/04/09 05:09:19 PM,77314,4.102,,,,
12,11/04/09 05:24:19 PM,77314,4.102,,,,
13,11/04/09 05:39:19 PM,77332,4.102,,,,
14,11/04/09 05:54:19 PM,77341,3.998,,,,
15,11/04/09 06:09:19 PM,77351,3.998,,,,
16,11/04/09 06:24:19 PM,77369,4.102,,,,
17,11/04/09 06:39:19 PM,77397,4.102,,,,
18,11/04/09 06:54:19 PM,77407,4.102,,,,
19,11/04/09 07:09:19 PM,77425,4.102,,,,
20,11/04/09 07:24:19 PM,77416,4.102,,,,
21,11/04/09 07:39:19 PM,77444,4.102,,,,
22,11/04/09 07:54:19 PM,77434,4.102,,,,
23,11/04/09 08:09:19 PM,77462,4.102,,,,
24,11/04/09 08:24:19 PM,77453,4.102,,,,
25,11/04/09 08:39:19 PM,77462,4.102,,,,
26,11/04/09 08:54:19 PM,77481,4.102,,,,
27,11/04/09 09:09:19 PM,77481,4.102,,,,
28,11/04/09 09:24:19 PM,77499,4.102,,,,
29,11/04/09 09:39:19 PM,77499,4.102,,,,
30,11/04/09 09:54:19 PM,77509,4.102,,,,
31,11/04/09 10:09:19 PM,77509,4.102,,,,
32,11/04/09 10:24:19 PM,77527,4.102,,,,
33,11/04/09 10:39:19 PM,77537,4.102,,,,
34,11/04/09 10:54:19 PM,77546,4.102,,,,
35,11/04/09 11:09:19 PM,77546,4.102,,,,
36,11/04/09 11:24:19 PM,77546,4.207,,,,
37,11/04/09 11:39:19 PM,77537,4.207,,,,
38,11/04/09 11:54:19 PM,77518,4.102,,,,
39,11/05/09 12:09:19 AM,77537,4.102,,,,
40,11/05/09 12:24:19 AM,77518,4.207,,,,
41,11/05/09 12:39:19 AM,77518,4.207,,,,
42,11/05/09 12:54:19 AM,77518,4.207,,,,
43,11/05/09 01:09:19 AM,77527,4.207,,,,
44,11/05/09 01:24:19 AM,77537,4.207,,,,
45,11/05/09 01:39:19 AM,77546,4.207,,,,
46,11/05/09 01:54:19 AM,77537,4.207,,,,
47,11/05/09 02:09:19 AM,77527,3.998,,,,
48,11/05/09 02:24:19 AM,77527,3.998,,,,
49,11/05/09 02:39:19 AM,77518,3.998,,,,
50,11/05/09 02:54:19 AM,77527,4.102,,,,
51,11/05/09 03:09:19 AM,77509,4.102,,,,
52,11/05/09 03:24:19 AM,77509,4.102,,,,
53,11/05/09 03:39:19 AM,77509,4.102,,,,
54,11/05/09 03:54:19 AM,77509,4.207,,,,
55,11/05/09 04:09:19 AM,77490,4.207,,,,
56,11/05/09 04:24:19 AM,77481,4.207,,,,
57,11/05/09 04:39:19 AM,77481,4.207,,,,
58,11/05/09 04:54:19 AM,77481,4.207,,,,
59,11/05/09 05:09:19 AM,77462,4.207,,,,
60,11/05/09 05:24:19 AM,77435,4.207,,,,
61,11/05/09 05:39:19 AM,77453,4.207,,,,
62,11/05/09 05:54:19 AM,77462,4.207,,,,
63,11/05/09 06:09:19 AM,77453,4.207,,,,
64,11/05/09 06:24:19 AM,77444,4.207,,,,
65,11/05/09 06:39:19 AM,77462,4.207,,,,
66,11/05/09 06:54:19 AM,77462,4.207,,,,
67,11/05/09 07:09:19 AM,77481,4.207,,,,
68,11/05/09 07:24:19 AM,77472,4.207,,,,
69,11/05/09 07:39:19 AM,77490,4.207,,,,
70,11/05/09 07:54:19 AM,77481,4.207,,,,
71,11/05/09 08:09:19 AM,77490,4.207,,,,
72,11/05/09 08:24:19 AM,77472,4.207,,,,
73,11/05/09 08:39:19 AM,77472,4.207,,,,
74,11/05/09 08:54:19 AM,77462,4.207,,,,
75,11/05/09 09:09:19 AM,77481,4.311,,,,
