"Plot Title: Rio San Antonio-4_2011"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Batt, V (LGR S/N: 1280511, SEN S/N: 1280511)","Coupler Detached (LGR S/N: 1280511)","Coupler Attached (LGR S/N: 1280511)","Stopped (LGR S/N: 1280511)","End Of File (LGR S/N: 1280511)"
1,07/27/11 11:00:00 AM,26062,20.996,3.51,Logged,,,
2,07/27/11 11:15:00 AM,27961,18.236,3.54,,,,
3,07/27/11 11:30:00 AM,27507,18.521,3.54,,,,
4,07/27/11 11:45:00 AM,27032,18.996,3.54,,,,
5,07/27/11 12:00:00 PM,26616,19.187,3.54,,,,
6,07/27/11 12:15:00 PM,26205,19.567,3.54,,,,
7,07/27/11 12:30:00 PM,25898,19.662,3.54,,,,
8,07/27/11 12:45:00 PM,25597,19.948,3.54,,,,
9,07/27/11 01:00:00 PM,25305,20.234,3.54,,,,
10,07/27/11 01:15:00 PM,25023,20.519,3.54,,,,
11,07/27/11 01:30:00 PM,24822,20.710,3.54,,,,
12,07/27/11 01:45:00 PM,24713,20.805,3.54,,,,
13,07/27/11 02:00:00 PM,24595,20.901,3.54,,,,
14,07/27/11 02:15:00 PM,24578,20.805,3.54,,,,
15,07/27/11 02:30:00 PM,24559,20.901,3.54,,,,
16,07/27/11 02:45:00 PM,24560,20.805,3.54,,,,
17,07/27/11 03:00:00 PM,24551,20.805,3.54,,,,
18,07/27/11 03:15:00 PM,24560,20.805,3.54,,,,
19,07/27/11 03:30:00 PM,24605,20.805,3.54,,,,
20,07/27/11 03:45:00 PM,24651,20.710,3.54,,,,
21,07/27/11 04:00:00 PM,24705,20.710,3.54,,,,
22,07/27/11 04:15:00 PM,24760,20.615,3.54,,,,
23,07/27/11 04:30:00 PM,24825,20.519,3.54,,,,
24,07/27/11 04:45:00 PM,24907,20.424,3.54,,,,
25,07/27/11 05:00:00 PM,24989,20.329,3.54,,,,
26,07/27/11 05:15:00 PM,25080,20.234,3.54,,,,
27,07/27/11 05:30:00 PM,25145,20.138,3.54,,,,
28,07/27/11 05:45:00 PM,25227,20.043,3.54,,,,
29,07/27/11 06:00:00 PM,25318,19.948,3.54,,,,
30,07/27/11 06:15:00 PM,25373,19.853,3.54,,,,
31,07/27/11 06:30:00 PM,25454,19.853,3.54,,,,
32,07/27/11 06:45:00 PM,25528,19.758,3.54,,,,
33,07/27/11 07:00:00 PM,25601,19.662,3.54,,,,
34,07/27/11 07:15:00 PM,25656,19.567,3.57,,,,
35,07/27/11 07:30:00 PM,25755,19.567,3.57,,,,
36,07/27/11 07:45:00 PM,25828,19.472,3.57,,,,
37,07/27/11 08:00:00 PM,25901,19.377,3.57,,,,
38,07/27/11 08:15:00 PM,25965,19.377,3.57,,,,
39,07/27/11 08:30:00 PM,26038,19.282,3.57,,,,
40,07/27/11 08:45:00 PM,26102,19.187,3.57,,,,
41,07/27/11 09:00:00 PM,26184,19.092,3.57,,,,
42,07/27/11 09:15:00 PM,26248,18.996,3.57,,,,
43,07/27/11 09:30:00 PM,26330,18.996,3.57,,,,
44,07/27/11 09:45:00 PM,26412,18.901,3.57,,,,
45,07/27/11 10:00:00 PM,26467,18.806,3.57,,,,
46,07/27/11 10:15:00 PM,26557,18.806,3.57,,,,
47,07/27/11 10:30:00 PM,26612,18.711,3.54,,,,
48,07/27/11 10:45:00 PM,26667,18.616,3.54,,,,
49,07/27/11 11:00:00 PM,26732,18.521,3.54,,,,
50,07/27/11 11:15:00 PM,26804,18.521,3.54,,,,
51,07/27/11 11:30:00 PM,26859,18.426,3.54,,,,
52,07/27/11 11:45:00 PM,26913,18.426,3.54,,,,
53,07/28/11 12:00:00 AM,26986,18.331,3.54,,,,
54,07/28/11 12:15:00 AM,27051,18.236,3.54,,,,
55,07/28/11 12:30:00 AM,27106,18.140,3.54,,,,
56,07/28/11 12:45:00 AM,27169,18.140,3.54,,,,
57,07/28/11 01:00:00 AM,27224,18.045,3.54,,,,
58,07/28/11 01:15:00 AM,27297,17.950,3.54,,,,
59,07/28/11 01:30:00 AM,27361,17.855,3.54,,,,
60,07/28/11 01:45:00 AM,27435,17.760,3.54,,,,
61,07/28/11 02:00:00 AM,27472,17.665,3.54,,,,
62,07/28/11 02:15:00 AM,27544,17.665,3.54,,,,
63,07/28/11 02:30:00 AM,27617,17.570,3.54,,,,
64,07/28/11 02:45:00 AM,27663,17.475,3.54,,,,
65,07/28/11 03:00:00 AM,27737,17.379,3.54,,,,
66,07/28/11 03:15:00 AM,27791,17.379,3.54,,,,
67,07/28/11 03:30:00 AM,27855,17.284,3.54,,,,
68,07/28/11 03:45:00 AM,27919,17.189,3.54,,,,
69,07/28/11 04:00:00 AM,27982,17.189,3.54,,,,
70,07/28/11 04:15:00 AM,28028,17.094,3.54,,,,
71,07/28/11 04:30:00 AM,28102,16.999,3.54,,,,
72,07/28/11 04:45:00 AM,28147,16.999,3.54,,,,
73,07/28/11 05:00:00 AM,28211,16.903,3.54,,,,
74,07/28/11 05:15:00 AM,28265,16.903,3.54,,,,
75,07/28/11 05:30:00 AM,28311,16.808,3.54,,,,
76,07/28/11 05:45:00 AM,28366,16.713,3.54,,,,
77,07/28/11 06:00:00 AM,28403,16.713,3.54,,,,
78,07/28/11 06:15:00 AM,28458,16.618,3.54,,,,
79,07/28/11 06:30:00 AM,28512,16.618,3.54,,,,
80,07/28/11 06:45:00 AM,28567,16.523,3.54,,,,
81,07/28/11 07:00:00 AM,28612,16.523,3.54,,,,
82,07/28/11 07:15:00 AM,28658,16.427,3.54,,,,
83,07/28/11 07:30:00 AM,28695,16.332,3.54,,,,
84,07/28/11 07:45:00 AM,28750,16.332,3.54,,,,
85,07/28/11 08:00:00 AM,28795,16.332,3.54,,,,
86,07/28/11 08:15:00 AM,28841,16.237,3.54,,,,
87,07/28/11 08:30:00 AM,28877,16.237,3.54,,,,
88,07/28/11 08:45:00 AM,28923,16.141,3.54,,,,
89,07/28/11 09:00:00 AM,28969,16.046,3.54,,,,
90,07/28/11 09:15:00 AM,29023,16.046,3.54,,,,
91,07/28/11 09:30:00 AM,29052,15.951,3.54,,,,
92,07/28/11 09:45:00 AM,29079,15.951,3.54,,,,
93,07/28/11 10:00:00 AM,29070,15.951,3.54,,,,
94,07/28/11 10:15:00 AM,29096,16.046,3.54,,,,
95,07/28/11 10:30:00 AM,29105,16.046,3.54,,,,
96,07/28/11 10:45:00 AM,29103,16.141,3.54,,,,
97,07/28/11 11:00:00 AM,29103,16.141,3.54,,,,
98,07/28/11 11:15:00 AM,29102,16.237,3.54,,,,
99,07/28/11 11:30:00 AM,29075,16.237,3.54,,,,
100,07/28/11 11:45:00 AM,29092,16.332,3.54,,,,
101,07/28/11 12:00:00 PM,29082,16.427,3.54,,,,
102,07/28/11 12:15:00 PM,29064,16.427,3.54,,,,
103,07/28/11 12:30:00 PM,29081,16.523,3.54,,,,
104,07/28/11 12:45:00 PM,29072,16.523,3.54,,,,
105,07/28/11 01:00:00 PM,29062,16.618,3.54,,,,
106,07/28/11 01:15:00 PM,29061,16.713,3.54,,,,
107,07/28/11 01:30:00 PM,29051,16.808,3.54,,,,
108,07/28/11 01:45:00 PM,29032,16.903,3.54,,,,
109,07/28/11 02:00:00 PM,29022,16.999,3.54,,,,
110,07/28/11 02:15:00 PM,28985,16.999,3.54,,,,
111,07/28/11 02:30:00 PM,28948,17.094,3.54,,,,
112,07/28/11 02:45:00 PM,28911,17.189,3.54,,,,
113,07/28/11 03:00:00 PM,28883,17.284,3.54,,,,
114,07/28/11 03:15:00 PM,28828,17.379,3.54,,,,
115,07/28/11 03:30:00 PM,28783,17.379,3.54,,,,
116,07/28/11 03:45:00 PM,28745,17.475,3.54,,,,
117,07/28/11 04:00:00 PM,28709,17.475,3.54,,,,
118,07/28/11 04:15:00 PM,28663,17.570,3.54,,,,
119,07/28/11 04:30:00 PM,28644,17.665,3.54,,,,
120,07/28/11 04:45:00 PM,28608,17.665,3.54,,,,
121,07/28/11 05:00:00 PM,28562,17.760,3.54,,,,
122,07/28/11 05:15:00 PM,28526,17.760,3.54,,,,
123,07/28/11 05:30:00 PM,28489,17.855,3.54,,,,
124,07/28/11 05:45:00 PM,28452,17.855,3.54,,,,
125,07/28/11 06:00:00 PM,28416,17.855,3.54,,,,
126,07/28/11 06:15:00 PM,28379,17.950,3.54,,,,
127,07/28/11 06:30:00 PM,28370,17.950,3.54,,,,
128,07/28/11 06:45:00 PM,28325,17.950,3.54,,,,
129,07/28/11 07:00:00 PM,28335,17.855,3.54,,,,
130,07/28/11 07:15:00 PM,28317,17.855,3.54,,,,
131,07/28/11 07:30:00 PM,28308,17.855,3.54,,,,
132,07/28/11 07:45:00 PM,28308,17.855,3.54,,,,
133,07/28/11 08:00:00 PM,28299,17.855,3.54,,,,
134,07/28/11 08:15:00 PM,28299,17.855,3.54,,,,
135,07/28/11 08:30:00 PM,28308,17.855,3.54,,,,
136,07/28/11 08:45:00 PM,28281,17.855,3.54,,,,
137,07/28/11 09:00:00 PM,28299,17.855,3.54,,,,
138,07/28/11 09:15:00 PM,28299,17.855,3.54,,,,
139,07/28/11 09:30:00 PM,28290,17.855,3.54,,,,
140,07/28/11 09:45:00 PM,28299,17.855,3.54,,,,
141,07/28/11 10:00:00 PM,28299,17.855,3.54,,,,
142,07/28/11 10:15:00 PM,28318,17.760,3.54,,,,
143,07/28/11 10:30:00 PM,28327,17.760,3.54,,,,
144,07/28/11 10:45:00 PM,28336,17.760,3.54,,,,
145,07/28/11 11:00:00 PM,28337,17.665,3.54,,,,
146,07/28/11 11:15:00 PM,28355,17.665,3.54,,,,
147,07/28/11 11:30:00 PM,28366,17.570,3.54,,,,
148,07/28/11 11:45:00 PM,28366,17.570,3.54,,,,
149,07/29/11 12:00:00 AM,28394,17.475,3.54,,,,
150,07/29/11 12:15:00 AM,28412,17.475,3.54,,,,
151,07/29/11 12:30:00 AM,28449,17.379,3.54,,,,
152,07/29/11 12:45:00 AM,28476,17.379,3.54,,,,
153,07/29/11 01:00:00 AM,28486,17.284,3.54,,,,
154,07/29/11 01:15:00 AM,28514,17.189,3.54,,,,
155,07/29/11 01:30:00 AM,28541,17.189,3.54,,,,
156,07/29/11 01:45:00 AM,28560,17.094,3.54,,,,
157,07/29/11 02:00:00 AM,28654,16.808,3.54,,,,
158,07/29/11 02:15:00 AM,28771,16.808,3.54,,,,
159,07/29/11 02:30:00 AM,28917,16.713,3.54,,,,
160,07/29/11 02:45:00 AM,29109,16.427,3.54,,,,
161,07/29/11 03:00:00 AM,29309,16.332,3.54,,,,
162,07/29/11 03:15:00 AM,29454,16.237,3.54,,,,
163,07/29/11 03:30:00 AM,29573,16.141,3.54,,,,
164,07/29/11 03:45:00 AM,29663,16.141,3.54,,,,
165,07/29/11 04:00:00 AM,29717,16.141,3.54,,,,
166,07/29/11 04:15:00 AM,29771,16.141,3.54,,,,
167,07/29/11 04:30:00 AM,29808,16.046,3.54,,,,
168,07/29/11 04:45:00 AM,29835,16.046,3.54,,,,
169,07/29/11 05:00:00 AM,29854,15.951,3.51,,,,
170,07/29/11 05:15:00 AM,29874,15.855,3.51,,,,
171,07/29/11 05:30:00 AM,29902,15.760,3.51,,,,
172,07/29/11 05:45:00 AM,29931,15.569,3.51,,,,
173,07/29/11 06:00:00 AM,29968,15.473,3.51,,,,
174,07/29/11 06:15:00 AM,29988,15.282,3.51,,,,
175,07/29/11 06:30:00 AM,30045,15.091,3.51,,,,
176,07/29/11 06:45:00 AM,30109,14.996,3.54,,,,
177,07/29/11 07:00:00 AM,30137,14.900,3.54,,,,
178,07/29/11 07:15:00 AM,30202,14.709,3.54,,,,
179,07/29/11 07:30:00 AM,30248,14.613,3.54,,,,
180,07/29/11 07:45:00 AM,30293,14.613,3.54,,,,
181,07/29/11 08:00:00 AM,30313,14.517,3.54,,,,
182,07/29/11 08:15:00 AM,30339,14.613,3.54,,,,
183,07/29/11 08:30:00 AM,30339,14.613,3.54,,,,
184,07/29/11 08:45:00 AM,30319,14.709,3.54,,,,
185,07/29/11 09:00:00 AM,30309,14.804,3.54,,,,
186,07/29/11 09:15:00 AM,30272,14.900,3.54,,,,
187,07/29/11 09:30:00 AM,30234,15.091,3.51,,,,
188,07/29/11 09:45:00 AM,30178,15.282,3.51,,,,
189,07/29/11 10:00:00 AM,30094,15.473,3.51,,,,
190,07/29/11 10:15:00 AM,30001,15.760,3.51,,,,
191,07/29/11 10:30:00 AM,29879,16.141,3.54,,,,
192,07/29/11 10:45:00 AM,29722,16.523,3.54,,,,
193,07/29/11 11:00:00 AM,29601,16.808,3.54,,,,
194,07/29/11 11:15:00 AM,29433,17.284,3.54,,,,
195,07/29/11 11:30:00 AM,29286,17.570,3.54,,,,
196,07/29/11 11:45:00 AM,29129,17.855,3.54,,,,
