"Plot Title: Rio San Antonio-4_2011"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1280511, SEN S/N: 1280511)","Temp, °C (LGR S/N: 1280511, SEN S/N: 1280511)","Coupler Detached (LGR S/N: 1280511)","Coupler Attached (LGR S/N: 1280511)","Stopped (LGR S/N: 1280511)","End Of File (LGR S/N: 1280511)"
1,11/15/11 02:30:00 PM,35634,5.450,Logged,,,
2,11/15/11 03:00:00 PM,35632,4.727,,,,
3,11/15/11 03:30:00 PM,35591,4.311,,,,
4,11/15/11 04:00:00 PM,35528,4.207,,,,
5,11/15/11 04:30:00 PM,35484,4.102,,,,
6,11/15/11 05:00:00 PM,35467,3.998,,,,
7,11/15/11 05:30:00 PM,35422,3.998,,,,
8,11/15/11 06:00:00 PM,35412,4.102,,,,
9,11/15/11 06:30:00 PM,35386,3.998,,,,
10,11/15/11 07:00:00 PM,35375,4.207,,,,
11,11/15/11 07:30:00 PM,35384,4.207,,,,
12,11/15/11 08:00:00 PM,35375,4.207,,,,
13,11/15/11 08:30:00 PM,35349,4.102,,,,
14,11/15/11 09:00:00 PM,35332,3.998,,,,
15,11/15/11 09:30:00 PM,35323,3.998,,,,
16,11/15/11 10:00:00 PM,35306,3.893,,,,
17,11/15/11 10:30:00 PM,35288,3.893,,,,
18,11/15/11 11:00:00 PM,35262,3.788,,,,
19,11/15/11 11:30:00 PM,35243,3.788,,,,
20,11/16/11 12:00:00 AM,35217,3.683,,,,
21,11/16/11 12:30:00 AM,35217,3.683,,,,
22,11/16/11 01:00:00 AM,35182,3.578,,,,
23,11/16/11 01:30:00 AM,35174,3.472,,,,
24,11/16/11 02:00:00 AM,35129,3.472,,,,
25,11/16/11 02:30:00 AM,35139,3.367,,,,
26,11/16/11 03:00:00 AM,35112,3.367,,,,
27,11/16/11 03:30:00 AM,35095,3.261,,,,
28,11/16/11 04:00:00 AM,35068,3.261,,,,
29,11/16/11 04:30:00 AM,35060,3.155,,,,
30,11/16/11 05:00:00 AM,35051,3.155,,,,
31,11/16/11 05:30:00 AM,35033,3.155,,,,
32,11/16/11 06:00:00 AM,35033,3.155,,,,
33,11/16/11 06:30:00 AM,35033,3.155,,,,
34,11/16/11 07:00:00 AM,35016,3.049,,,,
35,11/16/11 07:30:00 AM,35007,3.049,,,,
36,11/16/11 08:00:00 AM,34989,3.049,,,,
37,11/16/11 08:30:00 AM,34989,3.049,,,,
38,11/16/11 09:00:00 AM,34971,3.049,,,,
39,11/16/11 09:30:00 AM,34980,3.049,,,,
40,11/16/11 10:00:00 AM,34971,3.049,,,,
41,11/16/11 10:30:00 AM,34946,2.837,,,,
42,11/16/11 11:00:00 AM,34920,2.730,,,,
43,11/16/11 11:30:00 AM,34893,2.730,,,,
44,11/16/11 12:00:00 PM,34893,2.730,,,,
45,11/16/11 12:30:00 PM,34883,2.837,,,,
46,11/16/11 01:00:00 PM,34883,2.837,,,,
47,11/16/11 01:30:00 PM,34901,2.837,,,,
48,11/16/11 02:00:00 PM,34892,2.837,,,,
49,11/16/11 02:30:00 PM,34900,2.943,,,,
50,11/16/11 03:00:00 PM,34909,2.943,,,,
51,11/16/11 03:30:00 PM,34909,2.943,,,,
52,11/16/11 04:00:00 PM,34900,2.943,,,,
53,11/16/11 04:30:00 PM,34909,2.943,,,,
54,11/16/11 05:00:00 PM,34918,2.943,,,,
55,11/16/11 05:30:00 PM,34926,3.049,,,,
56,11/16/11 06:00:00 PM,34926,3.049,,,,
57,11/16/11 06:30:00 PM,34935,3.049,,,,
58,11/16/11 07:00:00 PM,34935,3.049,,,,
59,11/16/11 07:30:00 PM,34926,3.049,,,,
60,11/16/11 08:00:00 PM,34926,3.049,,,,
61,11/16/11 08:30:00 PM,34926,3.049,,,,
62,11/16/11 09:00:00 PM,34935,3.049,,,,
63,11/16/11 09:30:00 PM,34926,3.049,,,,
64,11/16/11 10:00:00 PM,34927,2.943,,,,
65,11/16/11 10:30:00 PM,34918,2.943,,,,
66,11/16/11 11:00:00 PM,34927,2.943,,,,
67,11/16/11 11:30:00 PM,34936,2.943,,,,
68,11/17/11 12:00:00 AM,34927,2.943,,,,
69,11/17/11 12:30:00 AM,34927,2.943,,,,
70,11/17/11 01:00:00 AM,34918,2.943,,,,
71,11/17/11 01:30:00 AM,34927,2.943,,,,
72,11/17/11 02:00:00 AM,34909,2.943,,,,
73,11/17/11 02:30:00 AM,34918,2.943,,,,
