"Plot Title: 9811662"
"#","Date Time, GMT-05:00","Abs Pres, Pa (LGR S/N: 9811662, SEN S/N: 9811662)","Temp, °C (LGR S/N: 9811662, SEN S/N: 9811662)","Batt, V (LGR S/N: 9811662, SEN S/N: 9811662)","Host Connected (LGR S/N: 9811662)","Coupler Detached (LGR S/N: 9811662)","Coupler Attached (LGR S/N: 9811662)","End Of File (LGR S/N: 9811662)"
1,12/16/11 01:00:00 PM,74729236671965,-1.914,3.48,,,,
2,12/16/11 01:00:20 PM,74708935539827,-1.914,3.48,,,,
3,12/16/11 01:00:40 PM,74719085761158,-1.914,3.48,,,,
4,12/16/11 01:01:00 PM,74719085761158,-1.914,3.48,,,,
5,12/16/11 01:01:20 PM,74719085761158,-1.914,3.48,,,,
6,12/16/11 01:01:40 PM,74719085761158,-1.914,3.48,,,,
7,12/16/11 01:02:00 PM,74719085761158,-1.914,3.48,,,,
8,12/16/11 01:02:20 PM,74729236671965,-1.914,3.48,,,,
9,12/16/11 01:02:40 PM,74708935539827,-1.914,3.48,,,,
10,12/16/11 01:03:00 PM,74719085761158,-1.914,3.48,,,,
11,12/16/11 01:03:20 PM,74729236671965,-1.914,3.48,,,,
12,12/16/11 01:03:40 PM,74719085761158,-1.914,3.48,,,,
13,12/16/11 01:04:00 PM,74719085761158,-1.914,3.48,,,,
14,12/16/11 01:04:20 PM,74719085761158,-1.914,3.48,,,,
15,12/16/11 01:04:40 PM,74729236671965,-1.914,3.48,,,,
16,12/16/11 01:05:00 PM,74719085761158,-1.914,3.48,,,,
17,12/16/11 01:05:20 PM,74719085761158,-1.914,3.48,,,,
18,12/16/11 01:05:40 PM,74708935539827,-1.914,3.48,,,,
19,12/16/11 01:06:00 PM,74708935539827,-1.914,3.48,,,,
20,12/16/11 01:06:20 PM,74708935539827,-1.914,3.48,,,,
21,12/16/11 01:06:40 PM,74729236671965,-1.914,3.48,,,,
22,12/16/11 01:07:00 PM,74708935539827,-1.914,3.48,,,,
23,12/16/11 01:07:20 PM,74708935539827,-1.914,3.48,,,,
24,12/16/11 01:07:40 PM,74719085761158,-1.914,3.48,,,,
25,12/16/11 01:08:00 PM,74729236671965,-1.914,3.48,,,,
26,12/16/11 01:08:20 PM,74719085761158,-1.914,3.48,,,,
27,12/16/11 01:08:40 PM,74708935539827,-1.914,3.48,,,,
28,12/16/11 01:09:00 PM,74708935539827,-1.914,3.48,,,,
29,12/16/11 01:09:20 PM,74719085761158,-1.914,3.48,,,,
30,12/16/11 01:09:40 PM,74719085761158,-1.914,3.48,,,,
31,12/16/11 01:10:00 PM,74719085761158,-1.914,3.48,,,,
32,12/16/11 01:10:20 PM,74729236671965,-1.914,3.48,,,,
33,12/16/11 01:10:40 PM,74719085761158,-1.914,3.48,,,,
34,12/16/11 01:11:00 PM,74719085761158,-1.914,3.48,,,,
35,12/16/11 01:11:20 PM,74729236671965,-1.914,3.48,,,,
36,12/16/11 01:11:40 PM,74729236671965,-1.914,3.48,,,,
37,12/16/11 01:12:00 PM,74729236671965,-1.914,3.48,,,,
38,12/16/11 01:12:20 PM,74719085761158,-1.914,3.48,,,,
39,12/16/11 01:12:40 PM,74708935539827,-1.914,3.48,,,,
40,12/16/11 01:13:00 PM,74729236671965,-1.914,3.48,,,,
41,12/16/11 01:13:20 PM,74729236671965,-1.914,3.48,,,,
42,12/16/11 01:13:40 PM,74708935539827,-1.914,3.48,,,,
43,12/16/11 01:14:00 PM,74729236671965,-1.914,3.48,,,,
44,12/16/11 01:14:20 PM,74719085761158,-1.914,3.48,,,,
45,12/16/11 01:14:40 PM,74729236671965,-1.914,3.48,,,,
46,12/16/11 01:15:00 PM,74719085761158,-1.914,3.48,,,,
47,12/16/11 01:15:20 PM,74719085761158,-1.914,3.48,,,,
48,12/16/11 01:15:40 PM,74729236671965,-1.914,3.48,,,,
49,12/16/11 01:16:00 PM,74719085761158,-1.914,3.48,,,,
50,12/16/11 01:16:20 PM,74729236671965,-1.914,3.48,,,,
51,12/16/11 01:16:40 PM,74729236671965,-1.914,3.48,,,,
52,12/16/11 01:17:00 PM,74719085761158,-1.914,3.48,,,,
53,12/16/11 01:17:20 PM,74729236671965,-1.914,3.48,,,,
54,12/16/11 01:17:40 PM,74729236671965,-1.914,3.48,,,,
55,12/16/11 01:18:00 PM,74719085761158,-1.914,3.48,,,,
56,12/16/11 01:18:20 PM,74739388272247,-1.914,3.48,,,,
57,12/16/11 01:18:40 PM,74719085761158,-1.914,3.48,,,,
58,12/16/11 01:19:00 PM,74719085761158,-1.914,3.48,,,,
59,12/16/11 01:19:20 PM,74739388272247,-1.914,3.48,,,,
60,12/16/11 01:19:40 PM,74729236671965,-1.914,3.48,,,,
61,12/16/11 01:20:00 PM,74729236671965,-1.914,3.48,,,,
62,12/16/11 01:20:20 PM,74729236671965,-1.914,3.48,,,,
63,12/16/11 01:20:40 PM,74729236671965,-1.914,3.48,,,,
64,12/16/11 01:21:00 PM,74719085761158,-1.914,3.48,,,,
65,12/16/11 01:21:20 PM,74719085761158,-1.914,3.48,,,,
66,12/16/11 01:21:40 PM,74719085761158,-1.914,3.48,,,,
67,12/16/11 01:22:00 PM,74729236671965,-1.914,3.48,,,,
68,12/16/11 01:22:20 PM,74719085761158,-1.914,3.48,,,,
69,12/16/11 01:22:40 PM,74729236671965,-1.914,3.48,,,,
70,12/16/11 01:23:00 PM,74729236671965,-1.914,3.48,,,,
71,12/16/11 01:23:20 PM,74729236671965,-1.914,3.48,,,,
72,12/16/11 01:23:40 PM,74719085761158,-1.914,3.48,,,,
73,12/16/11 01:24:00 PM,74729236671965,-1.914,3.48,,,,
74,12/16/11 01:24:20 PM,74719085761158,-1.914,3.48,,,,
75,12/16/11 01:24:40 PM,74719085761158,-1.914,3.48,,,,
76,12/16/11 01:25:00 PM,74729236671965,-1.914,3.48,,,,
77,12/16/11 01:25:20 PM,74729236671965,-1.914,3.48,,,,
78,12/16/11 01:25:40 PM,74719085761158,-1.914,3.48,,,,
79,12/16/11 01:26:00 PM,74729236671965,-1.914,3.48,,,,
80,12/16/11 01:26:20 PM,74729236671965,-1.914,3.48,,,,
81,12/16/11 01:26:40 PM,74729236671965,-1.914,3.48,,,,
82,12/16/11 01:27:00 PM,74729236671965,-1.914,3.48,,,,
83,12/16/11 01:27:20 PM,74719085761158,-1.914,3.48,,,,
84,12/16/11 01:27:40 PM,74708935539827,-1.914,3.48,,,,
85,12/16/11 01:28:00 PM,74719085761158,-1.914,3.48,,,,
86,12/16/11 01:28:20 PM,74729236671965,-1.914,3.48,,,,
87,12/16/11 01:28:40 PM,74719085761158,-1.914,3.48,,,,
88,12/16/11 01:29:00 PM,74729236671965,-1.914,3.48,,,,
89,12/16/11 01:29:20 PM,74719085761158,-1.914,3.48,,,,
90,12/16/11 01:29:40 PM,74719085761158,-1.914,3.48,,,,
91,12/16/11 01:30:00 PM,74719085761158,-1.914,3.48,,,,
92,12/16/11 01:30:20 PM,74739388272247,-1.914,3.48,,,,
93,12/16/11 01:30:40 PM,74749540562005,-1.914,3.48,,,,
94,12/16/11 01:31:00 PM,74729236671965,-1.914,3.48,,,,
95,12/16/11 01:31:20 PM,74719085761158,-1.914,3.48,,,,
96,12/16/11 01:31:40 PM,74729236671965,-1.914,3.48,,,,
97,12/16/11 01:32:00 PM,74729236671965,-1.914,3.48,,,,
98,12/16/11 01:32:20 PM,74719085761158,-1.914,3.48,,,,
99,12/16/11 01:32:40 PM,74719085761158,-1.914,3.48,,,,
100,12/16/11 01:33:00 PM,74719085761158,-1.914,3.48,,,,
