"Plot Title: 9811662 San Antonio W"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811662, SEN S/N: 9811662)","Temp, °C (LGR S/N: 9811662, SEN S/N: 9811662)","Coupler Detached (LGR S/N: 9811662)","Coupler Attached (LGR S/N: 9811662)","Stopped (LGR S/N: 9811662)","End Of File (LGR S/N: 9811662)"
1,04/04/12 12:30:00 PM,76299,4.623,Logged,,,
2,04/04/12 12:45:00 PM,76199,4.415,,,,
3,04/04/12 01:00:00 PM,76188,4.311,,,,
4,04/04/12 01:15:00 PM,76176,4.207,,,,
5,04/04/12 01:30:00 PM,76183,4.102,,,,
6,04/04/12 01:45:00 PM,76212,4.102,,,,
7,04/04/12 02:00:00 PM,76241,4.102,,,,
8,04/04/12 02:15:00 PM,76255,4.311,,,,
9,04/04/12 02:30:00 PM,76307,4.519,,,,
10,04/04/12 02:45:00 PM,76332,4.831,,,,
11,04/04/12 03:00:00 PM,76346,5.037,,,,
12,04/04/12 03:15:00 PM,76379,5.244,,,,
13,04/04/12 03:30:00 PM,76383,5.450,,,,
14,04/04/12 03:45:00 PM,76397,5.655,,,,
15,04/04/12 04:00:00 PM,76411,5.860,,,,
16,04/04/12 04:15:00 PM,76387,6.064,,,,
17,04/04/12 04:30:00 PM,76429,6.268,,,,
18,04/04/12 04:45:00 PM,76435,6.573,,,,
19,04/04/12 05:00:00 PM,76526,6.775,,,,
20,04/04/12 05:15:00 PM,76573,7.179,,,,
21,04/04/12 05:30:00 PM,76715,7.582,,,,
22,04/04/12 05:45:00 PM,76781,7.983,,,,
23,04/04/12 06:00:00 PM,76822,8.082,,,,
24,04/04/12 06:15:00 PM,76920,8.182,,,,
25,04/04/12 06:30:00 PM,76977,8.182,,,,
26,04/04/12 06:45:00 PM,77063,8.182,,,,
27,04/04/12 07:00:00 PM,77148,8.082,,,,
28,04/04/12 07:15:00 PM,77232,7.983,,,,
29,04/04/12 07:30:00 PM,77318,7.983,,,,
30,04/04/12 07:45:00 PM,77383,7.882,,,,
31,04/04/12 08:00:00 PM,77457,7.782,,,,
32,04/04/12 08:15:00 PM,77532,7.682,,,,
33,04/04/12 08:30:00 PM,77616,7.582,,,,
34,04/04/12 08:45:00 PM,77640,7.381,,,,
35,04/04/12 09:00:00 PM,77686,7.280,,,,
36,04/04/12 09:15:00 PM,77732,7.179,,,,
37,04/04/12 09:30:00 PM,77756,6.978,,,,
38,04/04/12 09:45:00 PM,77792,6.877,,,,
39,04/04/12 10:00:00 PM,77771,6.775,,,,
40,04/04/12 10:15:00 PM,77817,6.674,,,,
41,04/04/12 10:30:00 PM,77860,6.471,,,,
42,04/04/12 10:45:00 PM,77877,6.370,,,,
43,04/04/12 11:00:00 PM,77892,6.166,,,,
44,04/04/12 11:15:00 PM,77919,6.064,,,,
45,04/04/12 11:30:00 PM,77984,5.962,,,,
46,04/04/12 11:45:00 PM,78008,5.757,,,,
47,04/05/12 12:00:00 AM,78092,5.655,,,,
48,04/05/12 12:15:00 AM,78157,5.552,,,,
49,04/05/12 12:30:00 AM,78279,5.450,,,,
50,04/05/12 12:45:00 AM,78313,5.244,,,,
51,04/05/12 01:00:00 AM,78426,5.141,,,,
52,04/05/12 01:15:00 AM,78472,5.037,,,,
53,04/05/12 01:30:00 AM,78527,4.934,,,,
54,04/05/12 01:45:00 AM,78554,4.831,,,,
55,04/05/12 02:00:00 AM,78563,4.831,,,,
56,04/05/12 02:15:00 AM,78590,4.727,,,,
57,04/05/12 02:30:00 AM,78587,4.623,,,,
58,04/05/12 02:45:00 AM,78624,4.519,,,,
59,04/05/12 03:00:00 AM,78602,4.415,,,,
60,04/05/12 03:15:00 AM,78641,4.415,,,,
61,04/05/12 03:30:00 AM,78629,4.311,,,,
62,04/05/12 03:45:00 AM,78607,4.207,,,,
63,04/05/12 04:00:00 AM,78586,4.102,,,,
64,04/05/12 04:15:00 AM,78527,3.998,,,,
65,04/05/12 04:30:00 AM,78505,3.893,,,,
66,04/05/12 04:45:00 AM,78465,3.788,,,,
67,04/05/12 05:00:00 AM,78398,3.788,,,,
68,04/05/12 05:15:00 AM,78319,3.683,,,,
69,04/05/12 05:30:00 AM,78288,3.578,,,,
70,04/05/12 05:45:00 AM,78209,3.472,,,,
71,04/05/12 06:00:00 AM,78123,3.472,,,,
72,04/05/12 06:15:00 AM,78073,3.367,,,,
73,04/05/12 06:30:00 AM,78004,3.261,,,,
74,04/05/12 06:45:00 AM,77954,3.155,,,,
75,04/05/12 07:00:00 AM,77894,3.049,,,,
76,04/05/12 07:15:00 AM,77873,2.943,,,,
77,04/05/12 07:30:00 AM,77794,2.837,,,,
78,04/05/12 07:45:00 AM,77766,2.837,,,,
79,04/05/12 08:00:00 AM,77706,2.730,,,,
80,04/05/12 08:15:00 AM,77677,2.730,,,,
81,04/05/12 08:30:00 AM,77608,2.624,,,,
82,04/05/12 08:45:00 AM,77579,2.624,,,,
83,04/05/12 09:00:00 AM,77512,2.624,,,,
84,04/05/12 09:15:00 AM,77486,2.730,,,,
85,04/05/12 09:30:00 AM,77409,2.730,,,,
86,04/05/12 09:45:00 AM,77373,2.837,,,,
87,04/05/12 10:00:00 AM,77337,2.943,,,,
88,04/05/12 10:15:00 AM,77313,3.155,,,,
89,04/05/12 10:30:00 AM,77296,3.261,,,,
90,04/05/12 10:45:00 AM,77271,3.472,,,,
91,04/05/12 11:00:00 AM,77247,3.683,,,,
92,04/05/12 11:15:00 AM,77225,3.998,,,,
93,04/05/12 11:30:00 AM,77200,4.207,,,,
94,04/05/12 11:45:00 AM,77195,4.415,,,,
95,04/05/12 12:00:00 PM,77182,4.727,,,,
96,04/05/12 12:15:00 PM,77158,4.934,,,,
97,04/05/12 12:30:00 PM,77162,5.141,,,,
98,04/05/12 12:45:00 PM,77166,5.347,,,,
99,04/05/12 01:00:00 PM,77142,5.552,,,,
100,04/05/12 01:15:00 PM,77137,5.757,,,,
101,04/05/12 01:30:00 PM,77112,5.962,,,,
