"Plot Title: 9811662 San Antonio W"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811662, SEN S/N: 9811662)","Temp, °C (LGR S/N: 9811662, SEN S/N: 9811662)","Coupler Detached (LGR S/N: 9811662)","End Of File (LGR S/N: 9811662)"
1,09/05/12 02:57:50 PM,76257,15.473,Logged,
2,09/05/12 03:12:50 PM,76238,15.091,,
3,09/05/12 03:27:50 PM,76229,15.091,,
4,09/05/12 03:42:50 PM,76219,15.091,,
5,09/05/12 03:57:50 PM,76229,15.091,,
6,09/05/12 04:12:50 PM,76219,15.091,,
7,09/05/12 04:27:50 PM,76200,15.091,,
8,09/05/12 04:42:50 PM,76190,15.091,,
9,09/05/12 04:57:50 PM,76190,15.091,,
10,09/05/12 05:12:50 PM,76181,15.091,,
11,09/05/12 05:27:50 PM,76171,15.091,,
12,09/05/12 05:42:50 PM,76162,15.091,,
13,09/05/12 05:57:50 PM,76152,15.091,,
14,09/05/12 06:12:50 PM,76152,15.091,,
15,09/05/12 06:27:50 PM,76135,15.187,,
16,09/05/12 06:42:50 PM,76106,15.187,,
17,09/05/12 06:57:50 PM,76097,15.187,,
18,09/05/12 07:12:50 PM,76087,15.187,,
19,09/05/12 07:27:50 PM,76087,15.187,,
20,09/05/12 07:42:50 PM,76087,15.187,,Logged
