"Plot Title: 1126761 RSAW2 20140911-2014"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Batt, V (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","Coupler Attached (LGR S/N: 1126761)","Stopped (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,09/11/14 12:15:00 PM,77451,15.855,3.37,Logged,,,
2,09/11/14 12:30:00 PM,77420,14.804,3.37,,,,
3,09/11/14 12:45:00 PM,77387,14.613,3.37,,,,
4,09/11/14 01:00:00 PM,77337,14.517,3.37,,,,
5,09/11/14 01:15:00 PM,77304,14.421,3.37,,,,
6,09/11/14 01:30:00 PM,77271,14.421,3.37,,,,
7,09/11/14 01:45:00 PM,77238,14.325,3.37,,,,
8,09/11/14 02:00:00 PM,77238,14.325,3.37,,,,
9,09/11/14 02:15:00 PM,77155,14.230,3.37,,,,
10,09/11/14 02:30:00 PM,77122,14.230,3.37,,,,
11,09/11/14 02:45:00 PM,77105,14.230,3.37,,,,
12,09/11/14 03:00:00 PM,77072,14.230,3.37,,,,
13,09/11/14 03:15:00 PM,77039,14.134,3.37,,,,
14,09/11/14 03:30:00 PM,77022,14.134,3.37,,,,
15,09/11/14 03:45:00 PM,76972,14.134,3.37,,,,
16,09/11/14 04:00:00 PM,76972,14.134,3.37,,,,
17,09/11/14 04:15:00 PM,76939,14.038,3.37,,,,
18,09/11/14 04:30:00 PM,76906,14.038,3.37,,,,
19,09/11/14 04:45:00 PM,76906,14.038,3.37,,,,
20,09/11/14 05:00:00 PM,76856,14.038,3.37,,,,
21,09/11/14 05:15:00 PM,76856,14.038,3.37,,,,
22,09/11/14 05:30:00 PM,76840,14.038,3.37,,,,
23,09/11/14 05:45:00 PM,76807,13.942,3.37,,,,
24,09/11/14 06:00:00 PM,76807,13.942,3.37,,,,
25,09/11/14 06:15:00 PM,76807,13.942,3.37,,,,
26,09/11/14 06:30:00 PM,76823,13.942,3.37,,,,
27,09/11/14 06:45:00 PM,76823,13.942,3.37,,,,
28,09/11/14 07:00:00 PM,76840,13.942,3.37,,,,
29,09/11/14 07:15:00 PM,76823,13.942,3.37,,,,
30,09/11/14 07:30:00 PM,76840,13.846,3.37,,,,
31,09/11/14 07:45:00 PM,76840,13.654,3.37,,,,
32,09/11/14 08:00:00 PM,76841,13.558,3.37,,,,
33,09/11/14 08:15:00 PM,76857,13.461,3.37,,,,
34,09/11/14 08:30:00 PM,76891,13.365,3.37,,,,
35,09/11/14 08:45:00 PM,76891,13.365,3.37,,,,
36,09/11/14 09:00:00 PM,76908,13.269,3.37,,,,
37,09/11/14 09:15:00 PM,76924,13.173,3.37,,,,
38,09/11/14 09:30:00 PM,76925,13.076,3.37,,,,
39,09/11/14 09:45:00 PM,76908,12.980,3.37,,,,
40,09/11/14 10:00:00 PM,76908,12.980,3.37,,,,
41,09/11/14 10:15:00 PM,76925,12.883,3.37,,,,
42,09/11/14 10:30:00 PM,76942,12.787,3.37,,,,
43,09/11/14 10:45:00 PM,76942,12.690,3.37,,,,
44,09/11/14 11:00:00 PM,76975,12.690,3.37,,,,
45,09/11/14 11:15:00 PM,76976,12.594,3.37,,,,
46,09/11/14 11:30:00 PM,76976,12.594,3.37,,,,
47,09/11/14 11:45:00 PM,76976,12.497,3.37,,,,
48,09/12/14 12:00:00 AM,76992,12.497,3.37,,,,
49,09/12/14 12:15:00 AM,76993,12.401,3.37,,,,
50,09/12/14 12:30:00 AM,76993,12.401,3.37,,,,
51,09/12/14 12:45:00 AM,76976,12.401,3.37,,,,
52,09/12/14 01:00:00 AM,76976,12.304,3.37,,,,
53,09/12/14 01:15:00 AM,76943,12.304,3.37,,,,
54,09/12/14 01:30:00 AM,76960,12.304,3.37,,,,
55,09/12/14 01:45:00 AM,76960,12.207,3.37,,,,
56,09/12/14 02:00:00 AM,76943,12.207,3.37,,,,
57,09/12/14 02:15:00 AM,76943,12.207,3.37,,,,
58,09/12/14 02:30:00 AM,76927,12.110,3.37,,,,
59,09/12/14 02:45:00 AM,76943,12.110,3.37,,,,
60,09/12/14 03:00:00 AM,76943,12.110,3.37,,,,
61,09/12/14 03:15:00 AM,76944,12.013,3.37,,,,
62,09/12/14 03:30:00 AM,76944,12.013,3.37,,,,
63,09/12/14 03:45:00 AM,76944,12.013,3.37,,,,
64,09/12/14 04:00:00 AM,76960,11.916,3.37,,,,
65,09/12/14 04:15:00 AM,76977,11.916,3.35,,,,
66,09/12/14 04:30:00 AM,76977,11.916,3.35,,,,
67,09/12/14 04:45:00 AM,76961,11.819,3.35,,,,
68,09/12/14 05:00:00 AM,76977,11.819,3.35,,,,
69,09/12/14 05:15:00 AM,76994,11.819,3.35,,,,
70,09/12/14 05:30:00 AM,76994,11.722,3.35,,,,
71,09/12/14 05:45:00 AM,77011,11.722,3.35,,,,
72,09/12/14 06:00:00 AM,77027,11.625,3.35,,,,
73,09/12/14 06:15:00 AM,77027,11.625,3.35,,,,
74,09/12/14 06:30:00 AM,77061,11.625,3.35,,,,
75,09/12/14 06:45:00 AM,77061,11.625,3.35,,,,
76,09/12/14 07:00:00 AM,77061,11.528,3.35,,,,
77,09/12/14 07:15:00 AM,77077,11.528,3.35,,,,
78,09/12/14 07:30:00 AM,77077,11.528,3.35,,,,
79,09/12/14 07:45:00 AM,77094,11.528,3.35,,,,
80,09/12/14 08:00:00 AM,77111,11.528,3.35,,,,
81,09/12/14 08:15:00 AM,77111,11.528,3.35,,,,
82,09/12/14 08:30:00 AM,77111,11.528,3.35,,,,
83,09/12/14 08:45:00 AM,77110,11.625,3.35,,,,
84,09/12/14 09:00:00 AM,77094,11.625,3.35,,,,
85,09/12/14 09:15:00 AM,77110,11.722,3.35,,,,
86,09/12/14 09:30:00 AM,77077,11.722,3.35,,,,
87,09/12/14 09:45:00 AM,77093,11.819,3.35,,,,
88,09/12/14 10:00:00 AM,77093,11.916,3.35,,,,
89,09/12/14 10:15:00 AM,77093,11.916,3.35,,,,
90,09/12/14 10:30:00 AM,77043,12.013,3.35,,,,
91,09/12/14 10:45:00 AM,77060,12.110,3.37,,,,
92,09/12/14 11:00:00 AM,77043,12.110,3.37,,,,
93,09/12/14 11:15:00 AM,77043,12.207,3.37,,,,
94,09/12/14 11:30:00 AM,77026,12.207,3.37,,,,
95,09/12/14 11:45:00 AM,77009,12.304,3.37,,,,
96,09/12/14 12:00:00 PM,76993,12.304,3.37,,,,
97,09/12/14 12:15:00 PM,76976,12.401,3.37,,,,
98,09/12/14 12:30:00 PM,76959,12.401,3.37,,,,
99,09/12/14 12:45:00 PM,76943,12.497,3.37,,,,
100,09/12/14 01:00:00 PM,76943,12.497,3.37,,,,
101,09/12/14 01:15:00 PM,76926,12.594,3.37,,,,
102,09/12/14 01:30:00 PM,76926,12.594,3.37,,,,
103,09/12/14 01:45:00 PM,76892,12.594,3.37,,,,
104,09/12/14 02:00:00 PM,76892,12.594,3.37,,,,
105,09/12/14 02:15:00 PM,76876,12.594,3.37,,,,
106,09/12/14 02:30:00 PM,76859,12.690,3.37,,,,
107,09/12/14 02:45:00 PM,76842,12.690,3.37,,,,
108,09/12/14 03:00:00 PM,76809,12.690,3.37,,,,
109,09/12/14 03:15:00 PM,76809,12.690,3.37,,,,
110,09/12/14 03:30:00 PM,76792,12.787,3.37,,,,
111,09/12/14 03:45:00 PM,76759,12.787,3.37,,,,
112,09/12/14 04:00:00 PM,76776,12.787,3.37,,,,
113,09/12/14 04:15:00 PM,76759,12.787,3.37,,,,
114,09/12/14 04:30:00 PM,76759,12.883,3.37,,,,
115,09/12/14 04:45:00 PM,76776,12.883,3.37,,,,
116,09/12/14 05:00:00 PM,76759,12.883,3.37,,,,
117,09/12/14 05:15:00 PM,76776,12.883,3.37,,,,
118,09/12/14 05:30:00 PM,76776,12.883,3.37,,,,
119,09/12/14 05:45:00 PM,76792,12.883,3.37,,,,
120,09/12/14 06:00:00 PM,76792,12.883,3.37,,,,
121,09/12/14 06:15:00 PM,76792,12.883,3.37,,,,
122,09/12/14 06:30:00 PM,76792,12.883,3.37,,,,
123,09/12/14 06:45:00 PM,76809,12.883,3.37,,,,
124,09/12/14 07:00:00 PM,76825,12.883,3.37,,,,
125,09/12/14 07:15:00 PM,76809,12.883,3.37,,,,
126,09/12/14 07:30:00 PM,76842,12.883,3.37,,,,
127,09/12/14 07:45:00 PM,76825,12.883,3.37,,,,
128,09/12/14 08:00:00 PM,76859,12.883,3.37,,,,
129,09/12/14 08:15:00 PM,76892,12.787,3.37,,,,
130,09/12/14 08:30:00 PM,76925,12.787,3.37,,,,
131,09/12/14 08:45:00 PM,76942,12.690,3.37,,,,
132,09/12/14 09:00:00 PM,76959,12.690,3.37,,,,
133,09/12/14 09:15:00 PM,76942,12.594,3.37,,,,
134,09/12/14 09:30:00 PM,76976,12.497,3.37,,,,
135,09/12/14 09:45:00 PM,76992,12.497,3.37,,,,
136,09/12/14 10:00:00 PM,77009,12.401,3.37,,,,
137,09/12/14 10:15:00 PM,77009,12.401,3.37,,,,
138,09/12/14 10:30:00 PM,77009,12.304,3.37,,,,
139,09/12/14 10:45:00 PM,77043,12.304,3.37,,,,
140,09/12/14 11:00:00 PM,77043,12.207,3.37,,,,
141,09/12/14 11:15:00 PM,77043,12.207,3.37,,,,
142,09/12/14 11:30:00 PM,77059,12.207,3.37,,,,
143,09/12/14 11:45:00 PM,77060,12.110,3.37,,,,
144,09/13/14 12:00:00 AM,77043,12.110,3.37,,,,
145,09/13/14 12:15:00 AM,77060,12.110,3.37,,,,
146,09/13/14 12:30:00 AM,77043,12.110,3.37,,,,
147,09/13/14 12:45:00 AM,77043,12.110,3.37,,,,
148,09/13/14 01:00:00 AM,77043,12.110,3.37,,,,
149,09/13/14 01:15:00 AM,77060,12.110,3.37,,,,
150,09/13/14 01:30:00 AM,77026,12.110,3.37,,,,
151,09/13/14 01:45:00 AM,77043,12.110,3.37,,,,
152,09/13/14 02:00:00 AM,77043,12.110,3.37,,,,
153,09/13/14 02:15:00 AM,77026,12.110,3.37,,,,
154,09/13/14 02:30:00 AM,77043,12.110,3.37,,,,
155,09/13/14 02:45:00 AM,77043,12.110,3.37,,,,
156,09/13/14 03:00:00 AM,77043,12.207,3.37,,,,
157,09/13/14 03:15:00 AM,77043,12.207,3.37,,,,
158,09/13/14 03:30:00 AM,77043,12.207,3.37,,,,
159,09/13/14 03:45:00 AM,77026,12.207,3.37,,,,
160,09/13/14 04:00:00 AM,77010,12.207,3.37,,,,
161,09/13/14 04:15:00 AM,77043,12.207,3.37,,,,
162,09/13/14 04:30:00 AM,77059,12.207,3.37,,,,
163,09/13/14 04:45:00 AM,77060,12.110,3.37,,,,
164,09/13/14 05:00:00 AM,77060,12.110,3.37,,,,
165,09/13/14 05:15:00 AM,77060,12.110,3.37,,,,
166,09/13/14 05:30:00 AM,77043,12.110,3.37,,,,
167,09/13/14 05:45:00 AM,77043,12.207,3.37,,,,
168,09/13/14 06:00:00 AM,77059,12.207,3.37,,,,
169,09/13/14 06:15:00 AM,77076,12.207,3.37,,,,
170,09/13/14 06:30:00 AM,77076,12.207,3.37,,,,
171,09/13/14 06:45:00 AM,77093,12.207,3.37,,,,
172,09/13/14 07:00:00 AM,77093,12.207,3.37,,,,
173,09/13/14 07:15:00 AM,77093,12.207,3.37,,,,
174,09/13/14 07:30:00 AM,77126,12.207,3.37,,,,
175,09/13/14 07:45:00 AM,77109,12.207,3.37,,,,
176,09/13/14 08:00:00 AM,77109,12.304,3.37,,,,
177,09/13/14 08:15:00 AM,77126,12.304,3.37,,,,
178,09/13/14 08:30:00 AM,77109,12.304,3.37,,,,
