"Plot Title: 1126761 RSAW2 20141120-2015"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","Coupler Attached (LGR S/N: 1126761)","Stopped (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,11/20/14 02:30:00 PM,77236,2.410,Logged,,,
2,11/20/14 03:00:00 PM,77236,2.410,,,,
3,11/20/14 03:30:00 PM,77170,2.517,,,,
4,11/20/14 04:00:00 PM,77087,2.624,,,,
5,11/20/14 04:30:00 PM,77036,2.730,,,,
6,11/20/14 05:00:00 PM,77036,2.730,,,,
7,11/20/14 05:30:00 PM,77020,2.837,,,,
8,11/20/14 06:00:00 PM,77053,2.837,,,,
9,11/20/14 06:30:00 PM,77036,2.837,,,,
10,11/20/14 07:00:00 PM,77020,2.837,,,,
11,11/20/14 07:30:00 PM,77019,2.943,,,,
12,11/20/14 08:00:00 PM,77003,2.943,,,,
13,11/20/14 08:30:00 PM,76953,2.943,,,,
14,11/20/14 09:00:00 PM,76936,2.943,,,,
15,11/20/14 09:30:00 PM,76920,2.943,,,,
16,11/20/14 10:00:00 PM,76887,2.943,,,,
17,11/20/14 10:30:00 PM,76837,2.943,,,,
18,11/20/14 11:00:00 PM,76787,2.943,,,,
19,11/20/14 11:30:00 PM,76787,2.943,,,,
20,11/21/14 12:00:00 AM,76754,2.943,,,,
21,11/21/14 12:30:00 AM,76721,2.943,,,,
22,11/21/14 01:00:00 AM,76671,2.943,,,,
23,11/21/14 01:30:00 AM,76654,2.943,,,,
24,11/21/14 02:00:00 AM,76638,2.943,,,,
25,11/21/14 02:30:00 AM,76605,2.943,,,,
26,11/21/14 03:00:00 AM,76588,2.943,,,,
27,11/21/14 03:30:00 AM,76522,2.943,,,,
28,11/21/14 04:00:00 AM,76489,2.943,,,,
29,11/21/14 04:30:00 AM,76456,2.943,,,,
30,11/21/14 05:00:00 AM,76439,2.943,,,,
31,11/21/14 05:30:00 AM,76423,2.837,,,,
32,11/21/14 06:00:00 AM,76456,2.837,,,,
33,11/21/14 06:30:00 AM,76473,2.837,,,,
