"Plot Title: RSAW2 1126761 20150423-2015"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","Coupler Attached (LGR S/N: 1126761)","Stopped (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,04/23/15 12:15:00 PM,76520,8.779,Logged,,,
2,04/23/15 12:30:00 PM,76505,8.182,,,,
3,04/23/15 12:45:00 PM,76522,7.882,,,,
4,04/23/15 01:00:00 PM,76506,7.682,,,,
5,04/23/15 01:15:00 PM,76507,7.481,,,,
6,04/23/15 01:30:00 PM,76491,7.381,,,,
7,04/23/15 01:45:00 PM,76491,7.179,,,,
8,04/23/15 02:00:00 PM,76475,7.079,,,,
9,04/23/15 02:15:00 PM,76475,6.978,,,,
10,04/23/15 02:30:00 PM,76442,6.877,,,,
11,04/23/15 02:45:00 PM,76409,6.877,,,,
12,04/23/15 03:00:00 PM,76443,6.775,,,,
13,04/23/15 03:15:00 PM,76460,6.674,,,,
14,04/23/15 03:30:00 PM,76426,6.674,,,,
15,04/23/15 03:45:00 PM,76427,6.573,,,,
16,04/23/15 04:00:00 PM,76394,6.573,,,,
17,04/23/15 04:15:00 PM,76394,6.471,,,,
18,04/23/15 04:30:00 PM,76394,6.471,,,,
19,04/23/15 04:45:00 PM,76361,6.370,,,,
20,04/23/15 05:00:00 PM,76344,6.370,,,,
21,04/23/15 05:15:00 PM,76344,6.370,,,,
22,04/23/15 05:30:00 PM,76328,6.268,,,,
23,04/23/15 05:45:00 PM,76345,6.268,,,,
24,04/23/15 06:00:00 PM,76345,6.268,,,,
25,04/23/15 06:15:00 PM,76312,6.268,,,,
26,04/23/15 06:30:00 PM,76328,6.268,,,,
27,04/23/15 06:45:00 PM,76312,6.166,,,,
28,04/23/15 07:00:00 PM,76312,6.166,,,,
29,04/23/15 07:15:00 PM,76312,6.166,,,,
