"Plot Title: RSAW 9811662 20150423-2015"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811662, SEN S/N: 9811662)","Temp, °C (LGR S/N: 9811662, SEN S/N: 9811662)","Coupler Detached (LGR S/N: 9811662)","Coupler Attached (LGR S/N: 9811662)","Stopped (LGR S/N: 9811662)","End Of File (LGR S/N: 9811662)"
1,04/23/15 12:15:00 PM,75229,8.879,Logged,,,
2,04/23/15 12:30:00 PM,75203,8.082,,,,
3,04/23/15 12:45:00 PM,75204,7.682,,,,
4,04/23/15 01:00:00 PM,75171,7.481,,,,
5,04/23/15 01:15:00 PM,75169,7.381,,,,
6,04/23/15 01:30:00 PM,75155,7.179,,,,
7,04/23/15 01:45:00 PM,75124,7.079,,,,
8,04/23/15 02:00:00 PM,75113,6.978,,,,
9,04/23/15 02:15:00 PM,75111,6.877,,,,
10,04/23/15 02:30:00 PM,75080,6.775,,,,
11,04/23/15 02:45:00 PM,75070,6.775,,,,
12,04/23/15 03:00:00 PM,75068,6.674,,,,
13,04/23/15 03:15:00 PM,75085,6.573,,,,
14,04/23/15 03:30:00 PM,75076,6.573,,,,
15,04/23/15 03:45:00 PM,75054,6.471,,,,
16,04/23/15 04:00:00 PM,75026,6.471,,,,
17,04/23/15 04:15:00 PM,75033,6.370,,,,
18,04/23/15 04:30:00 PM,75014,6.370,,,,
19,04/23/15 04:45:00 PM,74985,6.370,,,,
20,04/23/15 05:00:00 PM,74964,6.268,,,,
21,04/23/15 05:15:00 PM,74964,6.268,,,,
22,04/23/15 05:30:00 PM,74954,6.268,,,,
23,04/23/15 05:45:00 PM,74983,6.268,,,,
24,04/23/15 06:00:00 PM,74962,6.166,,,,
25,04/23/15 06:15:00 PM,74933,6.166,,,,
26,04/23/15 06:30:00 PM,74952,6.166,,,,
27,04/23/15 06:45:00 PM,74943,6.166,,,,
28,04/23/15 07:00:00 PM,74943,6.166,,,,
29,04/23/15 07:15:00 PM,74943,6.166,,,,
30,04/23/15 07:30:00 PM,74960,6.064,,,,
31,04/23/15 07:45:00 PM,74969,6.064,,,,
32,04/23/15 08:00:00 PM,74988,6.064,,,,
33,04/23/15 08:15:00 PM,74979,6.064,,,,
34,04/23/15 08:30:00 PM,75017,6.064,,,,
35,04/23/15 08:45:00 PM,75055,6.064,,,,
36,04/23/15 09:00:00 PM,75055,6.064,,,,
37,04/23/15 09:15:00 PM,75055,6.064,,,,
38,04/23/15 09:30:00 PM,75055,6.064,,,,
39,04/23/15 09:45:00 PM,75065,6.064,,,,
40,04/23/15 10:00:00 PM,75053,5.962,,,,
41,04/23/15 10:15:00 PM,75053,5.962,,,,
42,04/23/15 10:30:00 PM,75063,5.962,,,,
43,04/23/15 10:45:00 PM,75063,5.962,,,,
44,04/23/15 11:00:00 PM,75111,5.962,,,,
45,04/23/15 11:15:00 PM,75120,5.962,,,,
46,04/23/15 11:30:00 PM,75120,5.962,,,,
47,04/23/15 11:45:00 PM,75101,5.962,,,,
48,04/24/15 12:00:00 AM,75111,5.962,,,,
49,04/24/15 12:15:00 AM,75101,5.962,,,,
50,04/24/15 12:30:00 AM,75092,5.962,,,,
51,04/24/15 12:45:00 AM,75061,5.860,,,,
52,04/24/15 01:00:00 AM,75061,5.860,,,,
53,04/24/15 01:15:00 AM,75051,5.860,,,,
54,04/24/15 01:30:00 AM,75051,5.860,,,,
55,04/24/15 01:45:00 AM,75042,5.860,,,,
56,04/24/15 02:00:00 AM,75020,5.757,,,,
57,04/24/15 02:15:00 AM,74982,5.757,,,,
58,04/24/15 02:30:00 AM,74982,5.757,,,,
59,04/24/15 02:45:00 AM,74932,5.655,,,,
60,04/24/15 03:00:00 AM,74913,5.655,,,,
61,04/24/15 03:15:00 AM,74903,5.655,,,,
62,04/24/15 03:30:00 AM,74901,5.552,,,,
63,04/24/15 03:45:00 AM,74882,5.552,,,,
64,04/24/15 04:00:00 AM,74892,5.552,,,,
65,04/24/15 04:15:00 AM,74892,5.552,,,,
66,04/24/15 04:30:00 AM,74890,5.450,,,,
67,04/24/15 04:45:00 AM,74870,5.450,,,,
68,04/24/15 05:00:00 AM,74861,5.450,,,,
69,04/24/15 05:15:00 AM,74870,5.450,,,,
70,04/24/15 05:30:00 AM,74870,5.450,,,,
71,04/24/15 05:45:00 AM,74851,5.450,,,,
72,04/24/15 06:00:00 AM,74840,5.347,,,,
73,04/24/15 06:15:00 AM,74849,5.347,,,,
74,04/24/15 06:30:00 AM,74859,5.347,,,,
75,04/24/15 06:45:00 AM,74859,5.347,,,,
76,04/24/15 07:00:00 AM,74849,5.347,,,,
77,04/24/15 07:15:00 AM,74868,5.347,,,,
78,04/24/15 07:30:00 AM,74868,5.347,,,,
79,04/24/15 07:45:00 AM,74878,5.347,,,,
80,04/24/15 08:00:00 AM,74866,5.244,,,,
81,04/24/15 08:15:00 AM,74885,5.244,,,,
82,04/24/15 08:30:00 AM,74895,5.244,,,,
83,04/24/15 08:45:00 AM,74885,5.244,,,,
84,04/24/15 09:00:00 AM,74876,5.244,,,,
85,04/24/15 09:15:00 AM,74885,5.244,,,,
86,04/24/15 09:30:00 AM,74847,5.244,,,,
87,04/24/15 09:45:00 AM,74876,5.244,,,,
88,04/24/15 10:00:00 AM,74866,5.244,,,,
89,04/24/15 10:15:00 AM,74895,5.244,,,,
90,04/24/15 10:30:00 AM,74933,5.244,,,,
91,04/24/15 10:45:00 AM,74895,5.244,,,,
92,04/24/15 11:00:00 AM,74885,5.244,,,,
93,04/24/15 11:15:00 AM,74878,5.347,,,,
94,04/24/15 11:30:00 AM,74878,5.347,,,,
95,04/24/15 11:45:00 AM,74830,5.347,,,,
96,04/24/15 12:00:00 PM,74830,5.347,,,,
97,04/24/15 12:15:00 PM,74830,5.347,,,,
98,04/24/15 12:30:00 PM,74820,5.347,,,,
99,04/24/15 12:45:00 PM,74801,5.347,,,,
100,04/24/15 01:00:00 PM,74782,5.347,,,,
101,04/24/15 01:15:00 PM,74744,5.347,,,,
102,04/24/15 01:30:00 PM,74744,5.347,,,,
103,04/24/15 01:45:00 PM,74715,5.347,,,,
104,04/24/15 02:00:00 PM,74744,5.347,,,,
105,04/24/15 02:15:00 PM,74744,5.347,,,,
106,04/24/15 02:30:00 PM,74792,5.347,,,,
107,04/24/15 02:45:00 PM,74803,5.450,,,,
108,04/24/15 03:00:00 PM,74803,5.450,,,,
109,04/24/15 03:15:00 PM,74794,5.450,,,,
110,04/24/15 03:30:00 PM,74794,5.450,,,,
111,04/24/15 03:45:00 PM,74851,5.450,,,,
112,04/24/15 04:00:00 PM,74832,5.450,,,,
113,04/24/15 04:15:00 PM,74823,5.450,,,,
114,04/24/15 04:30:00 PM,74794,5.450,,,,
115,04/24/15 04:45:00 PM,74784,5.450,,,,
116,04/24/15 05:00:00 PM,74775,5.450,,,,
117,04/24/15 05:15:00 PM,74775,5.450,,,,
118,04/24/15 05:30:00 PM,74794,5.450,,,,
119,04/24/15 05:45:00 PM,74784,5.450,,,,
120,04/24/15 06:00:00 PM,74813,5.450,,,,
121,04/24/15 06:15:00 PM,74813,5.450,,,,
122,04/24/15 06:30:00 PM,74842,5.450,,,,
123,04/24/15 06:45:00 PM,74842,5.450,,,,
124,04/24/15 07:00:00 PM,74861,5.450,,,,
125,04/24/15 07:15:00 PM,74901,5.552,,,,
126,04/24/15 07:30:00 PM,74873,5.552,,,,
127,04/24/15 07:45:00 PM,74873,5.552,,,,
128,04/24/15 08:00:00 PM,74882,5.552,,,,
129,04/24/15 08:15:00 PM,74882,5.552,,,,
130,04/24/15 08:30:00 PM,74901,5.552,,,,
131,04/24/15 08:45:00 PM,74930,5.552,,,,
132,04/24/15 09:00:00 PM,74978,5.552,,,,
133,04/24/15 09:15:00 PM,74978,5.552,,,,
134,04/24/15 09:30:00 PM,74997,5.552,,,,
135,04/24/15 09:45:00 PM,74997,5.552,,,,
136,04/24/15 10:00:00 PM,75007,5.552,,,,
137,04/24/15 10:15:00 PM,75016,5.552,,,,
138,04/24/15 10:30:00 PM,75026,5.552,,,,
139,04/24/15 10:45:00 PM,75033,5.450,,,,
140,04/24/15 11:00:00 PM,75043,5.450,,,,
141,04/24/15 11:15:00 PM,75043,5.450,,,,
142,04/24/15 11:30:00 PM,75043,5.450,,,,
143,04/24/15 11:45:00 PM,75033,5.450,,,,
144,04/25/15 12:00:00 AM,75024,5.450,,,,
145,04/25/15 12:15:00 AM,75024,5.450,,,,
146,04/25/15 12:30:00 AM,75043,5.450,,,,
147,04/25/15 12:45:00 AM,75024,5.450,,,,
148,04/25/15 01:00:00 AM,75024,5.450,,,,
149,04/25/15 01:15:00 AM,75014,5.450,,,,
150,04/25/15 01:30:00 AM,75014,5.450,,,,
151,04/25/15 01:45:00 AM,75014,5.450,,,,
152,04/25/15 02:00:00 AM,75043,5.450,,,,
153,04/25/15 02:15:00 AM,75024,5.450,,,,
154,04/25/15 02:30:00 AM,75014,5.450,,,,
