"Plot Title: RSAWI20161115"
"#","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","Coupler Attached (LGR S/N: 1126761)","Stopped (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,11/15/16 11:00:00 AM,77098,4.311,Logged,,,
2,11/15/16 11:30:00 AM,77065,4.311,,,,
3,11/15/16 12:00:00 PM,77032,4.311,,,,
4,11/15/16 12:30:00 PM,77001,4.415,,,,
5,11/15/16 01:00:00 PM,76985,4.415,,,,
6,11/15/16 01:30:00 PM,76952,4.415,,,,
7,11/15/16 02:00:00 PM,76902,4.415,,,,
8,11/15/16 02:30:00 PM,76889,4.519,,,,
9,11/15/16 03:00:00 PM,76872,4.519,,,,
10,11/15/16 03:30:00 PM,76856,4.519,,,,
11,11/15/16 04:00:00 PM,76856,4.519,,,,
12,11/15/16 04:30:00 PM,76856,4.519,,,,
13,11/15/16 05:00:00 PM,76856,4.519,,,,
14,11/15/16 05:30:00 PM,76856,4.519,,,,
15,11/15/16 06:00:00 PM,76856,4.519,,,,
16,11/15/16 06:30:00 PM,76856,4.519,,,,
17,11/15/16 07:00:00 PM,76839,4.519,,,,
18,11/15/16 07:30:00 PM,76839,4.519,,,,
19,11/15/16 08:00:00 PM,76823,4.519,,,,
20,11/15/16 08:30:00 PM,76823,4.519,,,,
21,11/15/16 09:00:00 PM,76806,4.519,,,,
22,11/15/16 09:30:00 PM,76806,4.519,,,,
23,11/15/16 10:00:00 PM,76790,4.519,,,,
24,11/15/16 10:30:00 PM,76773,4.519,,,,
25,11/15/16 11:00:00 PM,76771,4.415,,,,
26,11/15/16 11:30:00 PM,76738,4.415,,,,
27,11/16/16 12:00:00 AM,76738,4.415,,,,
28,11/16/16 12:30:00 AM,76721,4.415,,,,
29,11/16/16 01:00:00 AM,76688,4.415,,,,
30,11/16/16 01:30:00 AM,76672,4.415,,,,
31,11/16/16 02:00:00 AM,76669,4.311,,,,
32,11/16/16 02:30:00 AM,76653,4.311,,,,
33,11/16/16 03:00:00 AM,76620,4.311,,,,
34,11/16/16 03:30:00 AM,76603,4.311,,,,
35,11/16/16 04:00:00 AM,76587,4.311,,,,
36,11/16/16 04:30:00 AM,76570,4.311,,,,
37,11/16/16 05:00:00 AM,76554,4.311,,,,
38,11/16/16 05:30:00 AM,76537,4.311,,,,
39,11/16/16 06:00:00 AM,76535,4.207,,,,
40,11/16/16 06:30:00 AM,76502,4.207,,,,
41,11/16/16 07:00:00 AM,76485,4.207,,,,
42,11/16/16 07:30:00 AM,76436,4.207,,,,
43,11/16/16 08:00:00 AM,76386,4.207,,,,
44,11/16/16 08:30:00 AM,76354,4.207,,,,
45,11/16/16 09:00:00 AM,76321,4.207,,,,
46,11/16/16 09:30:00 AM,76304,4.207,,,,
47,11/16/16 10:00:00 AM,76466,4.102,,,,
48,11/16/16 10:30:00 AM,76400,4.102,,,,
49,11/16/16 11:00:00 AM,76334,4.102,,,,
50,11/16/16 11:30:00 AM,76285,4.102,,,,
51,11/16/16 12:00:00 PM,76222,4.207,,,,
52,11/16/16 12:30:00 PM,76156,4.207,,,,
53,11/16/16 01:00:00 PM,76107,4.207,,,,
54,11/16/16 01:30:00 PM,76074,4.207,,,,
55,11/16/16 02:00:00 PM,76057,4.207,,,,
56,11/16/16 02:30:00 PM,76024,4.207,,,,
57,11/16/16 03:00:00 PM,76008,4.207,,,,
58,11/16/16 03:30:00 PM,76008,4.207,,,,
59,11/16/16 04:00:00 PM,75977,4.311,,,,
60,11/16/16 04:30:00 PM,75977,4.311,,,,
61,11/16/16 05:00:00 PM,75977,4.311,,,,
