"Plot Title: RSAWI20170518"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,05/18/17 11:30:00 AM,74282,13.461,Logged,
2,05/18/17 11:30:01 AM,76102,9.866,,
3,05/18/17 11:30:02 AM,76095,9.571,,
4,05/18/17 11:30:03 AM,76109,9.472,,
5,05/18/17 11:30:04 AM,76106,9.373,,
6,05/18/17 11:30:05 AM,76087,9.275,,
7,05/18/17 11:30:06 AM,76120,9.275,,
8,05/18/17 11:30:07 AM,76184,9.176,,
9,05/18/17 11:30:08 AM,76233,9.176,,
10,05/18/17 11:30:09 AM,76283,9.176,,
11,05/18/17 11:30:10 AM,76212,8.978,,
12,05/18/17 11:30:11 AM,76303,8.680,,
13,05/18/17 11:30:12 AM,76300,8.581,,
14,05/18/17 11:30:13 AM,76262,8.382,,
15,05/18/17 11:30:14 AM,76243,8.282,,
16,05/18/17 11:30:15 AM,76208,8.182,,
17,05/18/17 11:30:16 AM,76202,7.983,,
18,05/18/17 11:30:17 AM,76202,7.983,,
19,05/18/17 11:30:18 AM,76233,7.882,,
20,05/18/17 11:30:19 AM,76315,7.882,,
21,05/18/17 11:30:20 AM,76381,7.882,,
22,05/18/17 11:30:21 AM,76412,7.782,,
23,05/18/17 11:30:22 AM,76414,7.882,,
24,05/18/17 11:30:23 AM,76445,7.782,,
25,05/18/17 11:30:24 AM,76431,7.882,,
26,05/18/17 11:30:25 AM,76384,7.983,,
27,05/18/17 11:30:26 AM,76370,8.082,,
28,05/18/17 11:30:27 AM,76372,8.182,,
29,05/18/17 11:30:28 AM,76375,8.282,,
30,05/18/17 11:30:29 AM,76427,8.382,,
31,05/18/17 11:30:30 AM,76526,8.382,,
32,05/18/17 11:30:31 AM,76595,8.481,,
33,05/18/17 11:30:32 AM,76677,8.481,,
34,05/18/17 11:30:33 AM,76726,8.481,,
35,05/18/17 11:30:34 AM,76842,8.481,,
36,05/18/17 11:30:35 AM,76905,8.382,,
37,05/18/17 11:30:36 AM,76933,8.182,,
38,05/18/17 11:30:37 AM,76931,8.082,,
39,05/18/17 11:30:38 AM,76911,7.983,,
40,05/18/17 11:30:39 AM,76909,7.882,,
41,05/18/17 11:30:40 AM,76920,7.682,,
42,05/18/17 11:30:41 AM,76934,7.582,,
43,05/18/17 11:30:42 AM,77014,7.481,,
44,05/18/17 11:30:43 AM,77028,7.381,,
45,05/18/17 11:30:44 AM,77056,7.179,,
46,05/18/17 11:30:45 AM,77089,7.179,,
47,05/18/17 11:30:46 AM,77089,7.179,,
48,05/18/17 11:30:47 AM,77091,7.280,,
49,05/18/17 11:30:48 AM,77061,7.381,,
50,05/18/17 11:30:49 AM,77063,7.481,,
51,05/18/17 11:30:50 AM,76997,7.481,,
52,05/18/17 11:30:51 AM,76934,7.582,,
53,05/18/17 11:30:52 AM,76920,7.682,,
54,05/18/17 11:30:53 AM,76890,7.782,,
