"Plot Title: RSAWII20170518"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)","Coupler Detached (LGR S/N: 9811673)","Coupler Attached (LGR S/N: 9811673)","Stopped (LGR S/N: 9811673)","End Of File (LGR S/N: 9811673)"
1,07/17/17 11:30:00 AM,75390,16.523,Logged,,,
2,07/17/17 11:45:00 AM,76401,17.570,,,,
3,07/17/17 12:00:00 PM,76353,17.570,,,,
4,07/17/17 12:15:00 PM,76317,17.284,,,,
5,07/17/17 12:30:00 PM,76350,17.094,,,,
6,07/17/17 12:45:00 PM,76348,16.999,,,,
7,07/17/17 01:00:00 PM,76353,16.808,,,,
8,07/17/17 01:15:00 PM,76360,16.713,,,,
9,07/17/17 01:30:00 PM,76309,16.618,,,,
10,07/17/17 01:45:00 PM,76288,16.523,,,,
11,07/17/17 02:00:00 PM,76278,16.523,,,,
12,07/17/17 02:15:00 PM,76247,16.427,,,,
13,07/17/17 02:30:00 PM,76235,16.332,,,,
14,07/17/17 02:45:00 PM,76215,16.332,,,,
15,07/17/17 03:00:00 PM,76194,16.237,,,,
16,07/17/17 03:15:00 PM,76184,16.237,,,,
17,07/17/17 03:30:00 PM,76174,16.237,,,,
18,07/17/17 03:45:00 PM,76174,16.237,,,,
19,07/17/17 04:00:00 PM,76172,16.141,,,,
20,07/17/17 04:15:00 PM,76172,16.141,,,,
21,07/17/17 04:30:00 PM,76162,16.141,,,,
22,07/17/17 04:45:00 PM,76172,16.141,,,,
23,07/17/17 05:00:00 PM,76162,16.141,,,,
24,07/17/17 05:15:00 PM,76143,16.141,,,,
25,07/17/17 05:30:00 PM,76124,16.141,,,,
26,07/17/17 05:45:00 PM,76104,16.141,,,,
27,07/17/17 06:00:00 PM,76092,16.046,,,,
28,07/17/17 06:15:00 PM,76092,16.046,,,,
29,07/17/17 06:30:00 PM,76092,16.046,,,,
30,07/17/17 06:45:00 PM,76102,16.046,,,,
31,07/17/17 07:00:00 PM,76112,16.046,,,,
32,07/17/17 07:15:00 PM,76102,16.046,,,,
33,07/17/17 07:30:00 PM,76121,16.046,,,,
34,07/17/17 07:45:00 PM,76112,16.046,,,,
35,07/17/17 08:00:00 PM,76131,16.046,,,,
36,07/17/17 08:15:00 PM,76119,15.951,,,,
37,07/17/17 08:30:00 PM,76119,15.951,,,,
38,07/17/17 08:45:00 PM,76119,15.951,,,,
39,07/17/17 09:00:00 PM,76124,15.760,,,,
40,07/17/17 09:15:00 PM,76143,15.760,,,,
41,07/17/17 09:30:00 PM,76151,15.664,,,,
42,07/17/17 09:45:00 PM,76148,15.569,,,,
43,07/17/17 10:00:00 PM,76167,15.569,,,,
44,07/17/17 10:15:00 PM,76175,15.473,,,,
