"Plot Title: RSAWI20170518"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1126761, SEN S/N: 1126761)","Temp, °C (LGR S/N: 1126761, SEN S/N: 1126761)","Coupler Detached (LGR S/N: 1126761)","Coupler Attached (LGR S/N: 1126761)","Stopped (LGR S/N: 1126761)","End Of File (LGR S/N: 1126761)"
1,08/16/17 03:59:54 PM,75200,15.760,,,,
2,08/16/17 03:59:57 PM,,,Logged,,,
3,08/16/17 04:59:54 PM,75857,14.996,,,,
4,08/16/17 05:59:54 PM,75857,14.996,,,,
5,08/16/17 06:59:54 PM,75857,14.996,,,,
6,08/16/17 07:59:54 PM,75915,14.709,,,,
7,08/16/17 08:59:54 PM,75983,14.134,,,,
8,08/16/17 09:59:54 PM,76022,13.750,,,,
9,08/16/17 10:59:54 PM,76047,13.461,,,,
10,08/16/17 11:59:54 PM,76075,13.269,,,,
11,08/17/17 12:59:54 AM,76103,13.076,,,,
12,08/17/17 01:59:54 AM,76098,12.883,,,,
13,08/17/17 02:59:54 AM,76129,12.787,,,,
14,08/17/17 03:59:54 AM,76126,12.690,,,,
15,08/17/17 04:59:54 AM,76157,12.594,,,,
16,08/17/17 05:59:54 AM,76209,12.690,,,,
17,08/17/17 06:59:54 AM,76244,12.787,,,,
18,08/17/17 07:59:54 AM,76282,12.980,,,,
19,08/17/17 08:59:54 AM,76290,13.269,,,,
20,08/17/17 09:59:54 AM,76265,13.558,,,,
21,08/17/17 10:59:54 AM,76272,13.846,,,,
22,08/17/17 11:59:54 AM,76247,14.134,,,,
23,08/17/17 12:59:54 PM,76200,14.230,,,,
24,08/17/17 01:59:54 PM,76169,14.325,,,,
25,08/17/17 02:59:54 PM,76122,14.421,,,,
26,08/17/17 03:59:54 PM,76108,14.517,,,,
27,08/17/17 04:59:54 PM,76061,14.613,,,,
28,08/17/17 05:59:54 PM,75995,14.613,,,,
29,08/17/17 06:59:54 PM,76012,14.613,,,,
30,08/17/17 07:59:54 PM,76056,14.421,,,,
31,08/17/17 08:59:54 PM,76131,14.134,,,,
32,08/17/17 09:59:54 PM,76190,13.846,,,,
33,08/17/17 10:59:54 PM,76187,13.750,,,,
34,08/17/17 11:59:54 PM,76171,13.750,,,,
35,08/18/17 12:59:54 AM,76180,13.461,,,,
36,08/18/17 01:59:54 AM,76155,13.173,,,,
37,08/18/17 02:59:54 AM,76167,12.980,,,,
38,08/18/17 03:59:54 AM,76162,12.787,,,,
39,08/18/17 04:59:54 AM,76190,12.594,,,,
40,08/18/17 05:59:54 AM,76237,12.497,,,,
41,08/18/17 06:59:54 AM,76284,12.401,,,,
42,08/18/17 07:59:54 AM,76333,12.401,,,,
43,08/18/17 08:59:54 AM,76336,12.497,,,,
44,08/18/17 09:59:54 AM,76335,13.076,,,,
45,08/18/17 10:59:54 AM,76312,13.461,,,,
46,08/18/17 11:59:54 AM,76317,13.654,,,,
47,08/18/17 12:59:54 PM,76256,13.846,,,,
48,08/18/17 01:59:54 PM,76211,14.038,,,,
49,08/18/17 02:59:54 PM,76164,14.134,,,,
50,08/18/17 03:59:54 PM,76101,14.230,,,,
51,08/18/17 04:59:54 PM,76054,14.325,,,,
52,08/18/17 05:59:54 PM,76021,14.325,,,,
53,08/18/17 06:59:54 PM,76021,14.325,,,,
54,08/18/17 07:59:54 PM,76070,14.325,,,,
55,08/18/17 08:59:54 PM,76112,14.038,,,,
56,08/18/17 09:59:54 PM,76171,13.750,,,,
57,08/18/17 10:59:54 PM,76232,13.558,,,,
58,08/18/17 11:59:54 PM,76210,13.365,,,,
59,08/19/17 12:59:54 AM,76202,13.076,,,,
60,08/19/17 01:59:54 AM,76200,12.980,,,,
61,08/19/17 02:59:54 AM,76214,12.883,,,,
62,08/19/17 03:59:54 AM,76195,12.787,,,,
63,08/19/17 04:59:54 AM,76195,12.787,,,,
64,08/19/17 05:59:54 AM,76209,12.690,,,,
65,08/19/17 06:59:54 AM,76242,12.690,,,,
66,08/19/17 07:59:54 AM,76249,12.980,,,,
67,08/19/17 08:59:54 AM,76274,13.269,,,,
68,08/19/17 09:59:54 AM,76265,13.558,,,,
69,08/19/17 10:59:54 AM,76237,13.750,,,,
70,08/19/17 11:59:54 AM,76176,13.942,,,,
71,08/19/17 12:59:54 PM,76096,14.038,,,,
72,08/19/17 01:59:54 PM,76115,14.134,,,,
73,08/19/17 02:59:54 PM,76068,14.230,,,,
74,08/19/17 03:59:54 PM,76018,14.230,,,,
75,08/19/17 04:59:54 PM,75988,14.325,,,,
76,08/19/17 05:59:54 PM,75971,14.325,,,,
77,08/19/17 06:59:54 PM,75974,14.421,,,,
78,08/19/17 07:59:54 PM,76023,14.421,,,,
79,08/19/17 08:59:54 PM,76087,14.325,,,,
80,08/19/17 09:59:54 PM,76115,14.134,,,,
81,08/19/17 10:59:54 PM,76124,13.846,,,,
82,08/19/17 11:59:54 PM,76135,13.654,,,,
83,08/20/17 12:59:54 AM,76163,13.461,,,,
84,08/20/17 01:59:54 AM,76125,13.269,,,,
85,08/20/17 02:59:54 AM,76106,13.173,,,,
86,08/20/17 03:59:54 AM,76087,13.076,,,,
87,08/20/17 04:59:54 AM,76087,13.076,,,,
88,08/20/17 05:59:54 AM,76068,12.980,,,,
