"Plot Title: RSAWII20170518"
"#","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811673, SEN S/N: 9811673)","Temp, °C (LGR S/N: 9811673, SEN S/N: 9811673)","Coupler Detached (LGR S/N: 9811673)","Coupler Attached (LGR S/N: 9811673)","Stopped (LGR S/N: 9811673)","End Of File (LGR S/N: 9811673)"
1,08/16/17 04:15:00 PM,75820,15.187,Logged,,,
2,08/16/17 04:30:00 PM,75818,15.091,,,,
3,08/16/17 04:45:00 PM,75808,15.091,,,,
4,08/16/17 05:00:00 PM,75808,15.091,,,,
5,08/16/17 05:15:00 PM,75789,15.091,,,,
6,08/16/17 05:30:00 PM,75818,15.091,,,,
7,08/16/17 05:45:00 PM,75808,15.091,,,,
8,08/16/17 06:00:00 PM,75799,15.091,,,,
9,08/16/17 06:15:00 PM,75799,15.091,,,,
10,08/16/17 06:30:00 PM,75799,15.091,,,,
11,08/16/17 06:45:00 PM,75808,15.091,,,,
12,08/16/17 07:00:00 PM,75808,15.091,,,,
13,08/16/17 07:15:00 PM,75816,14.996,,,,
14,08/16/17 07:30:00 PM,75833,14.900,,,,
15,08/16/17 07:45:00 PM,75847,14.709,,,,
16,08/16/17 08:00:00 PM,75864,14.613,,,,
17,08/16/17 08:15:00 PM,75888,14.421,,,,
18,08/16/17 08:30:00 PM,75905,14.325,,,,
19,08/16/17 08:45:00 PM,75922,14.230,,,,
20,08/16/17 09:00:00 PM,75937,14.038,,,,
21,08/16/17 09:15:00 PM,75954,13.942,,,,
22,08/16/17 09:30:00 PM,75961,13.846,,,,
23,08/16/17 09:45:00 PM,75959,13.750,,,,
24,08/16/17 10:00:00 PM,75985,13.654,,,,
25,08/16/17 10:15:00 PM,76002,13.558,,,,
26,08/16/17 10:30:00 PM,76010,13.461,,,,
27,08/16/17 10:45:00 PM,76000,13.461,,,,
28,08/16/17 11:00:00 PM,76017,13.365,,,,
29,08/16/17 11:15:00 PM,76024,13.269,,,,
30,08/16/17 11:30:00 PM,76032,13.173,,,,
31,08/16/17 11:45:00 PM,76041,13.173,,,,
32,08/17/17 12:00:00 AM,76049,13.076,,,,
33,08/17/17 12:15:00 AM,76039,13.076,,,,
34,08/17/17 12:30:00 AM,76046,12.980,,,,
35,08/17/17 12:45:00 AM,76066,12.980,,,,
36,08/17/17 01:00:00 AM,76054,12.883,,,,
37,08/17/17 01:15:00 AM,76073,12.883,,,,
38,08/17/17 01:30:00 AM,76071,12.787,,,,
39,08/17/17 01:45:00 AM,76061,12.787,,,,
40,08/17/17 02:00:00 AM,76068,12.690,,,,
41,08/17/17 02:15:00 AM,76078,12.690,,,,
42,08/17/17 02:30:00 AM,76078,12.690,,,,
43,08/17/17 02:45:00 AM,76066,12.594,,,,
