Plot Title: W Jaram 9811663 20170509,,,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 9811663, SEN S/N: 9811663)","Temp, °C (LGR S/N: 9811663, SEN S/N: 9811663)",Coupler Detached (LGR S/N: 9811663),Coupler Attached (LGR S/N: 9811663),Stopped (LGR S/N: 9811663),End Of File (LGR S/N: 9811663)
1,9/25/2017,13:15:00,74209,8.978,Logged,,,
2,9/25/2017,13:30:00,74207,8.182,,,,
3,9/25/2017,13:45:00,74207,8.182,,,,
4,9/25/2017,14:00:00,74184,8.282,,,,
5,9/25/2017,14:15:00,74172,8.382,,,,
6,9/25/2017,14:30:00,74172,8.382,,,,
7,9/25/2017,14:45:00,74172,8.481,,,,
8,9/25/2017,15:00:00,74148,8.581,,,,
9,9/25/2017,15:15:00,74160,8.68,,,,
10,9/25/2017,15:30:00,74160,8.779,,,,
11,9/25/2017,15:45:00,74149,8.879,,,,
12,9/25/2017,16:00:00,74173,8.978,,,,
13,9/25/2017,16:15:00,74149,9.077,,,,
14,9/25/2017,16:30:00,74149,9.176,,,,
15,9/25/2017,16:45:00,74149,9.275,,,,
16,9/25/2017,17:00:00,74150,9.373,,,,
17,9/25/2017,17:15:00,74138,9.472,,,,
18,9/25/2017,17:30:00,74162,9.472,,,,
19,9/25/2017,17:45:00,74162,9.571,,,,
20,9/25/2017,18:00:00,74174,9.571,,,,
21,9/25/2017,18:15:00,74186,9.669,,,,
22,9/25/2017,18:30:00,74199,9.669,,,,
23,9/25/2017,18:45:00,74211,9.669,,,,
24,9/25/2017,19:00:00,74223,9.669,,,,
25,9/25/2017,19:15:00,74247,9.669,,,,
26,9/25/2017,19:30:00,74247,9.571,,,,
27,9/25/2017,19:45:00,74270,9.472,,,,
28,9/25/2017,20:00:00,74270,9.373,,,,
29,9/25/2017,20:15:00,74294,9.176,,,,
30,9/25/2017,20:30:00,74306,9.077,,,,
31,9/25/2017,20:45:00,74294,8.978,,,,
32,9/25/2017,21:00:00,74293,8.879,,,,
33,9/25/2017,21:15:00,74293,8.68,,,,
34,9/25/2017,21:30:00,74305,8.581,,,,
35,9/25/2017,21:45:00,74317,8.481,,,,
36,9/25/2017,22:00:00,74328,8.382,,,,
37,9/25/2017,22:15:00,74328,8.182,,,,
38,9/25/2017,22:30:00,74340,8.082,,,,
39,9/25/2017,22:45:00,74364,7.983,,,,
40,9/25/2017,23:00:00,74376,7.882,,,,
41,9/25/2017,23:15:00,74364,7.782,,,,
42,9/25/2017,23:30:00,74375,7.682,,,,
43,9/25/2017,23:45:00,74375,7.582,,,,
44,9/26/2017,0:00:00,74387,7.582,,,,
45,9/26/2017,0:15:00,74375,7.481,,,,
46,9/26/2017,0:30:00,74363,7.481,,,,
47,9/26/2017,0:45:00,74387,7.381,,,,
48,9/26/2017,1:00:00,74399,7.381,,,,
49,9/26/2017,1:15:00,74375,7.381,,,,
50,9/26/2017,1:30:00,74387,7.381,,,,
51,9/26/2017,1:45:00,74387,7.28,,,,
52,9/26/2017,2:00:00,74399,7.28,,,,
53,9/26/2017,2:15:00,74387,7.28,,,,
54,9/26/2017,2:30:00,74411,7.28,,,,
55,9/26/2017,2:45:00,74399,7.179,,,,
56,9/26/2017,3:00:00,74423,7.179,,,,
57,9/26/2017,3:15:00,74399,7.179,,,,
58,9/26/2017,3:30:00,74411,7.179,,,,
59,9/26/2017,3:45:00,74423,7.179,,,,
60,9/26/2017,4:00:00,74411,7.179,,,,
61,9/26/2017,4:15:00,74411,7.079,,,,
62,9/26/2017,4:30:00,74435,7.079,,,,
63,9/26/2017,4:45:00,74411,7.079,,,,
64,9/26/2017,5:00:00,74435,7.079,,,,
65,9/26/2017,5:15:00,74435,7.179,,,,
66,9/26/2017,5:30:00,74423,7.179,,,,
67,9/26/2017,5:45:00,74435,7.179,,,,
68,9/26/2017,6:00:00,74447,7.179,,,,
69,9/26/2017,6:15:00,74459,7.179,,,,
70,9/26/2017,6:30:00,74483,7.179,,,,
71,9/26/2017,6:45:00,74495,7.179,,,,
72,9/26/2017,7:00:00,74495,7.179,,,,
73,9/26/2017,7:15:00,74507,7.179,,,,
74,9/26/2017,7:30:00,74507,7.179,,,,
75,9/26/2017,7:45:00,74507,7.179,,,,
76,9/26/2017,8:00:00,74531,7.179,,,,
77,9/26/2017,8:15:00,74543,7.179,,,,
78,9/26/2017,8:30:00,74555,7.179,,,,
79,9/26/2017,8:45:00,74580,7.179,,,,
80,9/26/2017,9:00:00,74592,7.179,,,,
81,9/26/2017,9:15:00,74616,7.28,,,,
82,9/26/2017,9:30:00,74604,7.28,,,,
83,9/26/2017,9:45:00,74628,7.28,,,,
84,9/26/2017,10:00:00,74628,7.28,,,,
85,9/26/2017,10:15:00,74628,7.381,,,,
86,9/26/2017,10:30:00,74640,7.381,,,,
87,9/26/2017,10:45:00,74640,7.481,,,,
88,9/26/2017,11:00:00,74640,7.481,,,,
89,9/26/2017,11:15:00,74653,7.582,,,,
90,9/26/2017,11:30:00,74641,7.582,,,,
91,9/26/2017,11:45:00,74629,7.682,,,,
92,9/26/2017,12:00:00,74641,7.782,,,,
93,9/26/2017,12:15:00,74617,7.782,,,,
94,9/26/2017,12:30:00,74617,7.882,,,,
95,9/26/2017,12:45:00,74605,7.983,,,,
96,9/26/2017,13:00:00,74605,8.082,,,,
97,9/26/2017,13:15:00,74593,8.182,,,,
98,9/26/2017,13:30:00,74557,8.182,,,,
99,9/26/2017,13:45:00,74557,8.282,,,,
100,9/26/2017,14:00:00,74546,8.382,,,,
101,9/26/2017,14:15:00,74510,8.481,,,,
102,9/26/2017,14:30:00,74510,8.581,,,,
103,9/26/2017,14:45:00,74498,8.68,,,,
104,9/26/2017,15:00:00,74486,8.68,,,,
105,9/26/2017,15:15:00,74498,8.779,,,,
106,9/26/2017,15:30:00,74474,8.879,,,,
107,9/26/2017,15:45:00,74462,8.978,,,,
