FIRE_30YR,gridcode,WShed_Name,Area_sqmet,ASlopeDeg,FIREAREA30
1930 - 1950,16,Upper Redondo - Flume CZO,943636.54340280,17.2122170,0.5400592
1960 - 1980,16,Upper Redondo - Flume CZO,943636.54340280,17.2122170,0.4353143
1990 - 2010,16,Upper Redondo - Flume CZO,943636.54340280,17.2122170,0.9436365
1930s - 1950s,1,Indios Creek above Las Conchas burn,8979818.77575196,17.9933120,7.4854948
1960s - 1980s,1,Indios Creek above Las Conchas burn,8979818.77575196,17.9933120,8.9612314
1990s - 2010s,1,Indios Creek above Las Conchas burn,8979818.77575196,17.9933120,1.5234856
1900s - 1920s,10,San Antonio above Hot Springs,167762000.45499191,12.7993660,10.3191928
1930s - 1950s,10,San Antonio above Hot Springs,167762000.45499191,12.7993660,50.2887756
1960s - 1980s,10,San Antonio above Hot Springs,167762000.45499191,12.7993660,34.4444359
1990s - 2010s,10,San Antonio above Hot Springs,167762000.45499191,12.7993660,92.1622796
1900s - 1920s,11,Upper Sulfur Creek,11099772.21334887,14.0957610,0.0201024
1930s - 1950s,11,Upper Sulfur Creek,11099772.21334887,14.0957610,0.0005282
1960s - 1980s,11,Upper Sulfur Creek,11099772.21334887,14.0957610,0.0705408
1990s - 2010s,11,Upper Sulfur Creek,11099772.21334887,14.0957610,7.8928877
1900s - 1920s,12,Lower Sulfur Creek,21370816.68328414,16.8517750,0.0396766
1930s - 1950s,12,Lower Sulfur Creek,21370816.68328414,16.8517750,2.5047732
1960s - 1980s,12,Lower Sulfur Creek,21370816.68328414,16.8517750,6.0351314
1990s - 2010s,12,Lower Sulfur Creek,21370816.68328414,16.8517750,14.3766276
1930s - 1950s,13,Jaramillo Creek - West Branch,4381719.33818353,14.6271050,0.0195742
1960s - 1980s,13,Jaramillo Creek - West Branch,4381719.33818353,14.6271050,0.3531640
1990s - 2010s,13,Jaramillo Creek - West Branch,4381719.33818353,14.6271050,4.3817193
1960s - 1980s,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,14.0381670,0.9600184
1990s - 2010s,14,Upper Jaramillo Creek - Flume CZO,3228555.39953019,14.0381670,3.2285554
1930s - 1950s,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,14.7726560,1.7749454
1960s - 1980s,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,14.7726560,2.0285472
1990s - 2010s,15,Upper Redondo Creek - Flume VCNP,2280340.83276641,14.7726560,2.2803408
1900s - 1920s,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,12.0470080,0.1823676
1930s - 1950s,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,12.0470080,0.0195742
1960s - 1980s,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,12.0470080,11.4252841
1990s - 2010s,17,Lower Jaramillo Creek - Flume CZO,26595641.47680918,12.0470080,26.4375707
1900s - 1920s,18,Jaramillo Creek below burned areas,26640917.87399783,20.3919750,0.1823676
1930s - 1950s,18,Jaramillo Creek below burned areas,26640917.87399783,20.3919750,0.0195742
1960s - 1980s,18,Jaramillo Creek below burned areas,26640917.87399783,20.3919750,11.4252841
1990s - 2010s,18,Jaramillo Creek below burned areas,26640917.87399783,20.3919750,26.4828471
1900s - 1920s,19,San Antonio above San Antonio Campground,183268586.02548060,16.6495870,10.3191928
1930s - 1950s,19,San Antonio above San Antonio Campground,183268586.02548060,16.6495870,63.0560312
1960s - 1980s,19,San Antonio above San Antonio Campground,183268586.02548060,16.6495870,43.6844541
1990s - 2010s,19,San Antonio above San Antonio Campground,183268586.02548060,16.6495870,92.1622796
1900s - 1920s,2,San Antonio West,146211417.72133249,12.9005370,10.3191928
1930s - 1950s,2,San Antonio West,146211417.72133249,12.9005370,36.2814713
1960s - 1980s,2,San Antonio West,146211417.72133249,12.9005370,32.1341114
1990s - 2010s,2,San Antonio West,146211417.72133249,12.9005370,90.5306668
1930s - 1950s,20,Mirror Lake Trib,1362131.92567789,22.4249690,0.9799110
1960s - 1980s,20,Mirror Lake Trib,1362131.92567789,22.4249690,1.0366822
1990s - 2010s,20,Mirror Lake Trib,1362131.92567789,22.4249690,1.3621319
1990s - 2010s,21,ZOB Lower,316845.47776208,14.9351350,0.3168455
1990s - 2010s,22,History Grove - CZO,2441085.43817079,12.9004020,2.4410854
1990s - 2010s,23,History Grove - VCNP,2457517.10894452,12.4437770,2.4575171
1900s - 1920s,24,Redondo Creek - Sonde VCNP,27045726.37193896,18.2003810,0.2024701
1930s - 1950s,24,Redondo Creek - Sonde VCNP,27045726.37193896,18.2003810,20.8876670
1960s - 1980s,24,Redondo Creek - Sonde VCNP,27045726.37193896,18.2003810,16.8037637
1990s - 2010s,24,Redondo Creek - Sonde VCNP,27045726.37193896,18.2003810,25.9644693
1900s - 1920s,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,18.0918310,0.2024701
1930s - 1950s,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,18.0918310,20.5955584
1960s - 1980s,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,18.0918310,16.5116550
1990s - 2010s,25,Lower Redondo Creek - Flume VCNP,26753617.70289728,18.0918310,25.6727013
1990s - 2010s,26,LaJara Creek(just below VC0201) - Flume CZO,3503428.67476889,15.5223910,3.5034287
1900s - 1920s,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,18.5411890,0.1443010
1930s - 1950s,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,18.5411890,17.9135346
1960s - 1980s,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,18.5411890,13.8296313
1990s - 2010s,27,Lower Redondo Creek - Sonde VCNP,24071593.96173932,18.5411890,23.0580237
1990s - 2010s,28,LaJara Creek - VCNP Sonde,3750171.64406365,14.8906460,3.7501716
1930s - 1950s,29,Lower Redondo Creek - Flume CZO,13276254.17051292,19.5287500,10.3219954
